Chart: 12285, Current Edition: 42, Print Date: Aug. /2015, Potomac River; District of Columbia
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12285	Relocate	Upper Potomac River Channel Buoy 19	G C "19"	N 38 21' 07.452"	W 077 12' 16.923"	38.35207	-77.2047	LNM 25/17, 5th Dist	652	12285_9	6/29/2017
12285	Relocate	Upper Potomac River Channel Buoy 46	R N "46"	N 38 33' 35.430"	W 077 14' 04.431"	38.55984	-77.23457	LNM 25/17, 5th Dist	652	12285_9	6/29/2017
12285	Relocate	Alexandria Channel Buoy 2	R N "2"	N 38 47' 59.908"	W 077 02' 06.915"	38.79998	-77.03526	LNM 25/17, 5th Dist	658	12285_14	6/29/2017
12285	Relocate	Alexandria Channel Buoy 2	R N "2"	N 38 47' 59.908"	W 077 02' 06.915"	38.79998	-77.03526	LNM 25/17, 5th Dist	659	12285_15	6/29/2017
12285	Change	Bonum Creek Warning Light A	Fl 2.5s 15ft 4M "A"	N 38 05' 54.135"	W 076 34' 47.400"	38.09837	-76.57983	LNM 22/17, 5th Dist	644	12285_1	6/8/2017
12285	Delete	Little Wicomico River Daybeacon 15	G "15"	N 37 53' 16.717"	W 076 16' 42.726"	37.88798	-76.27853	LNM 21/17, 5th Dist	645	12285_2	6/1/2017
12285	Add	Little Wicomico River Buoy 15	G C "15"	N 37 53' 16.477"	W 076 16' 41.725"	37.88791	-76.27826	LNM 21/17, 5th Dist	645	12285_2	6/1/2017
12285	Add	Slough Creek Daybeacon 7	G "7" Priv	N 37 53' 04.008"	W 076 15' 11.514"	37.88445	-76.2532	LNM 21/17, 5th Dist	645	12285_2	6/1/2017
12285	Add	Slough Creek Daybeacon 8	R "8" Priv	N 37 53' 03.245"	W 076 15' 10.002"	37.88424	-76.25278	LNM 21/17, 5th Dist	645	12285_2	6/1/2017
12285	Change	Aquia Creek Light 12	Fl R 2.5s 15ft 4M "12"	N 38 24' 01.463"	W 077 19' 46.209"	38.40041	-77.32951	LNM 15/17, 5th Dist	652	12285_9	4/20/2017
12285	Change	Little Wicomico River Buoy 14	R N "14"	N 37 53' 14.185"	W 076 16' 17.124"	37.88727	-76.27142	LNM 12/17, 5th Dist	645	12285_2	3/23/2017
12285	Relocate	Little Wicomico River Buoy 14	R N "14"	N 37 53' 14.185"	W 076 16' 17.124"	37.88727	-76.27142	LNM 12/17, 5th Dist	645	12285_2	3/23/2017
12285	Relocate	Heron Island Bar Buoy 5	G C "5"	N 38 12' 59.374"	W 076 44' 13.745"	38.21649	-76.73715	LNM 10/17, 5th Dist	651	12285_8	3/16/2017
12285	Relocate	Heron Island Bar Buoy 5	G C "5"	N 38 12' 59.374"	W 076 44' 13.745"	38.21649	-76.73715	LNM 10/17, 5th Dist	644	12285_1	3/16/2017
12285	Relocate	Heron Island Bar Buoy 5	G C "5"	N 38 12' 59.374"	W 076 44' 13.745"	38.21649	-76.73715	LNM 10/17, 5th Dist	652	12285_9	3/16/2017
12285	Relocate	Heron Island Bar Buoy 4	R N "4"	N 38 12' 58.611"	W 076 43' 55.987"	38.21628	-76.73222	LNM 10/17, 5th Dist	651	12285_8	3/16/2017
12285	Relocate	Heron Island Bar Buoy 4	R N "4"	N 38 12' 58.611"	W 076 43' 55.987"	38.21628	-76.73222	LNM 10/17, 5th Dist	644	12285_1	3/16/2017
12285	Relocate	Heron Island Bar Buoy 4	R N "4"	N 38 12' 58.611"	W 076 43' 55.987"	38.21628	-76.73222	LNM 10/17, 5th Dist	652	12285_9	3/16/2017
12285	Change	St. Catherine Sound Upper Entrance Warning Daybeacon A	W "A"	N 38 15' 21.274"	W 076 48' 35.960"	38.25591	-76.80999	LNM 51/16, 5th Dist	653	12285_10	12/22/2016
12285	Change	St. Catherine Sound Upper Entrance Warning Daybeacon A	W "A"	N 38 15' 21.274"	W 076 48' 35.960"	38.25591	-76.80999	LNM 51/16, 5th Dist	652	12285_9	12/22/2016
12285	Change	St. Catherine Sound Upper Warning Daybeacon B	W "B"	N 38 15' 07.740"	W 076 48' 26.309"	38.25215	-76.8073	LNM 51/16, 5th Dist	653	12285_10	12/22/2016
12285	Change	St. Catherine Sound Upper Entrance Warning Daybeacon C	W "C"	N 38 15' 07.715"	W 076 48' 24.586"	38.25214	-76.80683	LNM 51/16, 5th Dist	653	12285_10	12/22/2016
12285	Change	St. Catherine Sound Upper Entrance Warning Daybeacon D	W "D"	N 38 14' 50.212"	W 076 48' 10.520"	38.24728	-76.80293	LNM 51/16, 5th Dist	653	12285_10	12/22/2016
12285	Change	St. Catherine Sound Upper Entrance Warning Daybeacon D	W "D"	N 38 14' 50.212"	W 076 48' 10.520"	38.24728	-76.80293	LNM 51/16, 5th Dist	652	12285_9	12/22/2016
12285	Change	St. Catherine Sound Upper Entrance Warning Daybeacon E	W "E"	N 38 14' 54.017"	W 076 47' 44.212"	38.24834	-76.79562	LNM 51/16, 5th Dist	653	12285_10	12/22/2016
