Chart: 12311, Current Edition: 47, Print Date: Jan. /2017, Delaware River Smyrna River to Wilmington
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12311	Change	Tabulation - DELAWARE RIVER CHANNEL DEPTHS	Tabulation - DELAWARE RIVER CHANNEL DEPTHS	N 39 29' 14.000"	W 075 21' 49.000"	39.48722	-75.36361	LNM 25/17, 5th Dist	668	12311_1	6/15/2017
12311	Change	Tabulation - DELAWARE RIVER CHANNEL DEPTHS	Tabulation - DELAWARE RIVER CHANNEL DEPTHS	N 39 29' 14.000"	W 075 21' 49.000"	39.48722	-75.36361	LNM 16/17, 5th Dist	668	12311_1	4/20/2017
12311	Delete	Anchorage Area 3 PT 1 OF 6	(Chart No. 1 N12.1)	N 39 33' 24.190"	W 075 32' 59.650"	39.55672	-75.5499	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Delete	Anchorage Area 3 PT 2 OF 6	(Chart No. 1 N12.1)	N 39 33' 17.750"	W 075 32' 40.750"	39.55493	-75.54465	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Delete	Anchorage Area 3 PT 3 OF 6	(Chart No. 1 N12.1)	N 39 33' 06.470"	W 075 32' 36.900"	39.5518	-75.54359	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Delete	Anchorage Area 3 PT 4 OF 6	(Chart No. 1 N12.1)	N 39 32' 34.840"	W 075 32' 38.690"	39.54301	-75.54408	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Delete	Anchorage Area 3 PT 5 OF 6	(Chart No. 1 N12.1)	N 39 31' 44.020"	W 075 32' 56.590"	39.5289	-75.54905	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Delete	Anchorage Area 3 PT 6 OF 6	(Chart No. 1 N12.1)	N 39 32' 15.290"	W 075 33' 08.450"	39.53758	-75.55235	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 3 PT 1 OF 6	(Chart No. 1 N12.1)	N 39 33' 09.000"	W 075 32' 38.000"	39.5525	-75.54389	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 3 PT 2 OF 6	(Chart No. 1 N12.1)	N 39 32' 34.600"	W 075 32' 38.200"	39.54295	-75.54395	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 3 PT 3 OF 6	(Chart No. 1 N12.1)	N 39 31' 29.000"	W 075 33' 01.000"	39.52472	-75.55028	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 3 PT 4 OF 6	(Chart No. 1 N12.1)	N 39 31' 31.800"	W 075 33' 16.200"	39.5255	-75.5545	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 3 PT 5 OF 6	(Chart No. 1 N12.1)	N 39 32' 14.600"	W 075 33' 08.300"	39.53739	-75.55231	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 3 PT 6 OF 6	(Chart No. 1 N12.1)	N 39 33' 09.000"	W 075 33' 10.000"	39.5525	-75.55278	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 6 PT 1 OF 6	(Chart No. 1 N12.1)	N 39 43' 00.000"	W 075 30' 20.000"	39.71667	-75.50555	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 6 PT 2 OF 6	(Chart No. 1 N12.1)	N 39 42' 51.500"	W 075 29' 44.900"	39.71431	-75.4958	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 6 PT 3 OF 6	(Chart No. 1 N12.1)	N 39 42' 05.400"	W 075 30' 25.200"	39.7015	-75.507	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 6 PT 4 OF 6	(Chart No. 1 N12.1)	N 39 41' 47.300"	W 075 30' 37.500"	39.69647	-75.51041	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 6 PT 5 OF 6	(Chart No. 1 N12.1)	N 39 41' 34.700"	W 075 30' 39.900"	39.69297	-75.51109	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Add	Anchorage Area 6 PT 6 OF 6	(Chart No. 1 N12.1)	N 39 41' 36.600"	W 075 30' 51.100"	39.6935	-75.51419	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
12311	Delete	Anchorage Area 6 PT 1 OF 6	(Chart No. 1 N12.1)	N 39 42' 50.540"	W 075 30' 23.380"	39.71404	-75.50649	LNM 13/17, 5th Dist	668	12311_1	3/23/2017
