Chart: 12313, Current Edition: 53, Print Date: Jan. /2012, Philadelphia and Camden Waterfronts
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12313	Relocate	Mantua Creek Anchorage Buoy B	Y N "B"	N 39 52' 09.941"	W 075 12' 15.321"	39.86943	-75.20425	LNM 18/17, 5th Dist	670	12313_1	5/11/2017
12313	Change	Tabulation - DELAWARE RIVER CHANNEL DEPTHS	Tabulation - DELAWARE RIVER CHANNEL DEPTHS	N 39 54' 33.000"	W 075 09' 47.000"	39.90917	-75.16306	LNM 16/17, 5th Dist	670	12313_1	4/20/2017
12313	Delete	Restricted Anchorage Area PT 5 OF 5	(Chart No. 1 N20)	N 39 54' 52.920"	W 075 07' 34.560"	39.9147	-75.12627	LNM 13/17, 5th Dist	670	12313_1	3/30/2017
12313	Add	Anchorage Area 11 PT 7 OF 7	(Chart No. 1 N12.1)	N 39 53' 59.290"	W 075 07' 42.910"	39.8998	-75.12859	LNM 13/17, 5th Dist	670	12313_1	3/30/2017
12313	Delete	Restricted Anchorage Area Label	RESTRICTED ANCHORAGE	N 39 55' 01.580"	W 075 07' 42.610"	39.91711	-75.1285	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 11 PT 1 OF 7	(Chart No. 1 N12.1)	N 39 54' 04.360"	W 075 07' 41.420"	39.90121	-75.12817	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 11 PT 2 OF 7	(Chart No. 1 N12.1)	N 39 54' 09.400"	W 075 07' 43.000"	39.90261	-75.12861	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 11 PT 3 OF 7	(Chart No. 1 N12.1)	N 39 54' 10.000"	W 075 07' 45.000"	39.90278	-75.12917	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 11 PT 4 OF 7	(Chart No. 1 N12.1)	N 39 53' 36.600"	W 075 08' 00.600"	39.8935	-75.1335	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 11 PT 5 OF 7	(Chart No. 1 N12.1)	N 39 53' 09.600"	W 075 08' 17.000"	39.886	-75.13805	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 11 PT 6 OF 7	(Chart No. 1 N12.1)	N 39 53' 30.500"	W 075 07' 57.700"	39.8918	-75.1327	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Delete	Anchorage Area 12 PT 1 OF 4	(Chart No. 1 N12.1)	N 39 54' 09.120"	W 075 07' 42.560"	39.90253	-75.12849	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Delete	Anchorage Area 12 PT 2 OF 4	(Chart No. 1 N12.1)	N 39 54' 16.110"	W 075 07' 43.670"	39.90448	-75.1288	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Delete	Anchorage Area 12 PT 3 OF 4	(Chart No. 1 N12.1)	N 39 56' 32.810"	W 075 08' 09.640"	39.94245	-75.13601	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Delete	Anchorage Area 12 PT 4 OF 4	(Chart No. 1 N12.1)	N 39 56' 27.850"	W 075 08' 02.490"	39.94107	-75.13403	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 1 OF 19	(Chart No. 1 N12.1)	N 39 54' 26.130"	W 075 07' 41.920"	39.90726	-75.12831	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 2 OF 19	(Chart No. 1 N12.1)	N 39 54' 30.400"	W 075 07' 41.130"	39.90844	-75.12809	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 3 OF 19	(Chart No. 1 N12.1)	N 39 54' 44.280"	W 075 07' 41.890"	39.9123	-75.1283	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 4 OF 19	(Chart No. 1 N12.1)	N 39 54' 55.520"	W 075 07' 44.860"	39.91542	-75.12913	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 5 OF 19	(Chart No. 1 N12.1)	N 39 55' 30.070"	W 075 08' 01.110"	39.92502	-75.13364	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 6 OF 19	(Chart No. 1 N12.1)	N 39 55' 51.640"	W 075 08' 08.070"	39.93101	-75.13557	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 7 OF 19	(Chart No. 1 N12.1)	N 39 56' 03.230"	W 075 08' 09.790"	39.93423	-75.13605	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 8 OF 19	(Chart No. 1 N12.1)	N 39 56' 37.030"	W 075 08' 09.730"	39.94362	-75.13604	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 9 OF 19	(Chart No. 1 N12.1)	N 39 56' 50.450"	W 075 08' 07.150"	39.94735	-75.13532	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 10 OF 19	(Chart No. 1 N12.1)	N 39 57' 02.070"	W 075 08' 04.310"	39.95058	-75.13453	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 11 OF 19	(Chart No. 1 N12.1)	N 39 57' 04.920"	W 075 08' 03.370"	39.95137	-75.13427	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 12 OF 19	(Chart No. 1 N12.1)	N 39 57' 04.300"	W 075 07' 57.300"	39.95119	-75.13258	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 13 OF 19	(Chart No. 1 N12.1)	N 39 56' 51.700"	W 075 08' 01.300"	39.94769	-75.1337	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 14 OF 19	(Chart No. 1 N12.1)	N 39 56' 35.500"	W 075 08' 03.100"	39.9432	-75.13419	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 15 OF 19	(Chart No. 1 N12.1)	N 39 56' 02.800"	W 075 08' 02.000"	39.93411	-75.13389	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 16 OF 19	(Chart No. 1 N12.1)	N 39 55' 34.700"	W 075 07' 54.500"	39.9263	-75.13181	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 17 OF 19	(Chart No. 1 N12.1)	N 39 54' 45.700"	W 075 07' 32.500"	39.91269	-75.12569	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
12313	Add	Anchorage Area 12 PT 18 OF 19	(Chart No. 1 N12.1)	N 39 54' 33.800"	W 075 07' 32.900"	39.90939	-75.12581	LNM 13/17, 5th Dist	670	12313_1	3/23/2017
