Chart: 12314, Current Edition: 33, Print Date: Jun. /2012, Delaware River Philadelphia to Trenton
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12314	Relocate	Upper Delaware River Channel Lighted Buoy 2	R "2" Fl R 2.5s	N 39 59' 15.204"	W 075 03' 45.422"	39.98756	-75.06261	LNM 16/17, 5th Dist	673	12314_2	4/27/2017
12314	Relocate	Upper Delaware River Channel Lighted Buoy 12	R "12" Q R	N 40 00' 54.903"	W 075 01' 56.818"	40.01525	-75.03245	LNM 16/17, 5th Dist	673	12314_2	4/27/2017
12314	Change	Tabulation - DELAWARE RIVER CHANNEL DEPTHS	Tabulation - DELAWARE RIVER CHANNEL DEPTHS	N 40 02' 48.000"	W 074 54' 28.000"	40.04667	-74.90778	LNM 06/17, 5th Dist	673	12314_2	2/2/2017
12314	Change	Frankford Upper Range Rear Light	Oc G 4s 50ft	N 40 01' 34.468"	W 075 00' 30.679"	40.02624	-75.00852	LNM 51/16, 5th Dist	673	12314_2	12/22/2016
12314	Change	Mud Island Upper Range Rear Passing Light	Fl 4s 15ft 5M	N 40 03' 52.472"	W 074 56' 49.605"	40.06458	-74.94711	LNM 40/16, 5th Dist	673	12314_2	10/13/2016
12314	Change	Mud Island Upper Range Rear Light	Iso 6s 52ft	N 40 03' 52.472"	W 074 56' 49.605"	40.06458	-74.94711	LNM 40/16, 5th Dist	673	12314_2	10/13/2016
12314	Change	Mud Island Upper Range Front Light	Oc 4s 25ft	N 40 03' 42.027"	W 074 57' 07.232"	40.06168	-74.95201	LNM 40/16, 5th Dist	673	12314_2	10/13/2016
12314	Relocate	Upper Delaware River Channel Lighted Buoy 15	G "15" Q G	N 40 01' 22.203"	W 075 00' 40.514"	40.02283	-75.01125	LNM 23/16, 5th Dist	673	12314_2	6/16/2016
12314	Relocate	Upper Delaware River Channel Buoy 39	G C "39"	N 40 04' 44.698"	W 074 53' 08.296"	40.07908	-74.88564	LNM 23/16, 5th Dist	672	12314_1	6/16/2016
12314	Relocate	Upper Delaware River Channel Lighted Buoy 40	R "40" Q R	N 40 04' 39.899"	W 074 53' 05.797"	40.07775	-74.88494	LNM 23/16, 5th Dist	672	12314_1	6/16/2016
12314	Delete	Frankford Channel Upper Directional Light	F G 30ft	N 40 01' 13.150"	W 075 01' 20.857"	40.02032	-75.02246	LNM 22/16, 5th Dist	673	12314_2	6/9/2016
12314	Add	Frankford Upper Range Front Light	Q G 20ft	N 40 01' 12.851"	W 075 01' 21.239"	40.02024	-75.02257	LNM 22/16, 5th Dist	673	12314_2	6/9/2016
12314	Delete	Frankford Channel Upper Directional Passing Light	Fl 4s 18ft 5M	N 40 01' 13.150"	W 075 01' 20.857"	40.02032	-75.02246	LNM 22/16, 5th Dist	673	12314_2	6/9/2016
12314	Add	Frankford Upper Range Rear Light	Oc G 4s 40ft	N 40 01' 34.468"	W 075 00' 30.679"	40.02624	-75.00852	LNM 22/16, 5th Dist	673	12314_2	6/9/2016
12314	Add	Frankford Upper Range Rear Passing Lights (2)	2 Fl 4s 15ft 4M	N 40 01' 34.468"	W 075 00' 30.679"	40.02624	-75.00852	LNM 22/16, 5th Dist	673	12314_2	6/9/2016
12314	Relocate	Upper Delaware River Channel Buoy 44	R N "44"	N 40 05' 03.299"	W 074 51' 39.493"	40.08425	-74.86097	LNM 21/16, 5th Dist	672	12314_1	5/26/2016
