Chart: 12323, Current Edition: 26, Print Date: Dec. /2012, Sea Girt to Little Egg Inlet
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12323	Add	Obstruction in Feet	11 Obstn       Chart No. 1: K41	N 39 30' 04.910"	W 074 16' 32.400"	39.50137	-74.27567	LNM 03/16, 5th Dist	682	12323_1	1/14/2016
12323	Substitute	Wreck in Feet	17 Wk for 19 Wk      Chart No. 1: K26	N 39 29' 35.750"	W 074 16' 18.880"	39.49326	-74.27191	LNM 03/16, 5th Dist	682	12323_1	1/14/2016
12323	Substitute	Wreck in Feet	12 Wk for Wk PA      Chart No. 1: K26	N 39 30' 05.260"	W 074 16' 44.700"	39.50146	-74.27908	LNM 03/16, 5th Dist	682	12323_1	1/14/2016
12323	Add	Obstruction in Feet	17 Obstn       Chart No. 1: K41	N 39 32' 55.630"	W 074 14' 37.690"	39.54879	-74.2438	LNM 03/16, 5th Dist	682	12323_1	1/14/2016
12323	Add	Wreck in Feet	9 Wk      Chart No. 1: K26	N 39 28' 39.560"	W 074 17' 13.100"	39.47766	-74.28697	LNM 03/16, 5th Dist	682	12323_1	1/14/2016
12323	Add	Obstruction in Feet	14 Obstn       Chart No. 1: K41	N 39 30' 23.280"	W 074 16' 16.120"	39.50647	-74.27114	LNM 03/16, 5th Dist	682	12323_1	1/14/2016
12323	Change	Barnegat Inlet South Breakwater Light 7	Q G 35ft 5M "7"	N 39 45' 25.616"	W 074 05' 35.697"	39.75711	-74.09325	LNM 45/15, 5th Dist	682	12323_1	11/19/2015
12323	Add	Lighted yellow buoy	Y Fl Y Priv	N 39 28' 47.220"	W 074 12' 47.460"	39.47978	-74.21318	LNM 41/15, 5th Dist	682	12323_1	10/8/2015
12323	Relocate	University of California Lighted Data Buoy A	Y "A" Fl (5) Y 20s Priv	N 39 46' 40.930"	W 073 46' 08.602"	39.77803	-73.76906	LNM 36/15, 5th Dist	682	12323_1	9/17/2015
12323	Relocate	Little Egg Inlet Outer Lighted Whistle Buoy LE	RW "LE" Mo (A) WHIS	N 39 28' 12.390"	W 074 16' 08.941"	39.47011	-74.26915	LNM 30/15, 5th Dist	682	12323_1	8/6/2015
12323	Change	University of California Lighted Data Buoy A	Y "A" Fl (5) Y 20s Priv	N 39 46' 10.080"	W 073 46' 11.640"	39.76947	-73.7699	LNM 21/15, 5th Dist	682	12323_1	6/4/2015
12323	Change	Manasquan Inlet Light 3	Fl G 6s 35ft 8M "3" HORN (MRASS)	N 40 06' 01.374"	W 074 01' 54.240"	40.10038	-74.03173	LNM 17/15, 5th Dist	682	12323_1	5/7/2015
12323	Add	Note - MARINER ACTIVATED SOUND SIGNALS:	Sound signals labeled with (MRASS) require user activation.  See USCG Light List.	N 39 56' 37.000"	W 074 16' 10.000"	39.94361	-74.26945	LNM 17/15, 5th Dist	682	12323_1	5/7/2015
12323	Relocate	Manasquan Inlet Light 3	Fl G 6s 35ft 8M "3" HORN (MRASS)	N 40 06' 01.374"	W 074 01' 54.240"	40.10038	-74.03173	LNM 17/15, 5th Dist	682	12323_1	5/7/2015
12323	Delete	Obstruction in Feet	22 Obstn    Chart No. 1: K41	N 39 46' 28.700"	W 074 04' 58.710"	39.77464	-74.08298	LNM 12/15, 5th Dist	682	12323_1	3/26/2015
12323	Delete	Obstruction in Feet	40 Obstn    Chart No. 1: K41	N 39 45' 48.700"	W 074 04' 18.690"	39.76353	-74.07186	LNM 12/15, 5th Dist	682	12323_1	3/26/2015
12323	Delete	Wreck in Feet	23 Wk      Chart No. 1: K26	N 39 46' 06.090"	W 074 05' 04.250"	39.76836	-74.08451	LNM 12/15, 5th Dist	682	12323_1	3/26/2015
12323	Add	Obstruction in Feet	17 Obstn    Chart No. 1: K41	N 39 46' 01.880"	W 074 05' 25.700"	39.76719	-74.09047	LNM 12/15, 5th Dist	682	12323_1	3/26/2015
