Chart: 12334, Current Edition: 72, Print Date: Nov. /2013, New York Harbor Upper Bay and Narrows-Anchorage Chart
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12334	Change	tabulation - LOWER BAY CHANNEL DEPTHS	tabulation - LOWER BAY CHANNEL DEPTHS	N 40 36' 25.000"	W 074 03' 54.000"	40.60695	-74.065	LNM 10/17, 1st Dist	2238	12334_1	3/9/2017
12334	Add	DANGER LINE (PT 1 OF 4)	None	N 40 40' 21.580"	W 074 00' 57.560"	40.67266	-74.01599	LNM 51/16, 1st Dist	2238	12334_1	12/29/2016
12334	Add	DANGER LINE (PT 2 OF 4)	None	N 40 40' 18.000"	W 074 01' 01.680"	40.67167	-74.01714	LNM 51/16, 1st Dist	2238	12334_1	12/29/2016
12334	Add	DANGER LINE (PT 3 OF 4)	None	N 40 40' 17.280"	W 074 01' 00.660"	40.67147	-74.01685	LNM 51/16, 1st Dist	2238	12334_1	12/29/2016
12334	Add	DANGER LINE (PT 4 OF 4)	None	N 40 40' 20.840"	W 074 00' 56.330"	40.67245	-74.01565	LNM 51/16, 1st Dist	2238	12334_1	12/29/2016
12334	Delete	WHARF (PT 1 OF 4)	None	N 40 40' 21.480"	W 074 00' 57.420"	40.67263	-74.01595	LNM 50/16, 1st Dist	2238	12334_1	12/22/2016
12334	Delete	WHARF (PT 2 OF 4)	None	N 40 40' 18.000"	W 074 01' 01.440"	40.67167	-74.01707	LNM 50/16, 1st Dist	2238	12334_1	12/22/2016
12334	Delete	WHARF (PT 3 OF 4)	None	N 40 40' 17.400"	W 074 01' 00.660"	40.6715	-74.01685	LNM 50/16, 1st Dist	2238	12334_1	12/22/2016
12334	Delete	WHARF (PT 4 OF 4)	None	N 40 40' 20.880"	W 074 00' 56.400"	40.67247	-74.01566	LNM 50/16, 1st Dist	2238	12334_1	12/22/2016
12334	Delete	STACK	STACK	N 40 40' 26.880"	W 074 00' 52.860"	40.67413	-74.01469	LNM 50/16, 1st Dist	2238	12334_1	12/22/2016
12334	Delete	SOUNDING IN FEET	23	N 40 41' 08.080"	W 074 00' 47.990"	40.68558	-74.01333	LNM 49/16, 1st Dist	2238	12334_1	12/15/2016
12334	Add	SOUNDING IN FEET	36	N 40 41' 08.080"	W 074 00' 47.990"	40.68558	-74.01333	LNM 49/16, 1st Dist	2238	12334_1	12/15/2016
12334	Add	Sounding in Feet	23	N 40 41' 08.080"	W 074 00' 47.990"	40.68558	-74.01333	LNM 48/16, 1st Dist	2238	12334_1	11/24/2016
12334	Delete	Obstruction in Feet	36 Obstn       	N 40 41' 08.244"	W 074 00' 47.644"	40.68562	-74.01324	LNM 48/16, 1st Dist	2238	12334_1	11/24/2016
12334	Delete	Obstruction in Feet	49 Obstn       	N 40 37' 14.500"	W 074 03' 15.200"	40.62069	-74.05422	LNM 41/16, 1st Dist	2238	12334_1	10/6/2016
12334	Add	Sounding in Feet	53	N 40 37' 14.500"	W 074 03' 15.200"	40.62069	-74.05422	LNM 41/16, 1st Dist	2238	12334_1	10/6/2016
