Chart: 12341, Current Edition: 28, Print Date: May. /2011, Hudson River Days Point to George Washington Bridge
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12341	Change	anchorage areas note	ANCHORAGE AREAS 110.155 (see note A) Limits and assigned numbers of anchorage areas are shown in magenta. 16 17 19E 19W GENERAL ANCHORAGE	N 40 47' 43.000"	W 073 56' 57.000"	40.79528	-73.94917	LNM 17/15, 1st Dist	2232	12341_1	4/23/2015
12341	Add	Special Anchorage Area PT 1 OF 4	(Chart No. 1: N12.1)	N 40 48' 21.060"	W 073 58' 15.720"	40.80585	-73.97103	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
12341	Add	Special Anchorage Area PT 2 OF 4	(Chart No. 1: N12.1)	N 40 48' 21.060"	W 073 58' 24.000"	40.80585	-73.97334	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
12341	Add	Special Anchorage Area PT 3 OF 4	(Chart No. 1: N12.1)	N 40 47' 14.700"	W 073 59' 09.000"	40.78742	-73.98583	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
12341	Add	Special Anchorage Area PT 4 OF 4	(Chart No. 1: N12.1)	N 40 47' 11.840"	W 073 59' 08.900"	40.78662	-73.98581	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
12341	Add	Special Anchorage Area label	SPECIAL ANCHORAGE AREA 110.1, 110.60 (see note A)	N 40 47' 39.000"	W 073 58' 49.000"	40.79417	-73.98028	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
12341	Add	Special Anchorage Area PT 1 OF 3	(Chart No. 1: N12.1)	N 40 46' 47.100"	W 073 59' 29.130"	40.77975	-73.99142	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
12341	Add	Special Anchorage Area PT 2 OF 3	(Chart No. 1: N12.1)	N 40 47' 02.600"	W 073 59' 17.880"	40.78405	-73.9883	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
12341	Add	Special Anchorage Area PT 3 OF 3	(Chart No. 1: N12.1)	N 40 46' 59.730"	W 073 59' 13.010"	40.78326	-73.98695	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
12341	Add	Special Anchorage Area label	SPECIAL ANCHORAGE AREA 110.1, 110.60 (see note A)	N 40 46' 56.000"	W 073 59' 19.000"	40.78222	-73.98861	LNM 06/14, 1st Dist	2232	12341_1	2/13/2014
