Chart: 12348, Current Edition: 34, Print Date: Jun. /2010, Hudson River Coxsackie to Troy
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12348	Relocate	HUDSON RIVER LTD BUOY 159	G "159" Fl G 2.5s AIS	N 42 21' 00.986"	W 073 47' 28.107"	42.35027	-73.79114	LNM 15/17, 1st Dist	2223	12348_1	4/20/2017
12348	Add	Obstruction in Feet	8 Obstns       	N 42 26' 34.170"	W 073 47' 08.290"	42.44283	-73.78564	LNM 51/16, 1st Dist	2223	12348_1	12/15/2016
12348	Add	Rock in Feet	9 Rk      	N 42 23' 18.910"	W 073 47' 30.880"	42.38859	-73.79191	LNM 51/16, 1st Dist	2223	12348_1	12/15/2016
12348	Delete	Channel Limits PT 1 OF 4	Chart No. 1: I20	N 42 29' 16.380"	W 073 47' 11.720"	42.48788	-73.78659	LNM 51/16, 1st Dist	2223	12348_1	12/15/2016
12348	Delete	Channel Limits PT 2 OF 4	Chart No. 1: I20	N 42 29' 20.740"	W 073 47' 15.110"	42.48909	-73.78753	LNM 51/16, 1st Dist	2223	12348_1	12/15/2016
12348	Delete	Channel Limits PT 3 OF 4	Chart No. 1: I20	N 42 29' 27.590"	W 073 47' 11.710"	42.491	-73.78658	LNM 51/16, 1st Dist	2223	12348_1	12/15/2016
12348	Delete	Channel Limits PT 4 OF 4	Chart No. 1: I20	N 42 29' 28.540"	W 073 47' 07.230"	42.49126	-73.78534	LNM 51/16, 1st Dist	2223	12348_1	12/15/2016
12348	Delete	Depth Legend 	32 ft rep	N 42 29' 23.850"	W 073 47' 11.400"	42.48996	-73.7865	LNM 51/16, 1st Dist	2223	12348_1	12/15/2016
12348	Add	Sounding in Feet	14	N 42 29' 21.610"	W 073 47' 13.050"	42.48934	-73.78696	LNM 51/16, 1st Dist	2223	12348_1	12/15/2016
12348	Add	ADAMS ISLAND OBSTRUCTION BUOY	W Or C	N 42 44' 23.778"	W 073 41' 17.970"	42.73994	-73.68832	LNM 49/16, 1st Dist	2224	12348_2	12/15/2016
12348	Add	Obstruction in Feet	7 Obstn       	N 42 44' 24.700"	W 073 41' 17.800"	42.7402	-73.68828	LNM 29/16, 1st Dist	2224	12348_2	7/14/2016
12348	Change	Depth Legend - Hudson Anchorage	27 FT 2015	N 42 17' 32.000"	W 073 47' 02.300"	42.29222	-73.78397	LNM 28/16, 1st Dist	2223	12348_1	7/7/2016
12348	Change	tabulation - Hudson River Channel Depths	tabulation - Hudson River Channel Depths	N 42 28' 50.000"	W 073 42' 59.000"	42.48056	-73.71639	LNM 28/16, 1st Dist	2223	12348_1	7/7/2016
12348	Relocate	COEYMANS DIKE BUOY A	W Or "A"	N 42 28' 19.024"	W 073 47' 12.533"	42.47195	-73.78681	LNM 14/16, 1st Dist	2223	12348_1	4/14/2016
12348	Relocate	COEYMANS DIKE BUOY B	W Or "B"	N 42 28' 24.254"	W 073 47' 13.826"	42.4734	-73.78717	LNM 14/16, 1st Dist	2223	12348_1	4/14/2016
12348	Relocate	COEYMANS DIKE BUOY D	W Or "D"	N 42 28' 34.933"	W 073 47' 16.472"	42.47637	-73.78791	LNM 14/16, 1st Dist	2223	12348_1	4/14/2016
12348	Relocate	HUDSON RIVER LTD BUOY 159	G "159" Fl G 2.5s AIS	N 42 20' 59.971"	W 073 47' 23.305"	42.34999	-73.78981	LNM 14/16, 1st Dist	2223	12348_1	4/14/2016
12348	Add	6 ft depth curve PT 1 OF 12	6	N 42 23' 39.200"	W 073 47' 20.800"	42.39422	-73.78911	LNM 49/15, 1st Dist	2223	12348_1	12/3/2015
12348	Add	6 ft depth curve PT 2 OF 12	6	N 42 23' 32.500"	W 073 47' 25.200"	42.39236	-73.79034	LNM 49/15, 1st Dist	2223	12348_1	12/3/2015
12348	Add	6 ft depth curve PT 3 OF 12	6	N 42 23' 27.500"	W 073 47' 26.400"	42.39097	-73.79066	LNM 49/15, 1st Dist	2223	12348_1	12/3/2015
