Chart: 12367, Current Edition: 25, Print Date: Feb. /2013, North Shore of Long Island Sound Greenwich Point to New Rochelle
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12367	Change	Depth Legend - Milton Harbor	1 1/2 FT FOR MID-WIDTH OF 50 FT MAY 2016	N 40 56' 46.000"	W 073 41' 52.000"	40.94611	-73.69778	LNM 50/16, 7th Dist	2189	12367_1	12/8/2016
12367	Change	Depth Legend - Milton Harbor	1 FT MID 40 FT 2016	N 40 57' 27.500"	W 073 41' 30.500"	40.95764	-73.6918	LNM 50/16, 7th Dist	2189	12367_1	12/8/2016
12367	Change	Depth Legend - Milton Harbor	2 1/2 FT MID 40 FT 2016	N 40 57' 25.000"	W 073 41' 25.000"	40.95694	-73.69028	LNM 50/16, 7th Dist	2189	12367_1	12/8/2016
12367	Add	mooring area label: Mooring Field	Mooring Field	N 41 00' 01.770"	W 073 37' 54.700"	41.00049	-73.63186	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 1 OF 9	None	N 41 00' 12.180"	W 073 37' 57.420"	41.00338	-73.63261	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 2 OF 9	None	N 41 00' 12.240"	W 073 37' 53.820"	41.0034	-73.63161	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 3 OF 9	None	N 41 00' 01.620"	W 073 37' 43.740"	41.00045	-73.62881	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 4 OF 9	None	N 40 59' 55.440"	W 073 37' 54.720"	40.99873	-73.63187	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 5 OF 9	None	N 40 59' 55.320"	W 073 38' 10.200"	40.9987	-73.63617	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 6 OF 9	None	N 41 00' 00.300"	W 073 38' 10.260"	41.00008	-73.63618	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 7 OF 9	None	N 41 00' 05.880"	W 073 38' 07.560"	41.00163	-73.63544	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 8 OF 9	None	N 41 00' 08.760"	W 073 38' 01.920"	41.00243	-73.63387	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Add	mooring area PT 9 OF 9	None	N 41 00' 08.100"	W 073 38' 00.300"	41.00225	-73.63342	LNM 40/16, 1st Dist	2189	12367_1	9/29/2016
12367	Delete	Anchorage Area PT 1 OF 3	None	N 40 54' 25.200"	W 073 46' 00.700"	40.907	-73.76686	LNM 30/16, 1st Dist	2189	12367_1	7/21/2016
12367	Delete	Anchorage Area PT 2 OF 3	None	N 40 54' 01.900"	W 073 45' 23.300"	40.90053	-73.75647	LNM 30/16, 1st Dist	2189	12367_1	7/21/2016
12367	Delete	Anchorage Area PT 3 OF 3	None	N 40 53' 35.300"	W 073 45' 58.200"	40.89314	-73.76617	LNM 30/16, 1st Dist	2189	12367_1	7/21/2016
