Chart: 12368, Current Edition: 28, Print Date: Jun. /2013, North Shore of Long Island Sound Sherwood Point to Stamford Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12368	Delete	Disposal Area PT 1 OF 4	Disposal Area	N 40 59' 25.100"	W 073 27' 49.100"	40.99031	-73.46364	LNM 38/16, 1st Dist	2188	12368_1	9/15/2016
12368	Delete	Disposal Area PT 2 OF 4	Disposal Area	N 41 00' 00.400"	W 073 27' 49.100"	41.00011	-73.46364	LNM 38/16, 1st Dist	2188	12368_1	9/15/2016
12368	Delete	Disposal Area PT 3 OF 4	Disposal Area	N 41 00' 00.400"	W 073 29' 31.800"	41.00011	-73.49216	LNM 38/16, 1st Dist	2188	12368_1	9/15/2016
12368	Delete	Disposal Area PT 4 OF 4	Disposal Area	N 40 59' 25.100"	W 073 29' 31.800"	40.99031	-73.49216	LNM 38/16, 1st Dist	2188	12368_1	9/15/2016
12368	Add	Disposal Area PT 1 OF 4	Disposal Area	N 40 59' 25.100"	W 073 29' 48.000"	40.99031	-73.49667	LNM 38/16, 1st Dist	2188	12368_1	9/15/2016
12368	Add	Disposal Area PT 2 OF 4	Disposal Area	N 41 00' 06.000"	W 073 29' 48.000"	41.00167	-73.49667	LNM 38/16, 1st Dist	2188	12368_1	9/15/2016
12368	Add	Disposal Area PT 3 OF 4	Disposal Area	N 41 00' 06.000"	W 073 28' 06.000"	41.00167	-73.46833	LNM 38/16, 1st Dist	2188	12368_1	9/15/2016
12368	Add	Disposal Area PT 4 OF 4	Disposal Area	N 40 59' 25.100"	W 073 28' 06.000"	40.99031	-73.46833	LNM 38/16, 1st Dist	2188	12368_1	9/15/2016
12368	Add	Obstruction	Obstn rep (2016) PA	N 41 04' 13.900"	W 073 23' 40.000"	41.07053	-73.39445	LNM 33/16, 1st Dist	2188	12368_1	8/11/2016
12368	Relocate	DUCK CREEK JUNCTION BUOY	GR C Priv	N 41 06' 17.160"	W 073 22' 40.980"	41.10477	-73.37805	LNM 26/16, 1st Dist	2188	12368_1	7/7/2016
12368	Add	GOODWIVES RIVER MID-CHANNEL BUOY A	RW "A" Priv	N 41 02' 28.080"	W 073 29' 04.020"	41.04113	-73.48445	LNM 10/16, 1st Dist	2188	12368_1	3/17/2016
12368	Add	GOODWIVES RIVER MID-CHANNEL BUOY B	RW "B" Priv	N 41 02' 32.340"	W 073 29' 05.880"	41.04232	-73.48497	LNM 10/16, 1st Dist	2188	12368_1	3/17/2016
12368	Add	GOODWIVES RIVER MID-CHANNEL BUOY C	RW "C" Priv	N 41 02' 39.240"	W 073 29' 07.980"	41.04424	-73.48555	LNM 10/16, 1st Dist	2188	12368_1	3/17/2016
12368	Add	GOODWIVES RIVER MID-CHANNEL BUOY D	RW "D" Priv	N 41 02' 45.240"	W 073 29' 05.100"	41.0459	-73.48475	LNM 10/16, 1st Dist	2188	12368_1	3/17/2016
12368	Change	Depth Legend - Westcott Cove	4 1/2 FT FOR MID-WIDTH OF 50 FT AUG 2015	N 41 02' 24.000"	W 073 31' 17.500"	41.04	-73.52153	LNM 49/15, 1st Dist	2188	12368_1	12/10/2015
12368	Add	magenta channel reach separator PT 1 OF 2	None	N 41 02' 09.850"	W 073 31' 15.070"	41.03607	-73.52085	LNM 49/15, 1st Dist	2188	12368_1	12/10/2015
12368	Add	magenta channel reach separator PT 2 OF 2	None	N 41 02' 10.160"	W 073 31' 13.820"	41.03616	-73.52051	LNM 49/15, 1st Dist	2188	12368_1	12/10/2015
12368	Change	Depth Legend - Westcott Cove	7 FT FOR A WIDTH OF 90 FT AUG 2015	N 41 02' 01.000"	W 073 31' 09.000"	41.03361	-73.51917	LNM 49/15, 1st Dist	2188	12368_1	12/10/2015
12368	Delete	Rocky Point Channel Buoy 1	G C "1" Priv	N 41 00' 51.840"	W 073 33' 31.680"	41.0144	-73.5588	LNM 36/15, 1st Dist	2188	12368_1	9/17/2015
12368	Delete	Rocky Point Channel Buoy 2	R N "2" Priv	N 41 00' 51.600"	W 073 33' 30.960"	41.01433	-73.5586	LNM 36/15, 1st Dist	2188	12368_1	9/17/2015
12368	Add	ROCKY POINT CHANNEL BUOY 1	G C "1" Priv	N 41 00' 51.840"	W 073 33' 31.680"	41.0144	-73.5588	LNM 43/14, 1st Dist	2188	12368_1	11/6/2014
12368	Add	ROCKY POINT CHANNEL BUOY 2	R N "2" Priv	N 41 00' 51.600"	W 073 33' 30.960"	41.01433	-73.5586	LNM 43/14, 1st Dist	2188	12368_1	11/6/2014
12368	Change	tabulation - NORWALK HARBOR CHANNEL DEPTHS	tabulation - NORWALK HARBOR CHANNEL DEPTHS	N 41 06' 36.000"	W 073 27' 06.000"	41.11	-73.45167	LNM 25/14, 1st Dist	2188	12368_1	6/26/2014
12368	Delete	Manresa Island Northerly Light	Fl 4s Priv	N 41 04' 18.300"	W 073 24' 25.680"	41.07175	-73.40714	LNM 53/13, 1st Dist	2188	12368_1	1/9/2014
12368	Delete	Manresa Island Southerly Light	F G Priv	N 41 04' 15.360"	W 073 24' 28.560"	41.07093	-73.40794	LNM 53/13, 1st Dist	2188	12368_1	1/9/2014
12368	Add	Sounding in Feet	39	N 41 02' 18.521"	W 073 20' 31.225"	41.03848	-73.34201	LNM 48/13, 1st Dist	2188	12368_1	11/20/2013
12368	Add	Sounding in Feet	17	N 41 06' 06.736"	W 073 19' 33.589"	41.10187	-73.326	LNM 48/13, 1st Dist	2188	12368_1	11/20/2013
12368	Add	Sounding in Feet	13	N 41 04' 23.606"	W 073 20' 55.676"	41.07322	-73.3488	LNM 48/13, 1st Dist	2188	12368_1	11/20/2013
12368	Add	Sounding in Feet	12	N 41 04' 35.144"	W 073 20' 13.492"	41.07643	-73.33708	LNM 48/13, 1st Dist	2188	12368_1	11/20/2013
12368	Substitute	Sounding in Feet	10 for 16	N 41 06' 12.776"	W 073 20' 35.131"	41.10355	-73.34309	LNM 48/13, 1st Dist	2188	12368_1	11/20/2013
12368	Add	Sounding in Feet	49	N 41 01' 26.100"	W 073 25' 30.800"	41.02392	-73.42522	LNM 41/13, 1st Dist	2188	12368_1	10/4/2013
12368	Add	Wreck in Feet	55 Wk      Chart No. 1: K26	N 41 01' 21.200"	W 073 27' 12.300"	41.02256	-73.45341	LNM 41/13, 1st Dist	2188	12368_1	10/4/2013
12368	Delete	Sounding in Feet	56	N 41 01' 27.200"	W 073 25' 28.600"	41.02422	-73.42461	LNM 41/13, 1st Dist	2188	12368_1	10/4/2013
12368	Add	Wreck in Feet	39 Wk      Chart No. 1: K26	N 41 02' 10.370"	W 073 21' 51.310"	41.03621	-73.36425	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
12368	Add	Sounding in Feet	12	N 41 04' 21.900"	W 073 24' 28.490"	41.07275	-73.40791	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
12368	Add	Sounding in Feet	30	N 41 01' 59.930"	W 073 26' 22.830"	41.03331	-73.43967	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
12368	Add	Rock in Feet	17 Rk      Chart No. 1: K14.2	N 41 02' 14.750"	W 073 26' 49.030"	41.03743	-73.44695	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
12368	Add	Rock in Feet	26 Rk      Chart No. 1: K14.2	N 41 02' 15.760"	W 073 26' 22.540"	41.03771	-73.4396	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
12368	Add	Rock in Feet	23 Rk      Chart No. 1: K14.2	N 41 02' 18.430"	W 073 25' 45.730"	41.03845	-73.42937	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
12368	Add	Rock in Feet	26 Rk      Chart No. 1: K14.2	N 41 02' 52.110"	W 073 23' 48.850"	41.04781	-73.3969	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
12368	Add	Rock in Feet	13 Rk      Chart No. 1: K14.2	N 41 04' 00.420"	W 073 21' 45.680"	41.06678	-73.36269	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
12368	Add	Rock in Feet	27 Rk      Chart No. 1: K14.2	N 41 03' 10.090"	W 073 21' 31.930"	41.0528	-73.35887	LNM 41/13, 1st Dist	2188	12368_1	9/30/2013
