Chart: 12378, Current Edition: 15, Print Date: Feb. /2012, Connecticut River Bodkin Rock to Hartford
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12378	Add	magenta channel reach separation line PT 1 OF 2	magenta channel reach separation line	N 41 44' 59.020"	W 072 38' 50.720"	41.74973	-72.64742	Not Yet Published	2159	12378_1	12/18/2014
12378	Add	magenta channel reach separation line PT 2 OF 2	magenta channel reach separation line	N 41 45' 00.110"	W 072 38' 49.350"	41.75003	-72.64704	Not Yet Published	2159	12378_1	12/18/2014
12378	Add	magenta channel reach separation line PT 1 OF 2	magenta channel reach separation line	N 41 40' 56.250"	W 072 36' 32.950"	41.68229	-72.60915	Not Yet Published	2159	12378_1	12/18/2014
12378	Add	magenta channel reach separation line PT 2 OF 2	magenta channel reach separation line	N 41 40' 56.490"	W 072 36' 31.000"	41.68236	-72.60861	Not Yet Published	2159	12378_1	12/18/2014
12378	Change	Depth Legend - Wethersfield Cove	6 FT APR 2014	N 41 43' 24.500"	W 072 39' 25.700"	41.72347	-72.65714	LNM 29/14, 1st Dist	2159	12378_1	7/17/2014
12378	Add	Sounding in Feet	5	N 41 43' 27.400"	W 072 39' 24.940"	41.72428	-72.65693	LNM 29/14, 1st Dist	2159	12378_1	7/17/2014
12378	Change	Depth Legend - Wethersfield Cove	3 FT APR 2014	N 41 43' 32.100"	W 072 39' 11.200"	41.72558	-72.65311	LNM 29/14, 1st Dist	2159	12378_1	7/17/2014
12378	Delete	Sounding in Feet	5	N 41 43' 27.800"	W 072 39' 25.700"	41.72439	-72.65714	LNM 29/14, 1st Dist	2159	12378_1	7/17/2014
12378	Relocate	Connecticut River Light 98	Fl R 2.5s 21ft 3M "98"	N 41 36' 00.089"	W 072 37' 30.538"	41.60003	-72.62515	LNM 52/13, 1st Dist	2160	12378_2	1/9/2014
12378	Relocate	Connecticut River Light 125	Fl G 4s 26ft 3M "125"	N 41 41' 23.949"	W 072 38' 09.026"	41.68999	-72.63584	LNM 52/13, 1st Dist	2159	12378_1	1/9/2014
12378	Relocate	Straits Hill Light	Q 23ft 7M	N 41 33' 48.968"	W 072 36' 14.879"	41.5636	-72.60413	LNM 52/13, 1st Dist	2160	12378_2	1/9/2014
12378	Relocate	Wethersfield Cove Daybeacon 3	G "3"	N 41 43' 30.581"	W 072 39' 20.496"	41.72516	-72.65569	LNM 43/13, 1st Dist	2159	12378_1	10/28/2013
12378	Relocate	Hartford Jetty Light 143	Fl G 4s 26ft 3M "143"	N 41 45' 03.657"	W 072 39' 02.752"	41.75101	-72.65076	LNM 43/13, 1st Dist	2159	12378_1	10/28/2013
12378	Relocate	Connecticut River Light 100	Fl R 4s 36ft 3M "100"	N 41 36' 07.834"	W 072 36' 56.170"	41.60218	-72.6156	LNM 40/13, 1st Dist	2160	12378_2	10/7/2013
12378	Relocate	Connecticut River Light 105	Fl G 4s 21ft 3M "105"	N 41 37' 09.622"	W 072 37' 39.029"	41.61934	-72.62751	LNM 40/13, 1st Dist	2160	12378_2	10/7/2013
12378	Relocate	Connecticut River Light 107	Fl G 2.5s 21ft 3M "107"	N 41 37' 49.669"	W 072 37' 58.010"	41.63046	-72.63278	LNM 40/13, 1st Dist	2160	12378_2	10/7/2013
12378	Relocate	Connecticut River Light 80	Fl R 4s 31ft 3M "80"	N 41 33' 40.027"	W 072 36' 09.336"	41.56112	-72.60259	LNM 40/13, 1st Dist	2160	12378_2	10/7/2013
12378	Relocate	Connecticut River Light 95	Fl G 4s 21ft 3M "95"	N 41 35' 46.793"	W 072 38' 17.331"	41.59633	-72.63815	LNM 40/13, 1st Dist	2160	12378_2	10/7/2013
12378	Relocate	Connecticut River Light 120	Fl R 4s 36ft 3M "120"	N 41 41' 07.789"	W 072 36' 36.071"	41.6855	-72.61002	LNM 36/13, 1st Dist	2159	12378_1	9/12/2013
