Chart: 13003, Current Edition: 52, Print Date: Oct. /2015, Cape Sable to Cape Hatteras
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13003	Change	GANNET ROCK LIGHT	2Lts Oc 3s 13m 11M HORN RACON (--.)	N 44 30' 37.000"	W 066 46' 52.300"	44.51028	-66.7812	CNM 06/17, Canada	2156	13003_1	7/6/2017
13003	Change	HALFWAY ROCK LIGHT	Fl R 5s 76ft 19M (MRASS)	N 43 39' 20.800"	W 070 02' 12.426"	43.65578	-70.03678	LNM 22/17, 1st Dist	2156	13003_1	6/8/2017
13003	Relocate	NOAA ODAS BUOY 44008	Y ODAS "44008" Fl (4) Y 20s PA	N 40 30' 16.000"	W 069 14' 52.000"	40.50444	-69.24778	LNM 17/17, 1st Dist	2156	13003_1	5/4/2017
13003	Relocate	NOAA Lighted Data Buoy 41001 (ODAS)	Y ODAS "41001" Fl (4) Y 20s PA	N 34 38' 48.000"	W 072 37' 18.000"	34.64667	-72.62167	LNM 17/17, 5th Dist	2156	13003_1	5/4/2017
13003	Add	CARIBBEAN WIND LTD RESEARCH BUOY BW1	Y "BW1" Fl Y 4s Priv	N 40 55' 03.270"	W 070 55' 55.150"	40.91758	-70.93198	LNM 15/17, 1st Dist	2156	13003_1	4/20/2017
13003	Add	CARIBBEAN WIND LTD RESEARCH BUOY BW2	Y "BW2" Fl Y 4s Priv	N 41 07' 05.170"	W 070 39' 34.500"	41.1181	-70.65958	LNM 15/17, 1st Dist	2156	13003_1	4/20/2017
13003	Add	CARIBBEAN WIND LTD RESEARCH BUOY BW3	Y "BW3" Fl Y 10s Priv	N 41 07' 05.170"	W 070 34' 24.500"	41.1181	-70.57347	LNM 15/17, 1st Dist	2156	13003_1	4/20/2017
13003	Change	Dangerous Wreck	(Chart No. 1: K28)	N 35 43' 07.020"	W 075 24' 21.780"	35.71862	-75.40605	LNM 13/17, 5th Dist	2156	13003_1	4/6/2017
13003	Add	MANANA ISLAND VAIS 14M	V-AIS "14M"	N 43 45' 18.715"	W 069 22' 28.075"	43.7552	-69.37447	LNM 12/17, 1st Dist	2156	13003_1	3/30/2017
13003	Add	Obstruction	Unexploded ordnance (reported 2017)	N 39 45' 01.200"	W 073 23' 29.400"	39.75033	-73.3915	LNM 13/17, 1st Dist	2156	13003_1	3/30/2017
13003	Add	Submerged Obstruction	Obstn PA  (Chart No. 1: K40)	N 35 43' 07.020"	W 075 24' 21.780"	35.71862	-75.40605	LNM 12/17, 5th Dist	2156	13003_1	3/23/2017
13003	Add	Scripps Lighted Data Buoy CDIP 171	Y "CDIP 171" Fl (5) Y 20s PA	N 36 36' 14.000"	W 074 50' 19.000"	36.60389	-74.83861	LNM 11/17, 5th Dist	2156	13003_1	3/23/2017
13003	Relocate	MOUNT DESERT LIGHT	F 15s 75ft 20M	N 43 58' 07.010"	W 068 07' 42.012"	43.96861	-68.12833	LNM 04/17, 1st Dist	2156	13003_1	2/2/2017
13003	Add	Submarine Cable  PT 6 OF 7	Chart No. 1: L30.1	N 41 07' 55.160"	W 071 30' 08.250"	41.13199	-71.50229	LNM 05/17, 1st Dist	2156	13003_1	1/26/2017
