Chart: 13209, Current Edition: 27, Print Date: May. /2014, Block Island Sound and Gardiners Bay; Montauk Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13209	Relocate	LITTLE GULL ISLAND REEF BUOY 1	G C "1"	N 41 12' 29.662"	W 072 06' 08.682"	41.20824	-72.10241	LNM 01/17, 1st Dist	2149	13209_1	1/12/2017
13209	Add	OUT EAST OYSTERS LTD AQUACULTURE BUOY A	Y "A" F Y Priv	N 41 00' 07.000"	W 072 05' 24.000"	41.00195	-72.09	LNM 20/16, 1st Dist	2149	13209_1	5/26/2016
13209	Add	OUT EAST OYSTERS LTD AQUACULTURE BUOY B	Y "B" F Y Priv	N 41 00' 10.000"	W 072 05' 28.000"	41.00278	-72.09111	LNM 20/16, 1st Dist	2149	13209_1	5/26/2016
13209	Add	OUT EAST OYSTERS LTD AQUACULTURE BUOY C	Y "C" F Y Priv	N 41 00' 10.000"	W 072 05' 20.000"	41.00278	-72.08889	LNM 20/16, 1st Dist	2149	13209_1	5/26/2016
13209	Add	OUT EAST OYSTERS LTD AQUACULTURE BUOY D	Y "D" F Y Priv	N 41 00' 04.000"	W 072 05' 20.000"	41.00111	-72.08889	LNM 20/16, 1st Dist	2149	13209_1	5/26/2016
13209	Relocate	OLD SILAS ROCK BUOY 1	G C "1"	N 41 11' 25.000"	W 072 08' 43.021"	41.19028	-72.14529	LNM 20/16, 1st Dist	2149	13209_1	5/26/2016
13209	Add	Sounding in Feet	20	N 41 06' 54.680"	W 071 54' 31.490"	41.11519	-71.90874	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	9	N 41 05' 13.660"	W 071 53' 37.360"	41.08713	-71.89371	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	29	N 41 07' 10.800"	W 071 56' 19.280"	41.11967	-71.93869	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Rock in Feet	6 Rk      	N 41 06' 54.220"	W 071 54' 59.050"	41.11506	-71.9164	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Delete	Sounding in Feet	13	N 41 06' 52.140"	W 071 54' 59.930"	41.11448	-71.91665	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	15	N 41 05' 58.980"	W 071 54' 57.760"	41.09972	-71.91605	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	12	N 41 06' 08.390"	W 071 54' 34.610"	41.10233	-71.90961	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Delete	Sounding in Feet	15	N 41 06' 06.260"	W 071 54' 30.840"	41.10174	-71.90857	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	17	N 41 04' 54.380"	W 071 56' 40.800"	41.08177	-71.94466	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Delete	Sounding in Feet	26	N 41 06' 56.400"	W 071 54' 28.070"	41.11567	-71.9078	LNM 21/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	11	N 41 06' 31.997"	W 072 04' 38.899"	41.10889	-72.07747	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Delete	Sounding in Feet	27	N 41 06' 36.000"	W 072 04' 30.300"	41.11	-72.07508	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	11	N 41 05' 38.605"	W 072 03' 32.537"	41.09406	-72.05904	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	22	N 41 05' 32.633"	W 072 03' 16.301"	41.0924	-72.05453	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	18	N 41 05' 59.784"	W 072 02' 54.211"	41.09994	-72.04839	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	18	N 41 05' 59.784"	W 072 02' 54.211"	41.09994	-72.04839	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	29	N 41 03' 41.494"	W 072 02' 40.805"	41.06153	-72.04467	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	6	N 41 01' 43.748"	W 072 03' 57.492"	41.02882	-72.06597	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Rock in Feet (Within Corresponding Depth Area)	8 Rk         Chart No. 1:K14.1	N 41 05' 35.502"	W 072 03' 56.358"	41.0932	-72.06566	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
13209	Add	Sounding in Feet	18	N 41 05' 23.399"	W 072 03' 36.050"	41.08983	-72.06001	LNM 20/16, 1st Dist	2149	13209_1	5/19/2016
