Chart: 13211, Current Edition: 16, Print Date: Mar. /2011, North Shore of Long Island Sound Niantic Bay and Vicinity
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13211	Add	disposal area PT 1 OF 5	Dumping Ground Depths from surveys of 2005	N 41 16' 48.600"	W 072 06' 28.350"	41.28017	-72.10787	LNM 06/17, 1st Dist	2146	13211_1	2/2/2017
13211	Add	disposal area PT 2 OF 5	Dumping Ground Depths from surveys of 2005	N 41 16' 48.600"	W 072 07' 13.200"	41.28017	-72.12033	LNM 06/17, 1st Dist	2146	13211_1	2/2/2017
13211	Add	disposal area PT 3 OF 5	Dumping Ground Depths from surveys of 2005	N 41 15' 58.200"	W 072 07' 13.200"	41.26617	-72.12033	LNM 06/17, 1st Dist	2146	13211_1	2/2/2017
13211	Add	disposal area PT 4 OF 5	Dumping Ground Depths from surveys of 2005	N 41 15' 48.600"	W 072 06' 34.800"	41.2635	-72.10966	LNM 06/17, 1st Dist	2146	13211_1	2/2/2017
13211	Add	disposal area PT 5 OF 5	Dumping Ground Depths from surveys of 2005	N 41 15' 48.600"	W 072 06' 28.470"	41.2635	-72.10791	LNM 06/17, 1st Dist	2146	13211_1	2/2/2017
13211	Add	bridge construction	Bridge under construction (see note)	N 41 22' 07.997"	W 072 11' 32.996"	41.36889	-72.1925	LNM 38/16, 1st Dist	2146	13211_1	9/15/2016
13211	Delete	fixed bridge label	FIXED BRIDGE HOR CL 56 FT VERT CL 6 FT	N 41 22' 07.997"	W 072 11' 32.996"	41.36889	-72.1925	LNM 38/16, 1st Dist	2146	13211_1	9/15/2016
13211	Change	bridge construction 	None	N 41 22' 07.997"	W 072 11' 32.996"	41.36889	-72.1925	LNM 38/16, 1st Dist	2146	13211_1	9/15/2016
13211	Relocate	NIANTIC RIVER CHANNEL BUOY 23	G C "23"	N 41 20' 09.594"	W 072 10' 56.753"	41.336	-72.18243	LNM 34/15, 1st Dist	2146	13211_1	9/3/2015
13211	Relocate	NIANTIC RIVER CHANNEL BUOY 24	R N "24"	N 41 20' 09.840"	W 072 10' 54.724"	41.33607	-72.18187	LNM 34/15, 1st Dist	2146	13211_1	9/3/2015
