Chart: 13221, Current Edition: 61, Print Date: Jun. /2016, Narragansett Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13221	Change	BRAGA BRIDGE SOUND SIGNAL	HORN (MRASS) Priv	N 41 42' 24.534"	W 071 09' 58.506"	41.70681	-71.16625	LNM 24/17, 1st Dist	2137	13221_1	6/29/2017
13221	Delete	GREENWICH BAY LIGHT 8	F R "8" Priv	N 41 40' 03.500"	W 071 26' 41.500"	41.66764	-71.44486	LNM 24/17, 1st Dist	2137	13221_1	6/22/2017
13221	Change	WARWICK LIGHT	Oc G 4s 66ft 10M HORN	N 41 40' 01.800"	W 071 22' 41.900"	41.66717	-71.3783	LNM 22/17, 1st Dist	2137	13221_1	6/8/2017
13221	Delete	WARWICK NARROWS EAST BUOY 6	R N "6"	N 41 38' 14.085"	W 071 22' 09.333"	41.63725	-71.36926	LNM 21/17, 1st Dist	2137	13221_1	6/1/2017
13221	Delete	WARWICK NARROWS EAST BUOY 5	G C "5"	N 41 37' 58.435"	W 071 22' 14.663"	41.6329	-71.37074	LNM 21/17, 1st Dist	2137	13221_1	6/1/2017
13221	Delete	SAKONNET RIVER ENTRANCE LTD BUOY SR	RW "SR" Mo (A) WHIS	N 41 25' 45.374"	W 071 13' 23.166"	41.42927	-71.2231	LNM 20/17, 1st Dist	2137	13221_1	5/25/2017
13221	Relocate	TAUNTON RIVER CHANNEL BUOY 19	G C "19"	N 41 48' 31.113"	W 071 07' 05.664"	41.80864	-71.11824	LNM 19/17, 1st Dist	2137	13221_1	5/18/2017
13221	Delete	TAUNTON RIVER CHANNEL BUOY 10	R N "10"	N 41 46' 53.529"	W 071 07' 06.150"	41.78154	-71.11838	LNM 15/17, 1st Dist	2137	13221_1	4/20/2017
13221	Delete	TAUNTON RIVER CHANNEL BUOY 9	G C "9"	N 41 46' 38.289"	W 071 07' 08.586"	41.7773	-71.11905	LNM 15/17, 1st Dist	2137	13221_1	4/20/2017
13221	Change	MOUNT HOPE BAY BRIDGE FOG SIGNAL	HORN (MRASS) Priv	N 41 38' 28.920"	W 071 15' 31.920"	41.64137	-71.25887	LNM 14/17, 1st Dist	2137	13221_1	4/13/2017
13221	Delete	WARREN RIVER JUNCTION BUOY	GR C	N 41 43' 55.366"	W 071 17' 16.079"	41.73204	-71.2878	LNM 09/17, 1st Dist	2137	13221_1	3/9/2017
13221	Add	submerged pile	Subm pile (15 ft)	N 41 31' 41.060"	W 071 24' 17.920"	41.52807	-71.40498	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	Subm pile (20 ft)	N 41 31' 38.300"	W 071 23' 59.720"	41.52731	-71.39993	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	Subm pile (20 ft)	N 41 31' 35.010"	W 071 23' 37.790"	41.52639	-71.39383	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	15 ft depth	N 41 31' 34.480"	W 071 23' 34.330"	41.52625	-71.39287	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	Subm pile (15 ft)	N 41 31' 40.650"	W 071 24' 15.290"	41.52796	-71.40424	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	Subm pile (15 ft)	N 41 31' 40.250"	W 071 24' 12.700"	41.52785	-71.40353	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	Subm pile (20 ft)	N 41 31' 39.370"	W 071 24' 06.720"	41.5276	-71.40186	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	5 ft depth	N 41 31' 34.120"	W 071 23' 31.780"	41.52615	-71.39216	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	(35 ft)	N 41 31' 37.800"	W 071 23' 56.390"	41.52717	-71.39899	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	(60 ft)	N 41 31' 36.540"	W 071 23' 48.020"	41.52682	-71.39668	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	(30 ft)	N 41 31' 35.540"	W 071 23' 41.320"	41.52654	-71.39481	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Delete	Fixed Bridge	Chart No. 1: D22	N 41 31' 39.160"	W 071 24' 05.680"	41.52755	-71.40158	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged ruins PT 1 OF 2	None	N 41 31' 46.600"	W 071 24' 55.100"	41.52961	-71.41531	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged ruins PT 2 OF 2	None	N 41 31' 43.500"	W 071 24' 34.200"	41.52875	-71.4095	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	Subm pile (15 ft)	N 41 31' 42.850"	W 071 24' 29.800"	41.52857	-71.40828	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	Subm pile (15 ft)	N 41 31' 42.180"	W 071 24' 25.540"	41.52839	-71.4071	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	Subm pile (15 ft)	N 41 31' 39.870"	W 071 24' 10.190"	41.52774	-71.40283	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
13221	Add	submerged pile	50 ft depth	N 41 31' 36.070"	W 071 23' 44.720"	41.52669	-71.39575	LNM 03/17, 1st Dist	2137	13221_1	1/12/2017
