Chart: 13229, Current Edition: 33, Print Date: Sep. /2016, South Coast of Cape Cod and Buzzards Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13229	Relocate	GREEN POND HARBOR APPROACH LTD BUOY 2	R "2" Fl R 2.5s	N 41 32' 38.489"	W 070 34' 10.247"	41.54403	-70.56951	LNM 24/17, 1st Dist	2116	13229_4	6/22/2017
13229	Change	VINEYARD HAVEN LIGHT 7	Fl G 4s 20ft 4M "7"	N 41 27' 38.885"	W 070 35' 19.022"	41.4608	-70.58862	LNM 22/17, 1st Dist	2116	13229_4	6/8/2017
13229	Delete	GANNET LEDGE BUOY 6	R N "6"	N 41 36' 53.400"	W 070 20' 19.831"	41.61483	-70.33884	LNM 21/17, 1st Dist	2113	13229_1	6/1/2017
13229	Delete	INEZ ROCK BUOY 11	G C "11"	N 41 33' 44.787"	W 070 54' 25.913"	41.56244	-70.9072	LNM 19/17, 1st Dist	2122	13229_10	5/18/2017
13229	Change	CLEVELAND LEDGE CHANNEL LTD BUOY 2	R "2" Fl R 4s	N 41 36' 38.662"	W 070 42' 10.996"	41.61074	-70.70306	LNM 19/17, 1st Dist	2122	13229_10	5/18/2017
13229	Delete	SPINDLE ROCK BUOY 8	R N "8"	N 41 37' 49.098"	W 070 20' 17.041"	41.63031	-70.33807	LNM 19/17, 1st Dist	2113	13229_1	5/18/2017
13229	Change	CLEVELAND LEDGE CHANNEL LTD BUOY 7	G "7" Fl G 4s	N 41 39' 07.042"	W 070 41' 27.496"	41.65195	-70.69097	LNM 19/17, 1st Dist	2123	13229_11	5/18/2017
13229	Relocate	GANNET LEDGE BUOY 6	R N "6"	N 41 36' 53.400"	W 070 20' 19.831"	41.61483	-70.33884	LNM 19/17, 1st Dist	2113	13229_1	5/18/2017
13229	Relocate	ALLEN HARBOR ENTRANCE BKW LIGHT	Q G 20ft Priv	N 41 39' 40.000"	W 070 05' 22.600"	41.66111	-70.08961	LNM 18/17, 1st Dist	2113	13229_1	5/11/2017
13229	Change	VINEYARD HAVEN LIGHT 7	Fl G 4s 12ft 4M "7"	N 41 27' 38.885"	W 070 35' 19.022"	41.4608	-70.58862	LNM 18/17, 1st Dist	2116	13229_4	5/11/2017
13229	Delete	LUCAS SHOAL BUOY LS	G R C "LS"	N 41 24' 41.699"	W 070 45' 52.216"	41.41158	-70.7645	LNM 17/17, 1st Dist	2121	13229_9	5/4/2017
13229	Delete	COTUIT ANCHORAGE LTD BELL BUOY 1	G "1" Fl G 4s BELL	N 41 35' 25.475"	W 070 23' 22.643"	41.59041	-70.38963	LNM 17/17, 1st Dist	2116	13229_4	5/4/2017
13229	Delete	WHITE AND ORANGE CAN BUOY	W Or C	N 41 37' 52.380"	W 070 16' 53.160"	41.63122	-70.28143	LNM 15/17, 1st Dist	2115	13229_3	4/20/2017
13229	Delete	FIDDLE HEAD ROCK DANGER BUOY	W Or C	N 41 38' 19.320"	W 070 15' 43.620"	41.6387	-70.26212	LNM 15/17, 1st Dist	2115	13229_3	4/20/2017
13229	Delete	LITTLE HARBOR BUOY 9	G C "9"	N 41 31' 09.072"	W 070 39' 59.208"	41.51919	-70.66644	LNM 11/17, 1st Dist	2118	13229_6	3/23/2017
13229	Delete	LITTLE HARBOR LTD BUOY 10	R "10" Q R	N 41 31' 10.702"	W 070 39' 56.908"	41.51964	-70.66581	LNM 11/17, 1st Dist	2118	13229_6	3/23/2017
