Chart: 13237, Current Edition: 42, Print Date: May. /2013, Nantucket Sound and Approaches
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13237	Relocate	GREEN POND HARBOR APPROACH LTD BUOY 2	R "2" Fl R 2.5s	N 41 32' 38.489"	W 070 34' 10.247"	41.54403	-70.56951	LNM 24/17, 1st Dist	2106	13237_1	6/22/2017
13237	Change	POLLOCK RIP CHANNEL LTD BUOY 4	R "4" Fl R 4s	N 41 33' 14.272"	W 069 54' 34.225"	41.55396	-69.90951	LNM 23/17, 1st Dist	2106	13237_1	6/15/2017
13237	Delete	GANNET LEDGE BUOY 6	R N "6"	N 41 36' 53.400"	W 070 20' 19.831"	41.61483	-70.33884	LNM 21/17, 1st Dist	2106	13237_1	6/1/2017
13237	Change	GREAT ROUND SHOAL CHANNEL LTD BUOY 13	G "13" Fl G 2.5s	N 41 25' 55.326"	W 069 58' 54.401"	41.43203	-69.98178	LNM 20/17, 1st Dist	2106	13237_1	5/25/2017
13237	Delete	SPINDLE ROCK BUOY 8	R N "8"	N 41 37' 49.098"	W 070 20' 17.041"	41.63031	-70.33807	LNM 19/17, 1st Dist	2106	13237_1	5/18/2017
13237	Relocate	GANNET LEDGE BUOY 6	R N "6"	N 41 36' 53.400"	W 070 20' 19.831"	41.61483	-70.33884	LNM 19/17, 1st Dist	2106	13237_1	5/18/2017
13237	Relocate	ALLEN HARBOR ENTRANCE BKW LIGHT	Q G 20ft Priv	N 41 39' 40.000"	W 070 05' 22.600"	41.66111	-70.08961	LNM 18/17, 1st Dist	2106	13237_1	5/11/2017
13237	Delete	COTUIT ANCHORAGE LTD BELL BUOY 1	G "1" Fl G 4s BELL	N 41 35' 25.475"	W 070 23' 22.643"	41.59041	-70.38963	LNM 17/17, 1st Dist	2106	13237_1	5/4/2017
13237	Delete	MADAKET HARBOR APPROACH LTD BELL BUOY 2	R "2" Fl R 2.5s BELL	N 41 18' 56.993"	W 070 11' 24.829"	41.31583	-70.19023	LNM 13/17, 1st Dist	2106	13237_1	4/6/2017
13237	Delete	LONE ROCK BUOY 1	G C "1"	N 41 27' 15.355"	W 070 32' 58.360"	41.45427	-70.54955	LNM 11/17, 1st Dist	2106	13237_1	3/23/2017
13237	Delete	OAK BLUFFS HARBOR APPROACH OBSTRUCTION BUOY	GR C	N 41 27' 36.546"	W 070 33' 04.600"	41.46015	-70.55128	LNM 11/17, 1st Dist	2106	13237_1	3/23/2017
13237	Delete	HARDING BEACH FISH TRAP LIGHT E	Fl Y 6s "E" PA Priv	N 41 39' 52.680"	W 069 59' 47.040"	41.66463	-69.9964	LNM 06/17, 1st Dist	2106	13237_1	2/16/2017
13237	Relocate	NORTON SHOAL NORTHEAST BUOY 5	G C "5"	N 41 26' 09.922"	W 070 19' 50.418"	41.43609	-70.33067	LNM 49/16, 1st Dist	2106	13237_1	12/15/2016
13237	Relocate	BASS RIVER ENTRANCE BUOY 4	R N "4" Priv	N 41 38' 14.500"	W 070 11' 43.000"	41.63736	-70.19527	LNM 45/16, 1st Dist	2106	13237_1	11/17/2016
13237	Relocate	BASS RIVER ENTRANCE BUOY 5	G C "5" Priv	N 41 38' 20.900"	W 070 11' 45.200"	41.63914	-70.19589	LNM 45/16, 1st Dist	2106	13237_1	11/17/2016
13237	Relocate	WYCHMERE HARBOR JETTY LT 1	Fl G 4s 25ft 5M "1"	N 41 39' 37.813"	W 070 03' 47.851"	41.6605	-70.06329	LNM 37/16, 1st Dist	2106	13237_1	9/22/2016
13237	Change	STAGE HARBOR LIGHT	Fl 6s 28ft 7M	N 41 39' 30.265"	W 069 59' 04.095"	41.65841	-69.98447	LNM 33/16, 1st Dist	2106	13237_1	8/25/2016
13237	Relocate	STAGE HARBOR LIGHT	Fl 6s 28ft 7M	N 41 39' 30.265"	W 069 59' 04.095"	41.65841	-69.98447	LNM 33/16, 1st Dist	2106	13237_1	8/25/2016
