Chart: 13241, Current Edition: 18, Print Date: Mar. /2014, Nantucket Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13241	Change	GREAT ROUND SHOAL CHANNEL LTD BUOY 13	G "13" Fl G 2.5s	N 41 25' 55.326"	W 069 58' 54.401"	41.43203	-69.98178	LNM 20/17, 1st Dist	2101	13241_1	5/25/2017
13241	Delete	MADAKET HARBOR APPROACH LTD BELL BUOY 2	R "2" Fl R 2.5s BELL	N 41 18' 56.993"	W 070 11' 24.829"	41.31583	-70.19023	LNM 13/17, 1st Dist	2101	13241_1	4/6/2017
13241	Relocate	NORTON SHOAL NORTHEAST BUOY 5	G C "5"	N 41 26' 09.922"	W 070 19' 50.418"	41.43609	-70.33067	LNM 49/16, 1st Dist	2101	13241_1	12/15/2016
13241	Relocate	EEL POINT CHANNEL BUOY 3	G C "3" Priv	N 41 18' 21.800"	W 070 11' 24.000"	41.30606	-70.19	LNM 23/16, 1st Dist	2101	13241_1	6/16/2016
13241	Relocate	EEL POINT CHANNEL BUOY 4A	R N "4A" Priv	N 41 18' 26.700"	W 070 11' 50.500"	41.30742	-70.19736	LNM 23/16, 1st Dist	2101	13241_1	6/16/2016
13241	Relocate	EEL POINT CHANNEL BUOY 6	R N "6" Priv	N 41 18' 27.500"	W 070 12' 08.300"	41.30764	-70.20231	LNM 23/16, 1st Dist	2101	13241_1	6/16/2016
13241	Relocate	EEL POINT CHANNEL BUOY 7	G C "7" Priv	N 41 18' 15.500"	W 070 12' 13.300"	41.30431	-70.2037	LNM 23/16, 1st Dist	2101	13241_1	6/16/2016
13241	Relocate	EEL POINT CHANNEL LTD BUOY 4	R "4" Q R Priv	N 41 18' 23.800"	W 070 11' 25.700"	41.30661	-70.19048	LNM 23/16, 1st Dist	2101	13241_1	6/16/2016
13241	Relocate	EEL POINT CHANNEL LTD BUOY 5	G "5" Q G Priv	N 41 18' 28.900"	W 070 12' 01.700"	41.30803	-70.20047	LNM 23/16, 1st Dist	2101	13241_1	6/16/2016
13241	Change	tabulation - Nantucket Harbor	tabulation - Nantucket Harbor	N 41 15' 57.000"	W 070 03' 09.000"	41.26583	-70.0525	LNM 13/16, 1st Dist	2101	13241_1	3/31/2016
13241	Add	Cable Area  PT 1 OF 7	Cable Area 	N 41 17' 54.100"	W 070 05' 15.500"	41.29836	-70.08764	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Add	Cable Area  PT 2 OF 7	Cable Area 	N 41 18' 37.500"	W 070 05' 58.000"	41.31042	-70.09944	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Add	Cable Area  PT 3 OF 7	Cable Area 	N 41 18' 36.600"	W 070 06' 01.500"	41.31017	-70.10042	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Add	Cable Area  PT 4 OF 7	Cable Area 	N 41 17' 45.000"	W 070 05' 39.200"	41.29583	-70.09422	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Add	Cable Area  PT 5 OF 7	Cable Area 	N 41 17' 26.900"	W 070 05' 35.000"	41.29081	-70.09306	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Add	Cable Area  PT 6 OF 7	Cable Area 	N 41 17' 23.900"	W 070 05' 24.600"	41.28997	-70.09016	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Add	Cable Area  PT 7 OF 7	Cable Area 	N 41 17' 40.300"	W 070 05' 03.000"	41.29453	-70.08417	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Delete	Cable Area  PT 1 OF 4	Cable Area 	N 41 17' 55.200"	W 070 05' 10.300"	41.29867	-70.0862	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Delete	Cable Area  PT 2 OF 4	Cable Area 	N 41 18' 40.000"	W 070 05' 55.200"	41.31111	-70.09866	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Delete	Cable Area  PT 3 OF 4	Cable Area 	N 41 17' 54.800"	W 070 05' 26.000"	41.29856	-70.09055	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Delete	Cable Area  PT 4 OF 4	Cable Area 	N 41 18' 21.300"	W 070 05' 51.600"	41.30592	-70.09766	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Delete	Cable Area  PT 1 OF 4	Cable Area	N 41 17' 23.800"	W 070 05' 24.600"	41.28994	-70.09016	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Delete	Cable Area  PT 2 OF 4	Cable Area	N 41 17' 40.300"	W 070 05' 03.000"	41.29453	-70.08417	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Delete	Cable Area  PT 3 OF 4	Cable Area	N 41 17' 26.600"	W 070 05' 29.400"	41.29072	-70.0915	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Delete	Cable Area  PT 4 OF 4	Cable Area	N 41 17' 42.900"	W 070 05' 07.800"	41.29525	-70.0855	LNM 07/16, 1st Dist	2101	13241_1	2/11/2016
13241	Add	Sounding in Feet	4	N 41 21' 30.499"	W 070 20' 30.919"	41.35847	-70.34192	LNM 45/15, 1st Dist	2101	13241_1	11/5/2015
13241	Delete	Sounding in Feet	44	N 41 23' 30.600"	W 070 19' 23.650"	41.39183	-70.32323	LNM 45/15, 1st Dist	2101	13241_1	11/5/2015
13241	Add	Sounding in Feet	11	N 41 23' 29.551"	W 070 19' 23.563"	41.39154	-70.32321	Not Yet Published	2101	13241_1	11/5/2015
13241	Change	NANTUCKET EAST BKW LT 3	Fl G 4s 30ft 3M "3"	N 41 18' 37.058"	W 070 06' 00.112"	41.3103	-70.10003	LNM 31/15, 1st Dist	2101	13241_1	8/13/2015
13241	Change	NANTUCKET EAST BKW LT 3	Fl G 4s 30ft 12M "3"	N 41 18' 37.058"	W 070 06' 00.112"	41.3103	-70.10003	LNM 28/15, 1st Dist	2101	13241_1	7/23/2015
13241	Add	dotted fish trap PT 1 OF 4	None	N 41 19' 50.300"	W 070 01' 16.300"	41.33064	-70.02119	LNM 26/15, 1st Dist	2101	13241_1	7/2/2015
13241	Add	dotted fish trap PT 2 OF 4	None	N 41 19' 42.400"	W 070 01' 08.400"	41.32845	-70.019	LNM 26/15, 1st Dist	2101	13241_1	7/2/2015
13241	Add	dotted fish trap PT 3 OF 4	None	N 41 19' 59.000"	W 070 00' 40.700"	41.33306	-70.01131	LNM 26/15, 1st Dist	2101	13241_1	7/2/2015
13241	Add	dotted fish trap PT 4 OF 4	None	N 41 20' 05.300"	W 070 00' 48.800"	41.3348	-70.01356	LNM 26/15, 1st Dist	2101	13241_1	7/2/2015
13241	Add	fish trap label	Fish trap	N 41 19' 53.900"	W 070 00' 58.700"	41.33164	-70.0163	LNM 26/15, 1st Dist	2101	13241_1	7/2/2015
13241	Relocate	NANTUCKET SOUND MAIN CHANNEL LTD BUOY 17 ODAS 44020	G "17 ODAS 44020" Fl G 6s PA	N 41 26' 34.808"	W 070 11' 13.587"	41.443	-70.18711	LNM 09/15, 1st Dist	2101	13241_1	3/12/2015
13241	Delete	NANTUCKET HARBOR CHANNEL BUOY 15	G C "15"	N 41 17' 08.212"	W 070 05' 24.747"	41.28561	-70.09021	LNM 50/14, 1st Dist	2101	13241_1	1/8/2015
13241	Add	EEL POINT CHANNEL BUOY 3	G C "3" Priv	N 41 18' 23.000"	W 070 11' 32.900"	41.30639	-70.19247	LNM 25/14, 1st Dist	2101	13241_1	7/3/2014
13241	Relocate	EEL PT CHANNEL BUOY 4A	R N "4A" Priv	N 41 18' 25.600"	W 070 11' 56.400"	41.30711	-70.199	LNM 24/14, 1st Dist	2101	13241_1	6/26/2014
13241	Relocate	EEL PT CHANNEL BUOY 6	R N "6" Priv	N 41 18' 23.500"	W 070 12' 10.800"	41.30653	-70.203	LNM 24/14, 1st Dist	2101	13241_1	6/26/2014
13241	Relocate	EEL PT CHANNEL LIGHTED BUOY 5	G "5" Q G Priv	N 41 18' 23.100"	W 070 12' 05.700"	41.30642	-70.20158	LNM 24/14, 1st Dist	2101	13241_1	6/26/2014
13241	Change	EEL PT CHANNEL LIGHTED BUOY 5	G "5" Q G Priv	N 41 18' 23.100"	W 070 12' 05.700"	41.30642	-70.20158	LNM 24/14, 1st Dist	2101	13241_1	6/26/2014
13241	Change	EEL POINT CHANNEL LIGHTED BUOY 4	R "4" Q R Priv	N 41 18' 25.900"	W 070 11' 35.100"	41.30719	-70.19308	LNM 24/14, 1st Dist	2101	13241_1	6/26/2014
13241	Relocate	EEL POINT CHANNEL LIGHTED BUOY 4	R "4" Q R Priv	N 41 18' 25.900"	W 070 11' 35.100"	41.30719	-70.19308	LNM 24/14, 1st Dist	2101	13241_1	6/26/2014
13241	Relocate	HEAD OF HARBOR BUOY 4	R N "4" Priv	N 41 17' 59.100"	W 070 03' 35.400"	41.29975	-70.05983	LNM 24/14, 1st Dist	2101	13241_1	6/26/2014
13241	Change	tabulation - NANTUCKET HARBOR	tabulation - NANTUCKET HARBOR	N 41 15' 57.000"	W 070 03' 09.000"	41.26583	-70.0525	LNM 21/14, 1st Dist	2101	13241_1	5/22/2014
