Chart: 13242, Current Edition: 18, Print Date: Dec. /2011, Nantucket Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13242	Change	tabulation - Nantucket Harbor	tabulation - Nantucket Harbor	N 41 16' 46.000"	W 070 06' 23.000"	41.27945	-70.10639	LNM 13/16, 1st Dist	2100	13242_1	3/31/2016
13242	Delete	Cable Area  PT 1 OF 4	Cable Area 	N 41 17' 23.800"	W 070 05' 24.600"	41.28994	-70.09016	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Delete	Cable Area  PT 2 OF 4	Cable Area 	N 41 17' 40.300"	W 070 05' 03.000"	41.29453	-70.08417	Not Yet Published	2100	13242_1	2/11/2016
13242	Delete	Cable Area  PT 3 OF 4	Cable Area 	N 41 17' 25.900"	W 070 05' 27.700"	41.29053	-70.09103	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Delete	Cable Area  PT 4 OF 4	Cable Area 	N 41 17' 42.200"	W 070 05' 06.200"	41.29506	-70.08505	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Delete	Cable Area  PT 1 OF 4	Cable Area 	N 41 17' 54.100"	W 070 05' 15.500"	41.29836	-70.08764	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Delete	Cable Area  PT 2 OF 4	Cable Area 	N 41 18' 37.500"	W 070 05' 58.000"	41.31042	-70.09944	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Delete	Cable Area  PT 3 OF 4	Cable Area 	N 41 17' 54.700"	W 070 05' 21.200"	41.29853	-70.08923	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Delete	Cable Area  PT 4 OF 4	Cable Area 	N 41 18' 29.800"	W 070 05' 55.700"	41.30828	-70.09881	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Add	Cable Area  PT 1 OF 7	Cable Area 	N 41 17' 54.100"	W 070 05' 15.500"	41.29836	-70.08764	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Add	Cable Area  PT 2 OF 7	Cable Area 	N 41 18' 37.500"	W 070 05' 58.000"	41.31042	-70.09944	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Add	Cable Area  PT 3 OF 7	Cable Area 	N 41 18' 36.600"	W 070 06' 01.500"	41.31017	-70.10042	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Add	Cable Area  PT 4 OF 7	Cable Area 	N 41 17' 45.000"	W 070 05' 39.200"	41.29583	-70.09422	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Add	Cable Area  PT 5 OF 7	Cable Area 	N 41 17' 26.900"	W 070 05' 35.000"	41.29081	-70.09306	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
13242	Add	Cable Area  PT 6 OF 7	Cable Area 	N 41 17' 23.900"	W 070 05' 24.600"	41.28997	-70.09016	LNM 07/16, 1st Dist	2100	13242_1	2/11/2016
