Chart: 13248, Current Edition: 12, Print Date: Oct. /2013, Chatham Harbor and Pleasant Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13248	Change	STAGE HARBOR LIGHT	Fl 6s 28ft 7M	N 41 39' 30.265"	W 069 59' 04.095"	41.65841	-69.98447	LNM 33/16, 1st Dist	2097	13248_1	8/25/2016
13248	Relocate	STAGE HARBOR LIGHT	Fl 6s 28ft 7M	N 41 39' 30.265"	W 069 59' 04.095"	41.65841	-69.98447	LNM 33/16, 1st Dist	2097	13248_1	8/25/2016
13248	Delete	LITTLE PLEASANT BAY BUOY 32A	R N "32A" Priv	N 41 43' 37.000"	W 069 58' 19.000"	41.72694	-69.97195	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 34	R N "34" Priv	N 41 43' 53.000"	W 069 58' 07.000"	41.73139	-69.96861	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 35	G C "35" Priv	N 41 44' 05.000"	W 069 57' 59.000"	41.73472	-69.96639	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 36	R N "36" Priv	N 41 44' 04.000"	W 069 57' 59.000"	41.73444	-69.96639	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 37	G C "37" Priv	N 41 44' 06.000"	W 069 57' 56.000"	41.735	-69.96555	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 38	R N "38" Priv	N 41 44' 06.000"	W 069 57' 55.000"	41.735	-69.96528	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 39	G C "39" Priv	N 41 44' 13.000"	W 069 57' 58.000"	41.73695	-69.96611	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 41	G C "41" Priv	N 41 44' 28.000"	W 069 57' 55.000"	41.74111	-69.96528	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 43	G C "43" Priv	N 41 44' 36.000"	W 069 57' 50.000"	41.74333	-69.96389	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 44	R N "44" Priv	N 41 44' 44.000"	W 069 57' 56.000"	41.74556	-69.96555	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 46	R N "46" Priv	N 41 44' 50.000"	W 069 58' 06.000"	41.74722	-69.96833	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 48	R N "48" Priv	N 41 45' 04.000"	W 069 57' 59.000"	41.75111	-69.96639	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 50	R N "50" Priv	N 41 45' 11.000"	W 069 57' 44.000"	41.75306	-69.96222	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 51	G C "51" Priv	N 41 45' 21.000"	W 069 57' 28.000"	41.75583	-69.95778	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 52	R N "52" Priv	N 41 45' 31.000"	W 069 57' 27.000"	41.75861	-69.9575	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
13248	Delete	LITTLE PLEASANT BAY BUOY 53	G C "53" Priv	N 41 45' 30.000"	W 069 57' 28.000"	41.75834	-69.95778	LNM 44/15, 1st Dist	2097	13248_1	11/12/2015
