Chart: 13249, Current Edition: 13, Print Date: Apr. /2007, Provincetown Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13249	Change	HIGHLAND LIGHT	Fl 5s 170ft 14M	N 42 02' 22.282"	W 070 03' 39.377"	42.03952	-70.06094	LNM 45/16, 1st Dist	2096	13249_1	11/17/2016
13249	Change	PROVINCETOWN HARBOR BKW WEST END LT 4	Fl R 2.5s 32ft 5M "4"	N 42 02' 45.533"	W 070 10' 52.025"	42.04598	-70.18112	LNM 35/16, 1st Dist	2096	13249_1	9/8/2016
13249	Change	PROVINCETOWN HARBOR BKW WEST END LT 4	Fl R 2.5s 20ft 5M "4"	N 42 02' 45.533"	W 070 10' 52.025"	42.04598	-70.18112	LNM 18/16, 1st Dist	2096	13249_1	5/12/2016
13249	Change	PROVINCETOWN HARBOR BKW EAST END LT 5	Fl G 6s 32ft 5M "5"	N 42 03' 05.080"	W 070 10' 32.707"	42.05141	-70.17575	LNM 18/16, 1st Dist	2096	13249_1	5/12/2016
13249	Change	WOOD END LIGHT	Fl R 10s 45ft 13M HORN (MRASS)	N 42 01' 16.800"	W 070 11' 36.500"	42.02133	-70.19347	LNM 10/15, 1st Dist	2096	13249_1	4/2/2015
13249	Change	LONG POINT LIGHT	Oc G 4s 36ft 8M HORN (MRASS)	N 42 01' 59.230"	W 070 10' 07.150"	42.03312	-70.16866	LNM 10/15, 1st Dist	2096	13249_1	4/2/2015
13249	Add	MRASS NOTE	CELL RASS01	N 42 04' 04.000"	W 070 13' 34.000"	42.06778	-70.22611	LNM 10/15, 1st Dist	2096	13249_1	4/2/2015
13249	Change	RACE POINT LIGHT	Fl 10s 41ft 14M	N 42 03' 44.400"	W 070 14' 34.900"	42.06233	-70.24303	LNM 41/14, 1st Dist	2096	13249_1	10/23/2014
13249	Change	Race Point Light	Fl 10s 41ft 16M	N 42 03' 44.400"	W 070 14' 34.900"	42.06233	-70.24303	LNM 52/12, 1st Dist	2096	13249_1	1/15/2013
13249	Change	High Head Fish Trap Light	Fl Y 4s 10ft Priv	N 42 02' 45.000"	W 070 07' 17.000"	42.04583	-70.12139	LNM 37/12, 1st Dist	2096	13249_1	9/17/2012
13249	Delete	Pilgrim Beach Fish Trap Light	Fl Y 6s Priv	N 42 03' 00.000"	W 070 08' 32.000"	42.05	-70.14222	LNM 36/12, 1st Dist	2096	13249_1	9/11/2012
13249	Delete	Pamet River Buoy 1	G C "1" Priv	N 41 59' 31.000"	W 070 04' 53.000"	41.99194	-70.08139	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Delete	Pamet River Jetty Light 2	Fl R 2.5s "2" Priv	N 41 59' 31.000"	W 070 04' 53.000"	41.99194	-70.08139	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Delete	Pamet River Buoy 3	G C "3" Priv	N 41 59' 32.000"	W 070 04' 44.000"	41.99222	-70.07889	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Delete	Pamet River Buoy 8	R N "8" Priv	N 41 59' 30.000"	W 070 04' 27.000"	41.99166	-70.07417	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Relocate	Pamet River Buoy 4	R N "4" Priv	N 41 59' 31.740"	W 070 04' 42.900"	41.99215	-70.07858	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Relocate	Pamet River Buoy 6	R N "6" Priv	N 41 59' 31.260"	W 070 04' 37.860"	41.99202	-70.07719	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Delete	Pamet River Buoy 5	G C "5" Priv	N 41 59' 31.000"	W 070 04' 35.000"	41.99194	-70.07639	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Relocate	Pamet River Buoy 7	G C "7" Priv	N 41 59' 31.440"	W 070 04' 37.080"	41.99207	-70.07697	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Relocate	Pamet River Buoy 10	R N "10" Priv	N 41 59' 30.600"	W 070 04' 31.800"	41.99183	-70.0755	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Add	Pamet River North Breakwater Light 1	Fl G 4s "1" Priv	N 41 59' 32.100"	W 070 04' 48.000"	41.99225	-70.08	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Add	Pamet River Entrance Lighted Buoy 2	R "2" Fl R 4s Priv	N 41 59' 31.680"	W 070 04' 48.000"	41.99213	-70.08	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Add	Pamet River Buoy 9	G C "9" Priv	N 41 59' 30.780"	W 070 04' 32.340"	41.99188	-70.07565	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Add	Pamet River Buoy 12	R N "12" Priv	N 41 59' 30.240"	W 070 04' 26.700"	41.99173	-70.07408	LNM 25/12, 1st Dist	2096	13249_1	6/25/2012
13249	Delete	No-Discharge Zone PT 1 OF 2	No-Discharge Zone, Chart No. 1 N1.2	N 42 04' 47.000"	W 070 10' 00.000"	42.07972	-70.16666	LNM 18/12, 1st Dist	2096	13249_1	4/30/2012
13249	Delete	No-Discharge Zone PT 2 OF 2	No-Discharge Zone, Chart No. 1 N1.2	N 42 05' 41.700"	W 070 10' 00.000"	42.09492	-70.16666	LNM 18/12, 1st Dist	2096	13249_1	4/30/2012
13249	Change	to: NOTE Z  NO-DISCHARGE ZONE, 40 CFR 140:	This chart falls entirely within the limits of a No-Discharge Zone (NDZ). Under the Clean Water Act, Section 312, all vessels operating within a No-Discharge Zone (NDZ) are completely prohibited from discharging any sewage, treated or untreated, into the waters. All vessels with an installed marine sanitation device (MSD) that are navigating, moored, anchored, or docked within an NDZ must have the MSD disabled to prevent the overboard discharge of sewage (treated or untreated) or install a holding tank. Regulations for the NDZ are contained in the U.S. Coast Pilot. Additional information concerning the regulations and requirements my be obtained from the Environmental Protection Agency (EPA) web site: http://www.epa.gov/owow/oceans/regulatory/vessel_sewage/.	N 42 02' 55.000"	W 070 03' 29.000"	42.04861	-70.05805	LNM 18/12, 1st Dist	2096	13249_1	4/30/2012
13249	Relocate	Highland Light	Fl 5s 170ft 18M	N 42 02' 22.282"	W 070 03' 39.377"	42.03952	-70.06094	LNM 49/11, 1st Dist	2096	13249_1	12/13/2011
13249	Relocate	Provincetown Harbor Mooring Buoy E	"E" (Chart No. 1: Q40)	N 42 02' 10.301"	W 070 10' 43.654"	42.03619	-70.17879	LNM 46/11, 1st Dist	2096	13249_1	11/21/2011
13249	Add	Dangerous Wreck	PA (15 ft rep)	N 42 01' 29.400"	W 070 10' 21.000"	42.02483	-70.1725	LNM 38/11, 1st Dist	2096	13249_1	9/29/2011
