Chart: 13251, Current Edition: 16, Print Date: Jun. /2011, Barnstable Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13251	Relocate	MARASPIN CREEK DBN 10	R "10" Priv	N 41 42' 29.900"	W 070 18' 03.300"	41.70831	-70.30092	LNM 47/16, 1st Dist	2093	13251_1	12/1/2016
13251	Add	MARASPIN CREEK DAYBEACON 10	R "10" Priv	N 41 42' 29.900"	W 070 18' 03.900"	41.70831	-70.30109	LNM 45/16, 1st Dist	2093	13251_1	11/17/2016
13251	Relocate	MARASPIN CREEK DBN 2	R "2" Priv	N 41 42' 40.500"	W 070 18' 03.700"	41.71125	-70.30103	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	MARASPIN CREEK DBN 4	R "4" Priv	N 41 42' 38.900"	W 070 18' 04.300"	41.7108	-70.30119	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	MARASPIN CREEK DBN 5	G "5" Priv	N 41 42' 38.400"	W 070 18' 03.600"	41.71067	-70.301	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	MARASPIN CREEK DBN 6	R "6" Priv	N 41 42' 35.900"	W 070 18' 05.900"	41.70997	-70.30164	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	MARASPIN CREEK DBN 7	G "7" Priv	N 41 42' 35.200"	W 070 18' 05.200"	41.70978	-70.30145	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	MARASPIN CREEK DBN 8	R "8" Priv	N 41 42' 31.900"	W 070 18' 04.700"	41.70886	-70.30131	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	MARASPIN CREEK DBN 9	G "9" Priv	N 41 42' 32.600"	W 070 18' 04.200"	41.70906	-70.30117	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	MARASPIN CREEK LTD BUOY 1	G "1" Fl G 4s Priv	N 41 42' 44.500"	W 070 17' 59.500"	41.71236	-70.29986	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	SALTEN POINT BUOY 1	G C "1" Priv	N 41 42' 45.400"	W 070 18' 12.000"	41.71261	-70.30334	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
13251	Relocate	SALTEN POINT BUOY 2	R N "2" Priv	N 41 42' 45.300"	W 070 18' 17.700"	41.71258	-70.30492	LNM 30/16, 1st Dist	2093	13251_1	8/4/2016
