Chart: 13267, Current Edition: 36, Print Date: Sep. /2013, Massachusetts Bay; North River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13267	Change	GREAT PIG ROCKS LTD BUOY 4	R "4" Fl R 4s	N 42 27' 37.568"	W 070 50' 12.556"	42.46043	-70.83682	LNM 23/17, 1st Dist	2088	13267_1	6/15/2017
13267	Delete	Fixed Bridge	Chart No. 1: D22	N 42 18' 30.138"	W 070 58' 55.426"	42.30837	-70.98206	LNM 20/17, 1st Dist	2088	13267_1	5/18/2017
13267	Add	90 feet sounding and label: Wk	90 Wk	N 42 18' 43.830"	W 070 17' 50.550"	42.31218	-70.29738	LNM 49/16, 1st Dist	2088	13267_1	12/8/2016
13267	Add	85 feet sounding and label: Wk	85 Wk	N 42 10' 55.460"	W 070 13' 27.970"	42.18207	-70.22443	LNM 49/16, 1st Dist	2088	13267_1	12/8/2016
13267	Add	85 feet sounding and label: Wk	85 Wk	N 42 23' 02.000"	W 070 21' 21.700"	42.38389	-70.35603	LNM 49/16, 1st Dist	2088	13267_1	12/8/2016
13267	Add	90 feet sounding and label: Wk	90 Wk	N 42 22' 20.780"	W 070 22' 13.760"	42.37244	-70.37049	LNM 49/16, 1st Dist	2088	13267_1	12/8/2016
13267	Change	HIGHLAND LIGHT	Fl 5s 170ft 14M	N 42 02' 22.282"	W 070 03' 39.377"	42.03952	-70.06094	LNM 45/16, 1st Dist	2088	13267_1	11/17/2016
13267	Change	NIXES MATE LTD BUOY 15	G "15" Q G	N 42 20' 02.525"	W 070 56' 40.502"	42.33403	-70.94458	LNM 37/16, 1st Dist	2088	13267_1	9/22/2016
13267	Relocate	NIXES MATE LTD BUOY 15	G "15" Q G	N 42 20' 02.525"	W 070 56' 40.502"	42.33403	-70.94458	LNM 37/16, 1st Dist	2088	13267_1	9/22/2016
13267	Relocate	NORTHEAST GATEWAY SUPPORT VESSEL MOORING BUOY	None	N 42 24' 01.800"	W 070 38' 42.600"	42.4005	-70.64516	LNM 31/16, 1st Dist	2088	13267_1	8/11/2016
13267	Relocate	THE NARROWS LIGHT 4	Fl R 4s 35ft 6M "4"	N 42 19' 20.501"	W 070 55' 10.864"	42.32236	-70.91969	LNM 25/16, 1st Dist	2088	13267_1	6/30/2016
13267	Relocate	DEER ISLAND LIGHT	Al WR 10s 53ft 9M HORN (MRASS)	N 42 20' 22.428"	W 070 57' 16.290"	42.33956	-70.95453	LNM 20/16, 1st Dist	2088	13267_1	5/26/2016
13267	Substitute	Sounding in Feet	4 for 10	N 42 10' 03.100"	W 070 42' 21.800"	42.16753	-70.70605	LNM 21/16, 1st Dist	2089	13267_2	5/19/2016
13267	Delete	Sounding in Feet	19	N 42 09' 41.700"	W 070 42' 39.900"	42.16158	-70.71108	LNM 21/16, 1st Dist	2089	13267_2	5/19/2016
13267	Relocate	COHASSET GANGWAY LTD BELL BUOY 1G	G "1G" Fl G 6s BELL	N 42 16' 08.047"	W 070 46' 22.635"	42.2689	-70.77296	LNM 12/16, 1st Dist	2088	13267_1	3/31/2016
13267	Add	DANGEROUS WRECK	PA	N 42 34' 59.400"	W 070 21' 43.200"	42.58317	-70.362	CNM 02/16, Canada	2088	13267_1	3/10/2016
13267	Change	NEW INLET LIGHTED BELL BUOY 1	G "1" Fl G 2.5s BELL	N 42 10' 12.606"	W 070 42' 01.784"	42.17017	-70.70049	LNM 08/16, 1st Dist	2089	13267_2	3/3/2016
13267	Change	NEW INLET LIGHTED BELL BUOY 1	G "1" Fl G 2.5s BELL	N 42 10' 12.606"	W 070 42' 01.784"	42.17017	-70.70049	LNM 08/16, 1st Dist	2088	13267_1	3/3/2016
13267	Add	DANGEROUS WRECK	None	N 42 34' 05.800"	W 070 21' 43.200"	42.56828	-70.362	LNM 50/15, 1st Dist	2088	13267_1	12/24/2015
13267	Change	DEER ISLAND LIGHT	Al WR 10s 53ft 9M HORN (MRASS)	N 42 20' 23.461"	W 070 57' 16.225"	42.33985	-70.95451	LNM 49/15, 1st Dist	2088	13267_1	12/17/2015
13267	Delete	DEER ISLAND DANGER LIGHT	F R 15ft 6M	N 42 20' 23.461"	W 070 57' 16.225"	42.33985	-70.95451	LNM 49/15, 1st Dist	2088	13267_1	12/17/2015
13267	Relocate	DEER ISLAND LIGHT	Al WR 10s 53ft 9M HORN	N 42 20' 23.461"	W 070 57' 16.225"	42.33985	-70.95451	LNM 45/15, 1st Dist	2088	13267_1	11/19/2015
13267	Change	DEER ISLAND LIGHT	Al WR 10s 53ft 9M HORN	N 42 20' 23.461"	W 070 57' 16.225"	42.33985	-70.95451	LNM 45/15, 1st Dist	2088	13267_1	11/19/2015
13267	Delete	Fixed Bridge PT 1 OF 2	None	N 42 26' 52.900"	W 070 58' 33.900"	42.44803	-70.97608	LNM 44/15, 1st Dist	2088	13267_1	10/29/2015
13267	Delete	Fixed Bridge PT 2 OF 2	None	N 42 26' 58.200"	W 070 58' 28.800"	42.4495	-70.97467	LNM 44/15, 1st Dist	2088	13267_1	10/29/2015
13267	Change	Bridge in Ruins PT 1 OF 2	Ruins    	N 42 26' 52.900"	W 070 58' 33.900"	42.44803	-70.97608	LNM 44/15, 1st Dist	2088	13267_1	10/29/2015
13267	Change	Bridge in Ruins PT 2 OF 2	Ruins    	N 42 26' 51.400"	W 070 58' 35.500"	42.44761	-70.97652	LNM 44/15, 1st Dist	2088	13267_1	10/29/2015
