Chart: 13276, Current Edition: 23, Print Date: Oct. /2010, Salem, Marblehead and Beverly Harbors
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13276	Add	NO ANCHOR AREA PT 1 OF 4	No Anchor Area	N 42 32' 14.500"	W 070 52' 57.700"	42.53736	-70.8827	LNM 29/16, 1st Dist	2071	13276_1	7/28/2016
13276	Add	NO ANCHOR AREA PT 2 OF 4	No Anchor Area	N 42 32' 14.500"	W 070 52' 56.300"	42.53736	-70.88231	LNM 29/16, 1st Dist	2071	13276_1	7/28/2016
13276	Add	NO ANCHOR AREA PT 3 OF 4	No Anchor Area	N 42 32' 13.100"	W 070 52' 56.300"	42.53697	-70.88231	LNM 29/16, 1st Dist	2071	13276_1	7/28/2016
13276	Add	NO ANCHOR AREA PT 4 OF 4	No Anchor Area	N 42 32' 13.100"	W 070 52' 57.700"	42.53697	-70.8827	LNM 29/16, 1st Dist	2071	13276_1	7/28/2016
13276	Delete	SPECIAL ANCHORAGE AREA PT 1 OF 4	None	N 42 32' 13.481"	W 070 52' 57.700"	42.53708	-70.8827	LNM 29/16, 1st Dist	2071	13276_1	7/28/2016
13276	Delete	SPECIAL ANCHORAGE AREA PT 2 OF 4	None	N 42 32' 13.100"	W 070 52' 57.700"	42.53697	-70.8827	LNM 29/16, 1st Dist	2071	13276_1	7/28/2016
13276	Delete	SPECIAL ANCHORAGE AREA PT 3 OF 4	None	N 42 32' 13.100"	W 070 52' 56.300"	42.53697	-70.88231	LNM 29/16, 1st Dist	2071	13276_1	7/28/2016
13276	Delete	SPECIAL ANCHORAGE AREA PT 4 OF 4	None	N 42 32' 14.331"	W 070 52' 56.300"	42.53732	-70.88231	LNM 29/16, 1st Dist	2071	13276_1	7/28/2016
13276	Add	Sewer  PT 1 OF 9	Sewers	N 42 30' 51.660"	W 070 51' 57.450"	42.51435	-70.86596	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Add	Sewer  PT 2 OF 9	Sewers	N 42 30' 52.740"	W 070 52' 00.780"	42.51465	-70.86688	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Add	Sewer  PT 3 OF 9	Sewers	N 42 30' 52.800"	W 070 52' 04.510"	42.51467	-70.86792	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Add	Sewer  PT 4 OF 9	Sewers	N 42 30' 55.030"	W 070 52' 06.990"	42.51529	-70.86861	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Add	Sewer  PT 5 OF 9	Sewers	N 42 31' 02.180"	W 070 52' 09.260"	42.51727	-70.86924	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Add	Sewer  PT 6 OF 9	Sewers	N 42 31' 20.840"	W 070 52' 18.150"	42.52246	-70.87171	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Add	Sewer  PT 7 OF 9	Sewers	N 42 31' 28.420"	W 070 52' 23.430"	42.52456	-70.87318	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Add	Sewer  PT 8 OF 9	Sewers	N 42 31' 41.530"	W 070 52' 23.720"	42.5282	-70.87325	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Add	Sewer  PT 9 OF 9	Sewers	N 42 31' 42.840"	W 070 52' 26.440"	42.52857	-70.87401	LNM 27/16, 1st Dist	2071	13276_1	6/30/2016
13276	Relocate	PALMER COVE CHANNEL BUOY 7	G C "7" Priv	N 42 30' 49.560"	W 070 53' 08.220"	42.51377	-70.88562	LNM 20/16, 1st Dist	2071	13276_1	5/26/2016
13276	Relocate	MARBLEHEAD HARBOR FAIRWAY BUOY 10	R N "10" Priv	N 42 30' 23.800"	W 070 50' 33.100"	42.50661	-70.84253	LNM 02/16, 1st Dist	2071	13276_1	1/28/2016
