Chart: 13278, Current Edition: 28, Print Date: Aug. /2013, Portsmouth to Cape Ann; Hampton Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13278	Add	Bridge Construction	None	N 43 05' 13.080"	W 070 45' 38.030"	43.08697	-70.76057	LNM 03/17, 1st Dist	2069	13278_1	1/12/2017
13278	Delete	MERRIMACK RIVER ENTRANCE BUOY 5	G C "5"	N 42 48' 57.318"	W 070 48' 09.611"	42.81592	-70.80267	LNM 49/16, 1st Dist	2069	13278_1	12/15/2016
13278	Add	MERRIMACK RIVER ENTRANCE SOUTH JETTY LT 5	Fl G 2.5s 15ft 4M "5"	N 42 48' 57.784"	W 070 48' 15.966"	42.81605	-70.80444	LNM 49/16, 1st Dist	2069	13278_1	12/15/2016
13278	Relocate	UNH ISLE OF SHOALS  REASEARCH LTD BUOY C02	Y "CO2" Fl Y 4s Priv	N 43 01' 13.848"	W 070 32' 33.558"	43.02051	-70.54266	LNM 47/16, 1st Dist	2069	13278_1	12/1/2016
13278	Add	NEMAC/SALEM STATE UNIVERSITY AQUACULTURE LTD BUOY A	Y "A" Fl Y 2s Priv	N 42 40' 59.998"	W 070 27' 00.000"	42.68333	-70.45	LNM 30/16, 1st Dist	2069	13278_1	8/4/2016
13278	Change	Depth Legend - Newburyport Harbor 9-foot channel	6 FT MAY 2016	N 42 48' 59.000"	W 070 50' 34.000"	42.81639	-70.84278	LNM 30/16, 1st Dist	2069	13278_1	7/21/2016
13278	Change	Depth Legend - Newburyport Harbor 15-foot channel	8 FT MAY 2016	N 42 48' 55.000"	W 070 48' 00.000"	42.81528	-70.8	LNM 30/16, 1st Dist	2069	13278_1	7/21/2016
13278	Delete	Sounding in Feet	7	N 42 53' 18.480"	W 070 49' 13.670"	42.88847	-70.82047	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Add	Depth Legend - Hampton Harbor	4 1/2 FT NOV 2015	N 42 53' 29.660"	W 070 49' 12.660"	42.89157	-70.82018	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Delete	Sounding in Feet	5	N 42 53' 26.210"	W 070 49' 12.710"	42.89061	-70.8202	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Delete	Sounding in Feet	4	N 42 53' 32.550"	W 070 49' 11.830"	42.89238	-70.81995	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Add	Low Water Line PT 1 OF 4	None	N 42 53' 24.040"	W 070 49' 15.170"	42.89001	-70.82088	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Add	Low Water Line PT 2 OF 4	None	N 42 53' 24.650"	W 070 49' 13.710"	42.89018	-70.82047	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Add	Low Water Line PT 3 OF 4	None	N 42 53' 26.150"	W 070 49' 13.050"	42.8906	-70.82029	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Add	Low Water Line PT 4 OF 4	None	N 42 53' 28.480"	W 070 49' 14.150"	42.89124	-70.82059	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Add	Magenta channel reach separation line PT 1 OF 2	None	N 42 53' 44.810"	W 070 49' 10.140"	42.89578	-70.81948	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Add	Magenta channel reach separation line PT 2 OF 2	None	N 42 53' 43.320"	W 070 49' 07.460"	42.89537	-70.81874	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
13278	Delete	Sounding in Feet	2	N 42 53' 40.210"	W 070 49' 12.390"	42.8945	-70.82011	LNM 14/16, 1st Dist	2070	13278_2	4/7/2016
