Chart: 13282, Current Edition: 12, Print Date: Sep. /2009, Newburyport Harbor and Plum Island Sound
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13282	Delete	WHITE AND ORANGE BUOY	W Or Priv	N 42 49' 51.486"	W 070 53' 46.083"	42.83097	-70.89613	LNM 06/17, 1st Dist	2065	13282_1	2/16/2017
13282	Delete	MERRIMACK RIVER ENTRANCE BUOY 5	G C "5"	N 42 48' 57.318"	W 070 48' 09.611"	42.81592	-70.80267	LNM 49/16, 1st Dist	2065	13282_1	12/15/2016
13282	Add	MERRIMACK RIVER ENTRANCE SOUTH JETTY LT 5	Fl G 2.5s 15ft 4M "5"	N 42 48' 57.784"	W 070 48' 15.966"	42.81605	-70.80444	LNM 49/16, 1st Dist	2065	13282_1	12/15/2016
13282	Change	tabulation - Newburyport Harbor Channel Depths	tabulation - Newburyport Harbor Channel Depths	N 42 49' 54.000"	W 070 51' 06.000"	42.83167	-70.85167	LNM 30/16, 1st Dist	2065	13282_1	12/8/2016
13282	Relocate	MERRIMACK RIVER BUOY 22A	R N "22A"	N 42 49' 36.542"	W 070 53' 24.025"	42.82682	-70.89001	LNM 16/16, 1st Dist	2065	13282_1	4/28/2016
13282	Delete	PLUM ISLAND POINT DBN P	GW "P"	N 42 49' 01.122"	W 070 49' 13.356"	42.81698	-70.82037	LNM 01/16, 1st Dist	2065	13282_1	1/14/2016
13282	Change	MERRIMACK RIVER BUOY 22A	R N "22A"	N 42 49' 36.050"	W 070 53' 22.886"	42.82668	-70.88969	LNM 50/15, 1st Dist	2065	13282_1	12/24/2015
13282	Change	tabulation - NEWBURYPORT HARBOR CHANNEL	tabulation - NEWBURYPORT HARBOR CHANNEL	N 42 49' 54.000"	W 070 51' 06.000"	42.83167	-70.85167	LNM 49/15, 1st Dist	2065	13282_1	12/3/2015
13282	Relocate	MERRIMACK RIVER NORTH JETTY LT 4	Fl R 2.5s 15ft 4M "4"	N 42 49' 08.250"	W 070 48' 13.962"	42.81896	-70.80388	LNM 42/15, 1st Dist	2065	13282_1	10/29/2015
13282	Add	Submarine Cable  PT 1 OF 2	None	N 42 49' 09.060"	W 070 52' 22.260"	42.81918	-70.87285	LNM 29/15, 1st Dist	2065	13282_1	7/23/2015
13282	Add	Submarine Cable  PT 2 OF 2	None	N 42 49' 02.160"	W 070 52' 41.140"	42.81727	-70.8781	LNM 29/15, 1st Dist	2065	13282_1	7/23/2015
13282	Change	to Swing Bridge	(Chart No. 1: D23.2)	N 42 50' 07.600"	W 070 54' 27.000"	42.83545	-70.9075	LNM 04/15, 1st Dist	2065	13282_1	1/29/2015
13282	Change	to Swing Bridge Label	SWING BRIDGE HOR CL 54 FT VERT CL 14 FT 	N 42 50' 07.600"	W 070 54' 27.000"	42.83545	-70.9075	LNM 04/15, 1st Dist	2065	13282_1	1/29/2015
13282	Change	SALISBURY POINT LIGHT	Fl Y 6s 8ft Priv	N 42 50' 17.940"	W 070 54' 45.660"	42.83832	-70.91268	LNM 47/14, 1st Dist	2065	13282_1	12/11/2014
13282	Relocate	SALISBURY POINT LIGHT	Fl Y 6s 8ft Priv	N 42 50' 17.940"	W 070 54' 45.660"	42.83832	-70.91268	LNM 47/14, 1st Dist	2065	13282_1	12/11/2014
13282	Change	tabulation - NEWBURYPORT HARBOR CHANNEL	tabulation - NEWBURYPORT HARBOR CHANNEL	N 42 49' 54.000"	W 070 51' 06.000"	42.83167	-70.85167	Not Yet Published	2065	13282_1	11/6/2014
13282	Change	MERRIMACK RIVER ENTRANCE LB 2	R "2" Fl R 4s	N 42 49' 06.297"	W 070 47' 36.364"	42.81842	-70.79343	LNM 40/14, 1st Dist	2065	13282_1	10/16/2014
13282	Relocate	STEAMBOAT CHANNEL NORTH JUNCTION BUOY SCN	GR C "SCN"	N 42 50' 10.980"	W 070 54' 48.931"	42.83638	-70.91359	LNM 20/14, 1st Dist	2065	13282_1	5/29/2014
13282	Change	Fixed Bridge Label	FIXED BRIDGE HOR CL 114 FT VERT CL 12 FT	N 42 45' 44.420"	W 070 50' 51.540"	42.76234	-70.84765	LNM 21/14, 1st Dist	2065	13282_1	5/22/2014
13282	Change	Fixed Bridge	None	N 42 45' 44.420"	W 070 50' 51.540"	42.76234	-70.84765	LNM 21/14, 1st Dist	2065	13282_1	5/22/2014
13282	Change	to Bridge Construction	Chart No. 1: D.d, with magenta screen extending 500 feet from bridge	N 42 50' 04.620"	W 070 54' 41.380"	42.83462	-70.91149	LNM 08/14, 1st Dist	2065	13282_1	2/27/2014
13282	Add	Bridge Construction Label	Bridge under construction (see note)	N 42 50' 04.620"	W 070 54' 41.380"	42.83462	-70.91149	LNM 08/14, 1st Dist	2065	13282_1	2/27/2014
13282	Delete	Fixed Bridge Label	FIXED BRIDGE NORTH SPAN HOR CL 242 FT VERT CL 55 FT SOUTH SPAN HOR CL 150 FT VERT CL 32 FT	N 42 50' 04.620"	W 070 54' 41.380"	42.83462	-70.91149	LNM 08/14, 1st Dist	2065	13282_1	2/27/2014
13282	Relocate	Plum Island Sound Buoy 12	R N "12"	N 42 42' 35.960"	W 070 47' 29.474"	42.70999	-70.79152	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 18	R N "18"	N 42 43' 00.890"	W 070 48' 52.718"	42.71692	-70.81464	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 19	G C "19"	N 42 43' 13.874"	W 070 48' 46.928"	42.72052	-70.81303	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 21	G C "21"	N 42 43' 30.693"	W 070 48' 44.804"	42.72519	-70.81245	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Change	Plum Island Sound Buoy 23	G C "23"	N 42 43' 38.040"	W 070 48' 27.216"	42.72723	-70.80756	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 23	G C "23"	N 42 43' 38.040"	W 070 48' 27.216"	42.72723	-70.80756	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Change	Plum Island Sound Buoy 23A	G C "23A"	N 42 43' 43.862"	W 070 48' 06.608"	42.72885	-70.80183	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 23A	G C "23A"	N 42 43' 43.862"	W 070 48' 06.608"	42.72885	-70.80183	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 25	G C "25"	N 42 44' 01.826"	W 070 48' 04.328"	42.73384	-70.8012	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 27	G C "27"	N 42 44' 11.593"	W 070 48' 13.626"	42.73655	-70.80379	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 29	G C "29"	N 42 44' 23.372"	W 070 48' 39.686"	42.73983	-70.81103	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Relocate	Plum Island Sound Buoy 30	R N "30"	N 42 44' 31.968"	W 070 49' 01.980"	42.74221	-70.81721	LNM 49/13, 1st Dist	2065	13282_1	12/6/2013
13282	Change	NOTE C to:	Positions of Private Aids to Navigation in the Ipswich and Eagle Hill Rivers are frequently shifted with changing conditions and are not charted.	N 42 41' 25.000"	W 070 47' 03.000"	42.69028	-70.78416	LNM 35/13, 1st Dist	2065	13282_1	9/3/2013
13282	Change	Tabulation - Newburyport Harbor Channel Depths	Tabulation - Newburyport Harbor Channel Depths	N 42 49' 54.000"	W 070 51' 06.000"	42.83167	-70.85167	LNM 20/13, 1st Dist	2065	13282_1	5/10/2013
13282	Relocate	Plum Island Sound Buoy 16	R N "16"	N 42 42' 48.598"	W 070 48' 49.710"	42.7135	-70.8138	LNM 18/13, 1st Dist	2065	13282_1	5/8/2013
13282	Change	Plum Island Point Daybeacon P	GW "P" (delete green sector lines)	N 42 49' 01.122"	W 070 49' 13.356"	42.81698	-70.82037	LNM 19/13, 1st Dist	2065	13282_1	4/30/2013
13282	Change	Plum Island Sound Entrance Lighted Buoy 2	R "2" Fl R 4s (delete BELL)	N 42 42' 10.000"	W 070 44' 24.000"	42.70278	-70.74	LNM 14/13, 1st Dist	2065	13282_1	4/9/2013
