Chart: 13296, Current Edition: 26, Print Date: Jan. /2012, Boothbay Harbor to Bath, Including Kennebec River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13296	Add	MRASS NOTE	RASS01	N 43 55' 04.000"	W 069 38' 55.000"	43.91778	-69.64861	LNM 06/16, 1st Dist	2040	13296_1	2/18/2016
13296	Change	BURNT ISLAND LIGHT	Fl R 6s 61ft 6M HORN (MRASS)	N 43 49' 30.700"	W 069 38' 24.800"	43.8252	-69.64022	LNM 05/16, 1st Dist	2040	13296_1	2/11/2016
13296	Add	Fixed Bridge PT 1 OF 2	None	N 43 55' 06.580"	W 069 39' 39.880"	43.9185	-69.66108	LNM 50/14, 1st Dist	2040	13296_1	12/18/2014
13296	Add	Fixed Bridge PT 2 OF 2	None	N 43 55' 05.020"	W 069 39' 32.570"	43.91806	-69.65905	LNM 50/14, 1st Dist	2040	13296_1	12/18/2014
13296	Add	Fixed Bridge Label	FIXED BRIDGE HOR CL 8 FT VERT CL 2 FT	N 43 55' 06.000"	W 069 39' 37.000"	43.91833	-69.66028	LNM 50/14, 1st Dist	2040	13296_1	12/18/2014
13296	Delete	Bridge in ruins	Bridge in ruins	N 43 55' 05.710"	W 069 39' 36.720"	43.91825	-69.6602	Not Yet Published	2040	13296_1	12/18/2014
13296	Add	Visible Wreck	PA     	N 43 52' 49.510"	W 069 39' 45.460"	43.88042	-69.66263	LNM 43/14, 1st Dist	2040	13296_1	10/23/2014
13296	Relocate	Sasanoa River Buoy 27	G C "27"	N 43 54' 01.641"	W 069 46' 45.148"	43.90046	-69.77921	LNM 33/13, 1st Dist	2040	13296_1	8/16/2013
13296	Relocate	Back River Channel Daybeacon 3	G "3"	N 43 52' 58.686"	W 069 40' 14.234"	43.88297	-69.67062	LNM 28/13, 1st Dist	2040	13296_1	7/16/2013
13296	Relocate	Carleton Ledges Jetty Daybeacon 33	G "33"	N 43 54' 07.087"	W 069 47' 14.035"	43.90197	-69.78723	LNM 27/13, 1st Dist	2040	13296_1	7/9/2013
13296	Add	Sewer PT 1 OF 11	Chart No. 1: L41.1	N 43 49' 32.510"	W 069 38' 52.610"	43.8257	-69.64795	LNM 25/13, 1st Dist	2040	13296_1	6/17/2013
13296	Add	Sewer PT 2 OF 11	Chart No. 1: L41.1	N 43 49' 34.150"	W 069 38' 49.010"	43.82615	-69.64695	LNM 25/13, 1st Dist	2040	13296_1	6/17/2013
13296	Add	Sewer PT 3 OF 11	Chart No. 1: L41.1	N 43 49' 42.780"	W 069 38' 47.920"	43.82855	-69.64664	LNM 25/13, 1st Dist	2040	13296_1	6/17/2013
13296	Add	Sewer PT 4 OF 11	Chart No. 1: L41.1	N 43 49' 47.250"	W 069 38' 48.290"	43.82979	-69.64674	LNM 25/13, 1st Dist	2040	13296_1	6/17/2013
13296	Add	Sewer PT 5 OF 11	Chart No. 1: L41.1	N 43 49' 49.700"	W 069 38' 46.450"	43.83047	-69.64623	LNM 25/13, 1st Dist	2040	13296_1	6/17/2013
13296	Add	Sewer PT 6 OF 11	Chart No. 1: L41.1	N 43 50' 00.430"	W 069 38' 43.890"	43.83345	-69.64552	LNM 25/13, 1st Dist	2040	13296_1	6/17/2013
