Chart: 13301, Current Edition: 21, Print Date: Aug. /2011, Muscongus Bay;New Harbor;Thomaston
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13301	Add	PORT CLYDE CHANNEL BUOY 1	G C "1" Priv	N 43 55' 42.840"	W 069 15' 51.480"	43.92857	-69.2643	LNM 24/17, 1st Dist	2033	13301_1	6/22/2017
13301	Add	PORT CLYDE CHANNEL BUOY 2	R N "2" Priv	N 43 55' 44.160"	W 069 15' 50.580"	43.92893	-69.26405	LNM 24/17, 1st Dist	2033	13301_1	6/22/2017
13301	Add	PORT CLYDE CHANNEL BUOY 3	G C "3" Priv	N 43 55' 47.580"	W 069 15' 55.320"	43.92988	-69.26537	LNM 24/17, 1st Dist	2033	13301_1	6/22/2017
13301	Add	PORT CLYDE CHANNEL BUOY 4	R N "4" Priv	N 43 55' 49.380"	W 069 15' 53.520"	43.93038	-69.26487	LNM 24/17, 1st Dist	2033	13301_1	6/22/2017
13301	Add	TENANTS HARBOR NOTE	Tenants Harbor is marked by uncharted private aids.	N 43 57' 25.000"	W 069 13' 30.000"	43.95694	-69.225	LNM 24/17, 1st Dist	2033	13301_1	6/22/2017
13301	Add	MANANA ISLAND VAIS 14M	V-AIS "14M"	N 43 45' 18.715"	W 069 22' 28.075"	43.7552	-69.37447	LNM 12/17, 1st Dist	2033	13301_1	3/30/2017
13301	Add	Sounding in Feet	13	N 43 58' 45.320"	W 069 09' 44.380"	43.97926	-69.16233	LNM 10/17, 1st Dist	2033	13301_1	3/2/2017
13301	Delete	Sounding in Feet	17	N 43 58' 45.480"	W 069 09' 49.420"	43.9793	-69.16373	LNM 10/17, 1st Dist	2033	13301_1	3/2/2017
13301	Add	Sounding in Feet	10	N 43 58' 27.750"	W 069 09' 38.270"	43.97438	-69.16063	LNM 10/17, 1st Dist	2033	13301_1	3/2/2017
13301	Substitute	Sounding in Feet	9 for 16	N 43 58' 44.800"	W 069 08' 46.000"	43.97911	-69.14611	LNM 10/17, 1st Dist	2033	13301_1	3/2/2017
13301	Substitute	Sounding in Feet	7 for 12	N 43 58' 29.200"	W 069 07' 53.200"	43.97478	-69.13145	LNM 10/17, 1st Dist	2033	13301_1	3/2/2017
