Chart: 13305, Current Edition: 30, Print Date: Feb. /2017, Penobscot Bay;Carvers Harbor and Approaches
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13305	Delete	ISLE AU HAUT THOROFARE DBN 4	R "4"	N 44 04' 31.602"	W 068 38' 12.636"	44.07544	-68.63684	LNM 11/17, 1st Dist	2029	13305_1	3/23/2017
13305	Add	ISLE AU HAUT THOROFARE BUOY 4	R N "4"	N 44 04' 31.974"	W 068 38' 13.201"	44.07555	-68.637	LNM 11/17, 1st Dist	2029	13305_1	3/23/2017
13305	Relocate	FOX ISLAND THOROFARE BUOY 2	R N "2"	N 44 07' 50.906"	W 068 48' 06.576"	44.13081	-68.80183	LNM 10/17, 1st Dist	2029	13305_1	3/23/2017
13305	Substitute	Sounding in Feet	22 for 45	N 44 04' 46.200"	W 068 56' 32.100"	44.0795	-68.94225	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	19	N 44 04' 07.900"	W 068 55' 40.500"	44.06886	-68.92792	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	20 	N 44 04' 06.700"	W 068 56' 05.700"	44.06853	-68.93491	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	17	N 44 04' 53.500"	W 068 56' 57.200"	44.08153	-68.94922	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	20 for 27	N 44 04' 30.700"	W 068 56' 37.600"	44.0752	-68.94378	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	21	N 44 04' 16.900"	W 068 55' 39.800"	44.07136	-68.92772	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	29	N 44 03' 26.200"	W 068 55' 45.000"	44.05728	-68.92917	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	13	N 43 58' 45.320"	W 069 09' 44.380"	43.97926	-69.16233	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Delete	Sounding in Feet	17	N 43 58' 45.480"	W 069 09' 49.420"	43.9793	-69.16373	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	9 for 16	N 43 58' 44.800"	W 069 08' 46.000"	43.97911	-69.14611	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	12	N 43 59' 24.400"	W 069 05' 18.600"	43.99011	-69.0885	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	12	N 43 59' 56.900"	W 069 05' 08.320"	43.99914	-69.08565	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	21	N 43 59' 14.300"	W 069 03' 08.200"	43.9873	-69.05228	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	17 for 26	N 44 00' 53.400"	W 069 01' 43.800"	44.01483	-69.02883	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	21 for 37	N 44 04' 56.600"	W 068 53' 42.800"	44.08239	-68.89523	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	25 for 36	N 44 07' 21.500"	W 068 51' 36.300"	44.12264	-68.86008	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	19	N 44 07' 26.800"	W 068 51' 27.200"	44.12411	-68.85756	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Delete	Sounding in Feet	37	N 44 01' 22.860"	W 068 51' 26.300"	44.02302	-68.85731	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	26 for 39	N 44 05' 14.800"	W 068 56' 40.000"	44.08744	-68.94444	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	16 for 27	N 44 01' 36.300"	W 068 51' 28.100"	44.02675	-68.8578	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Add	Sounding in Feet	20	N 44 01' 30.900"	W 068 51' 25.000"	44.02525	-68.85694	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	19 for 40	N 44 01' 35.700"	W 068 51' 14.500"	44.02658	-68.85403	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Delete	Sounding in Feet	39	N 44 04' 58.570"	W 068 53' 45.360"	44.08294	-68.89594	LNM 10/17, 1st Dist	2029	13305_1	3/2/2017
13305	Substitute	Sounding in Feet	28 for 41	N 44 02' 50.100"	W 068 52' 02.700"	44.04725	-68.86742	LNM 10/17, 1st Dist	2030	13305_2	3/2/2017
