Chart: 13307, Current Edition: 11, Print Date: Jul. /2012, Camden, Rockport and Rockland Harbors
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13307	Relocate	HENDRICKSON POINT BUOY 3	G C "3" 	N 44 04' 02.834"	W 069 03' 30.859"	44.06746	-69.05857	LNM 43/16, 1st Dist	2025	13307_1	11/3/2016
13307	Add	Sounding in Feet	29	N 44 08' 18.300"	W 069 04' 07.200"	44.13842	-69.06866	LNM 39/16, 1st Dist	2025	13307_1	9/22/2016
13307	Delete	Dangerous Wreck	PA      	N 44 05' 51.000"	W 069 03' 56.100"	44.0975	-69.06558	LNM 32/16, 1st Dist	2025	13307_1	8/4/2016
13307	Change	ROCKLAND HARBOR BKW LIGHT	Fl 5s 39ft 17M HORN (MRASS)	N 44 06' 14.546"	W 069 04' 39.161"	44.10404	-69.07755	LNM 28/16, 1st Dist	2025	13307_1	7/21/2016
13307	Delete	CAMDEN HARBOR CHANNEL BUOY 10	R N "10" Priv	N 44 12' 28.000"	W 069 03' 17.400"	44.20778	-69.05483	LNM 21/16, 1st Dist	2025	13307_1	6/2/2016
13307	Delete	CAMDEN HARBOR CHANNEL BUOY 11	G C "11" Priv	N 44 12' 26.200"	W 069 03' 22.500"	44.20728	-69.05625	LNM 21/16, 1st Dist	2025	13307_1	6/2/2016
13307	Delete	CAMDEN HARBOR CHANNEL BUOY 12	R N "12" Priv	N 44 12' 27.600"	W 069 03' 24.400"	44.20767	-69.05678	LNM 21/16, 1st Dist	2025	13307_1	6/2/2016
13307	Delete	CAMDEN HARBOR CHANNEL BUOY 13	G C "13" Priv	N 44 12' 24.600"	W 069 03' 25.200"	44.20683	-69.057	LNM 21/16, 1st Dist	2025	13307_1	6/2/2016
13307	Delete	CAMDEN HARBOR CHANNEL BUOY 14	R N "14" Priv	N 44 12' 27.100"	W 069 03' 27.900"	44.20753	-69.05775	LNM 21/16, 1st Dist	2025	13307_1	6/2/2016
13307	Delete	CAMDEN HARBOR CHANNEL BUOY 15	G C "15" Priv	N 44 12' 25.440"	W 069 03' 27.800"	44.20707	-69.05772	LNM 21/16, 1st Dist	2025	13307_1	6/2/2016
