Chart: 13308, Current Edition: 13, Print Date: Dec. /2011, Fox Islands Thorofare
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13308	Relocate	FOX ISLAND THOROFARE BUOY 2	R N "2"	N 44 07' 50.906"	W 068 48' 06.576"	44.13081	-68.80183	LNM 10/17, 1st Dist	2024	13308_1	3/23/2017
13308	Add	Sounding in Feet	22 	N 44 05' 02.100"	W 068 56' 50.700"	44.08392	-68.94742	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Substitute	Sounding in Feet	22 for 45	N 44 04' 46.200"	W 068 56' 32.100"	44.0795	-68.94225	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Add	Sounding in Feet	19	N 44 04' 07.900"	W 068 55' 40.500"	44.06886	-68.92792	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Substitute	Sounding in Feet	20 for 35	N 44 04' 56.600"	W 068 56' 51.200"	44.08239	-68.94756	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Add	Sounding in Feet	20 	N 44 04' 06.700"	W 068 56' 05.700"	44.06853	-68.93491	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Add	Sounding in Feet	17	N 44 04' 53.500"	W 068 56' 57.200"	44.08153	-68.94922	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Substitute	Sounding in Feet	20 for 27	N 44 04' 30.700"	W 068 56' 37.600"	44.0752	-68.94378	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Add	Sounding in Feet	21	N 44 04' 16.900"	W 068 55' 39.800"	44.07136	-68.92772	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Substitute	Sounding in Feet	21 for 37	N 44 04' 56.600"	W 068 53' 42.800"	44.08239	-68.89523	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Substitute	Sounding in Feet	25 for 36	N 44 07' 21.500"	W 068 51' 36.300"	44.12264	-68.86008	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Add	Sounding in Feet	19	N 44 07' 26.800"	W 068 51' 27.200"	44.12411	-68.85756	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Delete	Sounding in Feet	19	N 44 07' 27.010"	W 068 51' 24.780"	44.12417	-68.85688	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Substitute	Sounding in Feet	26 for 39	N 44 05' 14.800"	W 068 56' 40.000"	44.08744	-68.94444	LNM 10/17, 1st Dist	2024	13308_1	3/2/2017
13308	Add	Sounding in Feet	24	N 44 05' 12.000"	W 068 56' 48.500"	44.08667	-68.94681	LNM 39/16, 1st Dist	2024	13308_1	9/22/2016
13308	Add	Sounding in Feet	17	N 44 04' 55.700"	W 068 55' 11.700"	44.08214	-68.91991	LNM 39/16, 1st Dist	2024	13308_1	9/22/2016
13308	Add	Sounding in Feet	27	N 44 04' 59.500"	W 068 55' 12.800"	44.08319	-68.92022	LNM 39/16, 1st Dist	2024	13308_1	9/22/2016
13308	Add	Sounding in Feet	21	N 44 09' 17.000"	W 068 57' 46.600"	44.15472	-68.96294	LNM 39/16, 1st Dist	2024	13308_1	9/22/2016
13308	Change	GOOSE ROCKS LIGHT	Fl R 6s 51ft 7M HORM (MRASS)	N 44 08' 07.500"	W 068 49' 50.400"	44.13542	-68.83067	LNM 10/16, 1st Dist	2024	13308_1	3/17/2016
13308	Add	MRASS NOTE	RASS01	N 44 04' 10.000"	W 068 49' 32.000"	44.06944	-68.82555	LNM 06/16, 1st Dist	2024	13308_1	3/17/2016
13308	Change	BROWNS HEAD LIGHT	F 39ft 11M HORN (MRASS)	N 44 06' 42.352"	W 068 54' 34.186"	44.11176	-68.90949	LNM 04/16, 1st Dist	2024	13308_1	2/4/2016
13308	Change	GREEN ISLAND LEDGE LTD BUOY 2	R "2" Fl R 2.5s	N 44 04' 21.027"	W 068 55' 06.655"	44.07251	-68.91852	LNM 04/15, 1st Dist	2024	13308_1	2/5/2015
13308	Relocate	GREEN ISLAND LEDGE LTD BUOY 2	R "2" Fl R 2.5s	N 44 04' 21.027"	W 068 55' 06.655"	44.07251	-68.91852	LNM 04/15, 1st Dist	2024	13308_1	2/5/2015
13308	Delete	NORTH HAVEN SEWAGE OUTFALL BUOY	W Or Priv	N 44 07' 33.060"	W 068 52' 08.220"	44.12585	-68.86895	LNM 41/14, 1st Dist	2024	13308_1	10/23/2014
13308	Delete	Dogfish Ledges Daybeacon 25	G "25"	N 44 05' 45.051"	W 068 55' 42.133"	44.09585	-68.92837	LNM 07/14, 1st Dist	2024	13308_1	2/27/2014
13308	Relocate	Fox Island Thorofare Lighted Buoy 16	R "16" Fl R 2.5s	N 44 07' 29.460"	W 068 52' 27.420"	44.12485	-68.87428	LNM 04/14, 1st Dist	2024	13308_1	2/6/2014
13308	Add	Cable Area PT 1 OF 2	(Chart No. 1: L30.2)	N 44 07' 20.500"	W 068 52' 28.300"	44.12236	-68.87453	LNM 05/14, 1st Dist	2024	13308_1	1/30/2014
13308	Add	Cable Area PT 2 OF 2	(Chart No. 1: L30.2)	N 44 07' 36.700"	W 068 52' 20.900"	44.12686	-68.87247	LNM 05/14, 1st Dist	2024	13308_1	1/30/2014
13308	Delete	Cable Area  PT 1 OF 2	(Chart No. 1: L30.2)	N 44 07' 20.600"	W 068 52' 28.200"	44.12239	-68.8745	LNM 05/14, 1st Dist	2024	13308_1	1/30/2014
