Chart: 13313, Current Edition: 21, Print Date: Feb. /2013, Approaches to Blue Hill Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13313	Delete	ISLE AU HAUT THOROFARE DBN 4	R "4"	N 44 04' 31.602"	W 068 38' 12.636"	44.07544	-68.63684	LNM 11/17, 1st Dist	2015	13313_1	3/23/2017
13313	Add	ISLE AU HAUT THOROFARE BUOY 4	R N "4"	N 44 04' 31.974"	W 068 38' 13.201"	44.07555	-68.637	LNM 11/17, 1st Dist	2015	13313_1	3/23/2017
13313	Relocate	MOUNT DESERT LIGHT	F 15s 75ft 20M	N 43 58' 07.010"	W 068 07' 42.012"	43.96861	-68.12833	LNM 04/17, 1st Dist	2015	13313_1	2/2/2017
13313	Change	FIR POINT DANGER BUOY 	W Or N	N 44 10' 50.560"	W 068 25' 35.063"	44.18071	-68.42641	LNM 03/17, 1st Dist	2015	13313_1	1/26/2017
13313	Relocate	COOKE AQUACULTURE LTD BUOY BIS A	Y "BIS A" Fl Y 4s Priv	N 44 10' 44.439"	W 068 21' 18.543"	44.17901	-68.35515	LNM 49/16, 1st Dist	2015	13313_1	12/15/2016
13313	Relocate	COOKE AQUACULTURE LTD BUOY BIS B	Y "BIS B" Fl Y 4s Priv	N 44 10' 44.440"	W 068 21' 26.800"	44.17901	-68.35744	LNM 49/16, 1st Dist	2015	13313_1	12/15/2016
13313	Relocate	COOKE AQUACULTURE LTD BUOY BIS C	Y "BIS C" Fl Y 4s Priv	N 44 10' 36.767"	W 068 21' 29.273"	44.17688	-68.35813	LNM 49/16, 1st Dist	2015	13313_1	12/15/2016
13313	Relocate	COOKE AQUACULTURE LTD BUOY BIS D	Y "BIS D" Fl Y 4s Priv	N 44 10' 35.300"	W 068 21' 20.470"	44.17647	-68.35568	LNM 49/16, 1st Dist	2015	13313_1	12/15/2016
13313	Delete	SCRAG ISLAND AQUACULTURE LTD BUOY SI-E	Y "SI-E" Fl Y 2.5s Priv	N 44 07' 09.300"	W 068 26' 04.968"	44.11925	-68.43472	LNM 47/16, 1st Dist	2015	13313_1	12/1/2016
13313	Delete	SCRAG ISLAND AQUACULTURE LTD BUOY SI-F	Y "SI-F" Fl Y 2.5s Priv	N 44 07' 12.792"	W 068 26' 07.868"	44.12022	-68.43552	LNM 47/16, 1st Dist	2015	13313_1	12/1/2016
13313	Relocate	SCRAG ISLAND AQUACULTURE LTD BUOY SI-D	Y "SI-D" Fl Y 2.5s Priv	N 44 07' 12.790"	W 068 26' 07.870"	44.12022	-68.43552	LNM 47/16, 1st Dist	2015	13313_1	12/1/2016
13313	Relocate	SCRAG ISLAND AQUACULTURE LTD BUOY SI-A	Y "SI-A" Fl Y 2.5s Priv	N 44 07' 18.300"	W 068 26' 28.070"	44.12175	-68.44113	LNM 47/16, 1st Dist	2015	13313_1	12/1/2016
13313	Relocate	SCRAG ISLAND AQUACULTURE LTD BUOY SI-B	Y "SI-B" Fl Y 2.5s Priv	N 44 07' 14.700"	W 068 26' 29.570"	44.12075	-68.44154	LNM 47/16, 1st Dist	2015	13313_1	12/1/2016
13313	Relocate	SCRAG ISLAND AQUACULTURE LTD BUOY SI-C	Y "SI-C" Fl Y 2.5s Priv	N 44 07' 09.800"	W 068 26' 10.570"	44.11939	-68.43627	LNM 47/16, 1st Dist	2015	13313_1	12/1/2016
13313	Delete	FISH PEN	Fish pen	N 44 08' 42.780"	W 068 27' 47.760"	44.14522	-68.46326	LNM 46/16, 1st Dist	2015	13313_1	11/24/2016
