Chart: 13318, Current Edition: 19, Print Date: Jan. /2013, Frenchman Bay and Mount Desert lsland
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13318	Relocate	EAGLE POINT INNER BUOY 5	G C "5" Priv	N 44 15' 37.920"	W 068 14' 29.460"	44.26053	-68.24152	LNM 14/17, 1st Dist	2010	13318_1	4/13/2017
13318	Relocate	FLYNNS LEDGE BUOY 5	G C "5"	N 44 14' 27.300"	W 068 16' 59.900"	44.24092	-68.2833	LNM 18/16, 1st Dist	2010	13318_1	5/12/2016
13318	Relocate	BASS HARBOR HEAD BELL BUOY EB	RW "EB" BELL	N 44 13' 14.180"	W 068 20' 00.873"	44.2206	-68.33357	LNM 17/16, 1st Dist	2010	13318_1	5/5/2016
13318	Relocate	Flynns Ledge Buoy 5 From	G C "5"	N 44 14' 27.600"	W 068 17' 00.400"	44.241	-68.28345	LNM 17/16, 1st Dist	2010	13318_1	4/21/2016
13318	Relocate	Flynns Ledge Buoy 5 To	G C "5"	N 44 14' 27.276"	W 068 16' 59.856"	44.24091	-68.28329	LNM 17/16, 1st Dist	2010	13318_1	4/21/2016
13318	Change	EGG ROCK LIGHT	Fl R 5s 64ft 18M HORN (MRASS)	N 44 21' 14.188"	W 068 08' 18.033"	44.35394	-68.13834	LNM 09/16, 1st Dist	2010	13318_1	3/10/2016
13318	Delete	vessel route PT 1 OF 2	None	N 44 23' 42.000"	W 068 10' 24.000"	44.395	-68.17333	LNM 52/15, 1st Dist	2010	13318_1	12/24/2015
13318	Delete	vessel route PT 2 OF 2	None	N 44 23' 43.800"	W 068 11' 13.600"	44.3955	-68.18711	LNM 52/15, 1st Dist	2010	13318_1	12/24/2015
13318	Add	vessel route PT 1 OF 2	None	N 44 23' 42.000"	W 068 10' 24.000"	44.395	-68.17333	LNM 52/15, 1st Dist	2010	13318_1	12/24/2015
13318	Add	vessel route PT 2 OF 2	None	N 44 23' 37.400"	W 068 11' 09.600"	44.39372	-68.186	LNM 52/15, 1st Dist	2010	13318_1	12/24/2015
13318	Delete	Pilot Station	Pilots	N 44 17' 35.800"	W 068 07' 47.700"	44.29328	-68.12991	LNM 52/15, 1st Dist	2010	13318_1	12/24/2015
13318	Delete	Pilot Station	Pilots	N 44 18' 36.300"	W 068 05' 11.800"	44.31008	-68.08661	LNM 52/15, 1st Dist	2010	13318_1	12/24/2015
13318	Add	Pilot Station	Pilots	N 44 16' 06.360"	W 068 07' 53.160"	44.26843	-68.13143	LNM 52/15, 1st Dist	2010	13318_1	12/24/2015
13318	Add	Pilot Station	Pilots	N 44 18' 06.180"	W 068 03' 59.220"	44.30172	-68.06645	LNM 52/15, 1st Dist	2010	13318_1	12/24/2015
13318	Add	BAR HARBOR ENTRANCE BUOY 2	R N "2" Priv	N 44 23' 34.850"	W 068 11' 55.360"	44.39301	-68.19871	LNM 42/14, 1st Dist	2010	13318_1	10/30/2014
13318	Add	BAR HARBOR LIGHTED BUOY A	W Or "A" Fl 4s Priv	N 44 23' 32.000"	W 068 11' 57.000"	44.39222	-68.19917	LNM 42/14, 1st Dist	2010	13318_1	10/30/2014
13318	Relocate	Egg Rock Light Station CG Mooring Buoy	(Chart No. 1: Q40)	N 44 21' 17.019"	W 068 08' 26.329"	44.35473	-68.14065	LNM 47/13, 1st Dist	2010	13318_1	12/2/2013
13318	Add	Bar Island Lighted Buoy 2	R "2" Fl R 4s Priv	N 44 24' 01.680"	W 068 11' 54.260"	44.40047	-68.1984	LNM 09/13, 1st Dist	2010	13318_1	3/20/2013
13318	Relocate	Southwest Harbor Inner Harbor Buoy 3	G C "3"	N 44 16' 36.038"	W 068 19' 05.010"	44.27668	-68.31806	LNM 04/13, 1st Dist	2010	13318_1	2/6/2013
