Chart: 13325, Current Edition: 16, Print Date: Jul. /2013, Quoddy Narrows to Petit Manan lsland
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
13325	Change	EMMS ROCK LIGHT 9	Fl G 4s 28ft 6M "9"	N 44 31' 44.363"	W 067 33' 56.951"	44.52899	-67.56582	LNM 12/17, 1st Dist	2005	13325_1	3/30/2017
13325	Delete	STONE ISLAND LEDGE DBN 3	G "3"	N 44 35' 49.724"	W 067 21' 58.876"	44.59715	-67.36636	LNM 11/17, 1st Dist	2005	13325_1	3/23/2017
13325	Add	Submarine Cable  PT 1 OF 7	Chart No. 1: L30.1	N 44 37' 26.370"	W 067 23' 28.030"	44.62399	-67.39112	LNM 11/17, 1st Dist	2005	13325_1	3/16/2017
13325	Add	Submarine Cable  PT 2 OF 7	Chart No. 1: L30.1	N 44 37' 20.670"	W 067 23' 11.890"	44.62241	-67.38663	LNM 11/17, 1st Dist	2005	13325_1	3/16/2017
13325	Add	Submarine Cable  PT 3 OF 7	Chart No. 1: L30.1	N 44 36' 23.490"	W 067 22' 40.790"	44.60653	-67.378	LNM 11/17, 1st Dist	2005	13325_1	3/16/2017
13325	Add	Submarine Cable  PT 4 OF 7	Chart No. 1: L30.1	N 44 36' 51.060"	W 067 20' 12.300"	44.61418	-67.33675	LNM 11/17, 1st Dist	2005	13325_1	3/16/2017
13325	Add	Submarine Cable  PT 5 OF 7	Chart No. 1: L30.1	N 44 38' 10.380"	W 067 18' 50.280"	44.63622	-67.31396	LNM 11/17, 1st Dist	2005	13325_1	3/16/2017
13325	Add	Submarine Cable  PT 6 OF 7	Chart No. 1: L30.1	N 44 38' 25.140"	W 067 18' 23.580"	44.64032	-67.30655	LNM 11/17, 1st Dist	2005	13325_1	3/16/2017
13325	Add	Submarine Cable  PT 7 OF 7	Chart No. 1: L30.1	N 44 38' 33.280"	W 067 17' 40.210"	44.64258	-67.2945	LNM 11/17, 1st Dist	2005	13325_1	3/16/2017
13325	Relocate	POMP ISLAND LEDGE DBN 2	R "2"	N 44 30' 24.294"	W 067 39' 15.690"	44.50675	-67.65436	LNM 06/17, 1st Dist	2005	13325_1	2/16/2017
13325	Add	DEPTH IN FATHOMS	11	N 44 30' 36.000"	W 067 09' 36.000"	44.51	-67.16	WNM 36/16, NGA	2005	13325_1	9/1/2016
13325	Delete	DEPTH IN FEET	54	N 44 26' 52.000"	W 067 07' 19.000"	44.44778	-67.12195	WNM 36/16, NGA	2005	13325_1	9/1/2016
13325	Add	DEPTH IN FEET	47	N 44 26' 47.000"	W 067 07' 19.000"	44.44639	-67.12195	WNM 36/16, NGA	2005	13325_1	9/1/2016
13325	Change	WEST QUODDY HEAD LIGHT	Fl (2) 15s 25m/83ft 18M HORN (MRASS)	N 44 48' 54.387"	W 066 57' 02.416"	44.81511	-66.95067	LNM 06/16, 1st Dist	2005	13325_1	2/18/2016
13325	Change	MACHIAS SEAL ISLAND LIGHT	Fl 3s 25m 17M	N 44 30' 06.000"	W 067 06' 07.000"	44.50167	-67.10194	WNM 45/15, NGA	2005	13325_1	11/5/2015
13325	Change	SOUTHWEST HEAD LIGHT	Fl 10s 47.5m 16M	N 44 36' 03.000"	W 066 54' 20.000"	44.60083	-66.90556	WNM 45/15, NGA	2005	13325_1	11/5/2015
13325	Delete	PETIT MANAN LIGHT STATION MOORING BUOY	NONE	N 44 22' 11.320"	W 067 51' 43.775"	44.36981	-67.86216	LNM 25/15, 1st Dist	2005	13325_1	7/9/2015
13325	Change	LITTLE RIVER LIGHT	Fl 6s 56ft 14M HORN	N 44 39' 03.186"	W 067 11' 31.544"	44.65089	-67.19209	LNM 23/15, 1st Dist	2005	13325_1	6/25/2015
13325	Substitute	Sounding in Feet	9 for 11	N 44 22' 55.000"	W 067 52' 49.300"	44.38194	-67.88036	LNM 15/15, 1st Dist	2005	13325_1	4/9/2015
13325	Add	MRASS NOTE	 CELL RASS01	N 44 33' 57.000"	W 067 36' 20.000"	44.56583	-67.60555	LNM 08/15, 1st Dist	2005	13325_1	3/5/2015
13325	Change	MOOSE PEAK LIGHT	Fl 30s 72ft 20M HORN (MRASS)	N 44 28' 28.487"	W 067 31' 55.166"	44.47458	-67.53199	LNM 05/15, 1st Dist	2005	13325_1	2/12/2015
13325	Delete	MOOSE ROCK DBN M	GW Bn "M"	N 44 31' 13.962"	W 067 32' 22.380"	44.52055	-67.53955	LNM 50/14, 1st Dist	2005	13325_1	1/8/2015
13325	Relocate	Norton Island Buoy 2	R N "2"	N 44 29' 24.284"	W 067 45' 18.633"	44.49008	-67.75517	LNM 12/14, 1st Dist	2005	13325_1	4/3/2014
13325	Relocate	Petit Manan Light	Fl 10s 123ft 19M HORN	N 44 22' 03.290"	W 067 51' 51.695"	44.36758	-67.86436	LNM 12/14, 1st Dist	2005	13325_1	4/3/2014
13325	Change	Little River Light	Fl 6s 17m 16M HORN	N 44 39' 03.186"	W 067 11' 31.544"	44.65089	-67.19209	LNM 37/13, 1st Dist	2005	13325_1	9/18/2013
