Chart: 14781, Current Edition: 20, Print Date: Nov. /2004, Riviere Richelieu to South Hero Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14781	Delete	Overhead Power Cable  PT 1 OF 2	Chart No. 1: D26  	N 44 58' 23.890"	W 073 13' 16.340"	44.9733	-73.22121	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Delete	Overhead Power Cable  PT 2 OF 2	Chart No. 1: D26  	N 44 58' 20.800"	W 073 13' 05.970"	44.97244	-73.21832	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Delete	Overhead Power Cable Label	OVHD PWR CABS AUTH CL 50 FT	N 44 58' 22.271"	W 073 13' 10.916"	44.97285	-73.2197	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Add	Fixed Bridge PT 1 OF 2	Chart No. 1: D22	N 44 58' 28.730"	W 073 13' 33.150"	44.97465	-73.22588	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Add	Fixed Bridge PT 2 OF 2	Chart No. 1: D22	N 44 58' 15.270"	W 073 12' 48.160"	44.97091	-73.21338	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Delete	Bridge Construction	Chart No. 1: D.d, with magenta screen extending 500 feet from bridge	N 44 58' 23.368"	W 073 13' 11.310"	44.97316	-73.21981	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Add	Fixed Bridge Label	FIXED BRIDGE HOR CL 150 FT VERT CL 35 FT	N 44 58' 22.500"	W 073 13' 12.300"	44.97292	-73.22009	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Delete	Bridge Construction Label	Bascule Bridge Under Construction HOR CL 45 FT VERT CL 18 FT	N 44 58' 23.368"	W 073 13' 11.310"	44.97316	-73.21981	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Delete	CAUTION Fixed and floating obstructions	CAUTION Fixed and floating obstructions, some submerged, may exist within the magenta tinted bridge construction area. Mariners are advised to proceed with caution.	N 44 58' 37.790"	W 073 15' 30.760"	44.97717	-73.25854	LNM 17/17, 1st Dist	1023	14781_1	4/27/2017
14781	Delete	BLACK CAN BUOY	C	N 44 55' 30.780"	W 073 22' 38.040"	44.92522	-73.37724	LNM 05/17, 1st Dist	1023	14781_1	2/9/2017
14781	Change	STONY POINT BREAKWATER LIGHT 4	Fl R 4s 19ft 5M "4"	N 44 58' 25.900"	W 073 21' 00.900"	44.97386	-73.35025	LNM 47/16, 1st Dist	1023	14781_1	12/1/2016
14781	Change	STONY POINT BREAKWATER LIGHT 4	Fl R 4s 19ft "4"	N 44 58' 25.900"	W 073 21' 00.900"	44.97386	-73.35025	LNM 44/16, 1st Dist	1023	14781_1	11/10/2016
14781	Relocate	STONY POINT BREAKWATER LIGHT 4	Fl R 4s 19ft "4"	N 44 58' 25.900"	W 073 21' 00.900"	44.97386	-73.35025	LNM 44/16, 1st Dist	1023	14781_1	11/10/2016
14781	Relocate	GREAT CHAZY RIVER BOAT CHANNEL BUOY 10	R N "10" Priv	N 44 55' 51.120"	W 073 22' 55.980"	44.93087	-73.38222	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
14781	Relocate	GREAT CHAZY RIVER BOAT CHANNEL BUOY 3	G C "3" Priv	N 44 55' 41.760"	W 073 22' 44.400"	44.92827	-73.379	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
14781	Relocate	GREAT CHAZY RIVER BOAT CHANNEL BUOY 4	R N "4" Priv	N 44 55' 42.780"	W 073 22' 42.900"	44.92855	-73.37859	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
14781	Relocate	GREAT CHAZY RIVER BOAT CHANNEL BUOY 5	G C "5" Priv	N 44 55' 44.940"	W 073 22' 48.900"	44.92915	-73.38025	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
14781	Relocate	GREAT CHAZY RIVER BOAT CHANNEL BUOY 6	R N "6" Priv	N 44 55' 45.900"	W 073 22' 48.120"	44.92942	-73.38004	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
14781	Relocate	GREAT CHAZY RIVER BOAT CHANNEL BUOY 7	G C "7" Priv	N 44 55' 47.820"	W 073 22' 52.860"	44.92995	-73.38135	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
14781	Relocate	GREAT CHAZY RIVER BOAT CHANNEL BUOY 8	R N "8" Priv	N 44 55' 48.420"	W 073 22' 52.320"	44.93012	-73.3812	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
14781	Relocate	GREAT CHAZY RIVER BOAT CHANNEL BUOY 9	G C "9" Priv	N 44 55' 50.640"	W 073 22' 57.000"	44.93073	-73.3825	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
14781	Relocate	Great Chazy River Boat Channel Lighted Buoy 1	G "1" Fl G 4s Priv	N 44 55' 38.220"	W 073 22' 37.200"	44.92728	-73.377	LNM 38/16, 1st Dist	1023	14781_1	9/29/2016
