Chart: 14800, Current Edition: 10, Print Date: Sep. /2005, Lake Ontario
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14800	Change	Tibbetts Point Light AIS	Oc 10s 69ft 16 St N AIS	N 44 06' 02.237"	W 076 22' 14.204"	44.10062	-76.37061	Not Yet Published	1112	14800_1	1/19/2017
14800	Relocate	RW Mo	RW Mo (A)	N 44 01' 32.580"	W 076 27' 16.020"	44.02571	-76.45445	LNM 23/16, 9th Dist	1112	14800_1	6/23/2016
14800	Add	Note: MARINER ACTIVATED SOUND SIGNAL: OSWEGO HARBOR WEST PIERHEAD LIGHT	MARINER ACTIVATED SOUND SIGNAL: OSWEGO HARBOR WEST PIERHEAD LIGHT (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A.	N 43 28' 23.735"	W 076 31' 01.352"	43.47326	-76.51704	LNM 38/15, 9th Dist	1112	14800_1	12/3/2015
14800	Change	Oswego Harbor West Pierhead Light	Fl R 10s 57ft 11 St M HORN (MRASS)	N 43 28' 23.735"	W 076 31' 01.352"	43.47326	-76.51704	LNM 38/15, 9th Dist	1112	14800_1	12/3/2015
14800	Add	Submerged Wreck	**Chart 1 K:29**	N 44 07' 33.000"	W 076 36' 10.000"	44.12583	-76.60278	WNM 44/15, NGA	1112	14800_1	11/5/2015
14800	Add	Submerged Wreck	**Chart 1 K:29**	N 44 04' 34.000"	W 076 44' 04.000"	44.07611	-76.73444	WNM 44/15, NGA	1112	14800_1	11/5/2015
14800	Relocate	ODAS Buoy 45139 From	Y ODAS "45139" Fl (5) Y 20s PA	N 43 25' 48.000"	W 079 22' 46.500"	43.43	-79.37959	LNM 31/15, 9th Dist	1112	14800_1	1/29/2015
14800	Relocate	ODAS Buoy 45139 To	Y ODAS "45139" Fl (5) Y 20s PA	N 43 15' 32.300"	W 079 32' 19.300"	43.25897	-79.5387	LNM 31/15, 9th Dist	1112	14800_1	1/29/2015
14800	Change	FORT NIAGARA LIGHT 5	Oc G 4s 80ft 10 St M(24m 9NM) "5"	N 43 15' 42.530"	W 079 03' 50.040"	43.26181	-79.0639	LNM 33/13, 9th Dist	1112	14800_1	8/15/2013
14800	Change	BRADDOCK POINT LIGHT	Iso 6s 55ft 14 St M	N 43 20' 28.300"	W 077 45' 45.500"	43.34119	-77.76264	LNM 33/13, 9th Dist	1112	14800_1	8/15/2013
14800	Relocate	CALF ISLAND SPIT BUOY 5	G C "5"	N 43 51' 23.254"	W 076 23' 26.416"	43.85646	-76.39067	LNM 27/13, 9th Dist	1112	14800_1	7/19/2013
14800	Change	SODUS OUTER LIGHT	Iso R 6s 51ft 10 St M	N 43 16' 38.674"	W 076 58' 26.242"	43.27741	-76.97395	LNM 44/12, 9th Dist	1112	14800_1	11/2/2012
14800	Change	PORT WELLER OUTER BKW LIGHT	Iso R 4s 50ft (15m) 10 St M (9NM)	N 43 14' 41.200"	W 079 13' 02.900"	43.24478	-79.21748	CNM 08/12, Canada	1112	14800_1	9/4/2012
14800	Add	No-Discharge Zone Label	NO-DISCHARGE ZONE(see note Z)	N 43 44' 11.000"	W 076 25' 22.000"	43.73639	-76.42278	LNM 20/12, 9th Dist	1112	14800_1	5/17/2012
14800	Add	No-Discharge Zone Label	NO-DISCHARGE ZONE(see note Z)	N 43 28' 51.000"	W 078 55' 28.000"	43.48083	-78.92445	LNM 20/12, 9th Dist	1112	14800_1	5/17/2012
14800	Add	note Z No-Discharge Zone	note Z No-Discharge Zone, 40 CFR 140 Under the Clean Water Act, Section 312, all vessels operating within a No-Discharge Zone (NDZ) are completely prohibited from discharging any sewage, treated or untreated, into the waters. Commercial vessel sewage shall include graywater. All vessels with an installed marine sanitation device (MSD) that are navigating, moored, anchored, or docked within a NDZ must have the MSD disabled to prevent the overboard discharge of sewage (treated or untreated) or install a holding tank. Regulations for the NDZ are contained in the U. S. Coast Pilot. Additional information concerning the regulations and requirements may be obtained from the Environmental Protection Agency (EPA) web site: http://www.epa.gov/owow/oceans/regulatory/vessel_sewage/.	N 44 08' 20.000"	W 077 55' 13.000"	44.13889	-77.92028	LNM 20/12, 9th Dist	1112	14800_1	5/17/2012
14800	Change	OSWEGO HARBOR W PIERHEAD LT	Fl R 10s 57ft 11 St M HORN	N 43 28' 23.735"	W 076 31' 01.352"	43.47326	-76.51704	LNM 18/12, 9th Dist	1112	14800_1	5/3/2012
14800	Delete	GALLOO ISLAND LIGHT	Fl 6s 58ft 11 St M	N 43 53' 18.820"	W 076 26' 41.050"	43.88856	-76.44473	WNM 40/11, NGA	1112	14800_1	9/26/2011
14800	Relocate	BROCKPORT HARBOR LIGHT	Q 8ft Priv	N 43 21' 09.440"	W 077 53' 30.030"	43.35262	-77.89168	LNM 38/11, 9th Dist	1112	14800_1	9/21/2011
14800	Relocate	POINT PENINSULA LTD BUOY 3	G "3" Fl G 6s	N 43 56' 53.113"	W 076 16' 24.248"	43.94809	-76.2734	LNM 19/10, 9th Dist	1112	14800_1	5/20/2010
14800	Relocate	LIME BARREL SHOAL LTD BUOY 1	G "1" Fl G 4s	N 43 54' 44.218"	W 076 11' 55.739"	43.91228	-76.19881	LNM 19/10, 9th Dist	1112	14800_1	5/20/2010
14800	Relocate	GALLOO ISLAND SHOAL LTD BUOY 3	G "3" Fl G 4s	N 43 53' 43.518"	W 076 28' 34.731"	43.89542	-76.47631	LNM 19/10, 9th Dist	1112	14800_1	5/20/2010
14800	Change	TORONTO HARBOR AQUATIC PARK LIGHT	Fl R 10s 22m 13NM	N 43 36' 48.700"	W 079 20' 36.300"	43.61353	-79.34341	CNM 10/09, Canada	1112	14800_1	11/5/2009
14800	Relocate	LIGHTED BUOY 	RW Mo (A) 	N 44 06' 00.000"	W 076 24' 24.000"	44.1	-76.40667	CNM 09/09, Canada	1112	14800_1	10/1/2009
14800	Relocate	LIGHTED BUOY 2	R "2" Fl R 4s	N 44 03' 48.000"	W 076 27' 00.000"	44.06333	-76.45	CNM 09/09, Canada	1112	14800_1	10/1/2009
14800	Delete	LIGHTED BUOY	RW Mo (A)	N 44 01' 32.100"	W 076 27' 15.700"	44.02559	-76.45436	CNM 09/09, Canada	1112	14800_1	10/1/2009
