Chart: 14813, Current Edition: 22, Print Date: Dec. /2013, Oswego Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14813	Change	tabulation - OSWEGO HARBOR CHANNEL DEPTHS	tabulation - OSWEGO HARBOR CHANNEL DEPTHS	N 43 27' 46.000"	W 076 29' 27.000"	43.46278	-76.49084	LNM 16/17, 9th Dist	1128	14813_1	3/2/2017
14813	Delete	Oswego Harbor Detached Breakwater West End Lighted Buoy 1	G "1" Fl G 4s	N 43 28' 35.187"	W 076 30' 57.200"	43.47644	-76.51589	LNM 50/15, 9th Dist	1128	14813_1	12/24/2015
14813	Change	tabulation - Oswego Harbor Channel	tabulation - Oswego Harbor Channel	N 43 27' 46.000"	W 076 29' 27.000"	43.46278	-76.49084	LNM 01/16, 9th Dist	1128	14813_1	12/10/2015
14813	Add	Note: MARINER ACTIVATED SOUND SIGNAL: OSWEGO HARBOR WEST PIERHEAD LIGHT	MARINER ACTIVATED SOUND SIGNAL: OSWEGO HARBOR WEST PIERHEAD LIGHT (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A.	N 43 28' 23.735"	W 076 31' 01.352"	43.47326	-76.51704	LNM 38/15, 9th Dist	1128	14813_1	12/3/2015
14813	Change	Oswego Harbor West Pierhead Light	Fl R 10s 57ft 11 St M HORN (MRASS)	N 43 28' 23.735"	W 076 31' 01.352"	43.47326	-76.51704	LNM 38/15, 9th Dist	1128	14813_1	12/3/2015
14813	Change	tabulation - OSWEGO HARBOR CHANNEL DEPTHS	tabulation - OSWEGO HARBOR CHANNEL DEPTHS	N 43 27' 46.000"	W 076 29' 27.000"	43.46278	-76.49084	LNM 34/15, 9th Dist	1128	14813_1	10/15/2015
14813	Delete	Sounding in Feet	22	N 43 27' 57.800"	W 076 30' 52.500"	43.46606	-76.51458	LNM 34/15, 9th Dist	1128	14813_1	9/24/2015
14813	Delete	Sounding in Feet	15	N 43 27' 39.100"	W 076 31' 52.300"	43.46086	-76.5312	LNM 34/15, 9th Dist	1128	14813_1	9/24/2015
14813	Delete	Sounding in Feet	20	N 43 27' 41.450"	W 076 30' 39.240"	43.46151	-76.5109	LNM 34/15, 9th Dist	1128	14813_1	9/24/2015
14813	Relocate	Oswego Harbor Inner Buoy 1	G C "1"	N 43 27' 59.654"	W 076 30' 45.257"	43.46657	-76.51257	LNM 25/15, 9th Dist	1128	14813_1	7/2/2015
14813	Add	Lighted Mooring Buoy	Q Priv	N 43 28' 12.000"	W 076 30' 59.800"	43.47	-76.51661	LNM 23/15, 9th Dist	1128	14813_1	6/4/2015
14813	Add	Lighted Mooring Buoy	Q Priv	N 43 28' 07.600"	W 076 31' 01.200"	43.46878	-76.517	LNM 23/15, 9th Dist	1128	14813_1	6/4/2015
14813	Change	tabulation - OSWEGO HARBOR CHANNEL DEPTHS	tabulation - OSWEGO HARBOR CHANNEL DEPTHS	N 43 27' 46.000"	W 076 29' 27.000"	43.46278	-76.49084	LNM 31/15, 9th Dist	1128	14813_1	5/21/2015
