Chart: 14822, Current Edition: 32, Print Date: Aug. /2005, Approaches to Niagara River and Welland Canal
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14822	Add	Buffalo Safe Water VAIS	V-AIS	N 42 50' 08.639"	W 078 55' 25.922"	42.83573	-78.92387	LNM 12/17, 9th Dist	1135	14822_1	3/30/2017
14822	Relocate	Buffalo Harbor Light	Fl G 2.5s 71ft 12 St M HORN	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1135	14822_1	12/3/2015
14822	Change	Buffalo Harbor Light	Fl G 2.5s 71ft 12 St M HORN (MRASS)	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1135	14822_1	12/3/2015
14822	Add	Note: MARINER ACTIVATED SOUND SIGNAL: BUFFALO HARBOR LIGHT (MRASS)	MARINER ACTIVATED SOUND SIGNAL: BUFFALO HARBOR LIGHT (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1135	14822_1	12/3/2015
14822	Add	DANGEROUS UNDERWATER ROCK	Rep (2015)	N 43 11' 44.500"	W 079 23' 34.500"	43.19569	-79.39291	CNM 07/15, Canada	1135	14822_1	8/6/2015
14822	Delete	Buffalo Harbor Traffic Lighted Bell Buoy B	RW "B" Mo (A) BELL	N 42 50' 08.639"	W 078 55' 25.922"	42.83573	-78.92387	LNM 20/14, 9th Dist	1135	14822_1	5/29/2014
14822	Change	Fixed Bridge Label	FIXED BRIDGE HOR CL 260 FT VERT CL 50 FT	N 43 04' 09.000"	W 078 59' 27.000"	43.06917	-78.99084	LNM 10/14, 9th Dist	1135	14822_1	3/6/2014
14822	Change	FORT NIAGARA LIGHT 5	Oc G 4s 80ft 10 St M(24m 9NM) "5"	N 43 15' 42.530"	W 079 03' 50.040"	43.26181	-79.0639	LNM 33/13, 9th Dist	1135	14822_1	8/15/2013
14822	Change	BUFFALO HARBOR SOUTH ENTRANCE LT 3	Fl G 2.5s 20ft 6 St M "3"	N 42 50' 07.290"	W 078 52' 03.130"	42.83536	-78.86754	LNM 31/13, 9th Dist	1135	14822_1	8/5/2013
14822	Change	BUFFALO HARBOR SOUTH ENTRANCE LT 4	Fl R 2.5s 40ft 5 St M "4"	N 42 50' 01.050"	W 078 52' 03.530"	42.83363	-78.86765	LNM 31/13, 9th Dist	1135	14822_1	8/5/2013
14822	Change	BUFFALO HARBOR SOUTH ENTRANCE LT 2	Fl R 6s 36ft 8 St M "2"	N 42 50' 09.200"	W 078 52' 28.800"	42.83589	-78.87466	LNM 30/13, 9th Dist	1135	14822_1	7/31/2013
14822	Relocate	BUFFALO HARBOR SOUTH ENTRANCE LT 2	Fl R 6s 36ft 8 St M "2"	N 42 50' 09.200"	W 078 52' 28.800"	42.83589	-78.87466	LNM 30/13, 9th Dist	1135	14822_1	7/31/2013
14822	Relocate	Canadian ODAS Buoy 45142 From	Y ODAS "45142" Fl (5) Y 20s PA	N 42 44' 01.000"	W 079 21' 00.000"	42.73361	-79.35	LNM 24/13, 9th Dist	1135	14822_1	6/6/2013
14822	Relocate	Canadian ODAS Buoy 45142 To	Y ODAS "45142" Fl (5) Y 20s PA	N 42 44' 24.000"	W 079 17' 24.000"	42.74	-79.29	LNM 24/13, 9th Dist	1135	14822_1	6/6/2013
14822	Add	Fixed Bridge Label	PEACE BRIDGE CLEARANCES (A) FIXED BRIDGE HOR CL 100 FT VERT CL 50 FT AUTH(B) FIXED BRIDGE HOR CL 100 FT VERT CL 61 FT AUTH(C) FIXED BRIDGE HOR CL 120 FT VERT CL 71 FT AUTH(D) FIXED BRIDGE HOR CL 120 FT VERT CL 83 FT AUTH	N 42 54' 25.000"	W 078 54' 22.000"	42.90694	-78.90611	LNM 12/13, 9th Dist	1135	14822_1	3/13/2013
14822	Add	label	A	N 42 54' 26.200"	W 078 54' 30.000"	42.90728	-78.90833	LNM 12/13, 9th Dist	1135	14822_1	3/13/2013
14822	Delete	Fixed Bridge Label	FIXED BRIDGE HOR CL 385 FT VERT CL 83 FT	N 42 54' 25.000"	W 078 54' 22.000"	42.90694	-78.90611	LNM 12/13, 9th Dist	1135	14822_1	3/13/2013
14822	Add	label	B	N 42 54' 25.500"	W 078 54' 24.500"	42.90708	-78.90681	LNM 12/13, 9th Dist	1135	14822_1	3/13/2013
14822	Add	label	D	N 42 54' 24.000"	W 078 54' 13.000"	42.90667	-78.90361	LNM 12/13, 9th Dist	1135	14822_1	3/13/2013
14822	Add	label	(see note)	N 42 54' 25.000"	W 078 54' 22.000"	42.90694	-78.90611	LNM 12/13, 9th Dist	1135	14822_1	3/13/2013
14822	Add	label	C	N 42 54' 24.700"	W 078 54' 18.900"	42.90686	-78.90525	LNM 12/13, 9th Dist	1135	14822_1	3/13/2013
14822	Relocate	STRAWBERRY ISLAND CUT LOWER RFL	F R 27ft	N 42 57' 01.981"	W 078 54' 33.928"	42.95055	-78.90942	LNM 02/13, 9th Dist	1135	14822_1	1/23/2013
14822	Change	STRAWBERRY ISLAND CUT LOWER RFL	F R 27ft	N 42 57' 01.981"	W 078 54' 33.928"	42.95055	-78.90942	LNM 02/13, 9th Dist	1135	14822_1	1/23/2013
14822	Relocate	STRAWBERRY ISLAND CUT LOWER RRL	F R 86ft	N 42 56' 56.529"	W 078 54' 27.437"	42.94904	-78.90762	LNM 02/13, 9th Dist	1135	14822_1	1/23/2013
14822	Change	STRAWBERRY ISLAND CUT LOWER RRL	F R 86ft	N 42 56' 56.529"	W 078 54' 27.437"	42.94904	-78.90762	LNM 02/13, 9th Dist	1135	14822_1	1/23/2013
14822	Relocate	STRAWBERRY ISLAND CUT UPPER RFL	F R 25ft	N 42 57' 12.313"	W 078 54' 37.631"	42.95342	-78.91045	LNM 02/13, 9th Dist	1135	14822_1	1/23/2013
14822	Change	STRAWBERRY ISLAND CUT UPPER RFL	F R 25ft	N 42 57' 12.313"	W 078 54' 37.631"	42.95342	-78.91045	LNM 02/13, 9th Dist	1135	14822_1	1/23/2013
14822	Relocate	STRAWBERRY ISLAND CUT UPPER RRL	F R 48ft	N 42 57' 20.099"	W 078 54' 37.366"	42.95558	-78.91038	LNM 02/13, 9th Dist	1135	14822_1	1/23/2013
