Chart: 14823, Current Edition: 31, Print Date: Dec. /2012, Sturgeon Point to Twentymile Creek;Dunkirk Harbor;Barcelona Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14823	Relocate	Dunkirk Light	Dunkirk Light Oc 4s 82ft 16 St M	N 42 29' 38.022"	W 079 21' 14.118"	42.4939	-79.35392	LNM 12/17, 9th Dist	1137	14823_3	3/30/2017
14823	Relocate	Dunkirk Light	Dunkirk Light Oc 4s 82ft 16 St M	N 42 29' 38.022"	W 079 21' 14.118"	42.4939	-79.35392	LNM 12/17, 9th Dist	1136	14823_1	3/30/2017
14823	Relocate	Cattaraugus Creek North Breakwater Light 1	Fl G 2.5s 31ft 5 St M "1"	N 42 34' 18.804"	W 079 08' 17.808"	42.57189	-79.13828	LNM 12/17, 9th Dist	1136	14823_1	3/30/2017
14823	Relocate	Cattaraugus Creek North Breakwater Light 2	Fl R 2.5s 31ft 4 St M "2"	N 42 34' 21.642"	W 079 08' 22.914"	42.57268	-79.1397	LNM 12/17, 9th Dist	1136	14823_1	3/30/2017
14823	Change	Depth Legend - Dunkirk Harbor	4 FT 2014 - 2015	N 42 29' 20.300"	W 079 20' 22.300"	42.48897	-79.33953	LNM 50/15, 9th Dist	1137	14823_3	12/3/2015
14823	Change	Depth Legend - Dunkirk Harbor 	5 FT JUL 2014	N 42 29' 20.300"	W 079 20' 22.300"	42.48897	-79.33953	LNM 31/15, 9th Dist	1137	14823_3	8/6/2015
14823	Substitute	Sounding in Feet	2	N 42 29' 19.800"	W 079 20' 29.500"	42.48883	-79.34153	LNM 31/15, 9th Dist	1137	14823_3	8/6/2015
14823	Delete	Sounding in Feet	5	N 42 29' 19.650"	W 079 20' 08.500"	42.48879	-79.33569	LNM 31/15, 9th Dist	1137	14823_3	8/6/2015
14823	Change	Depth Legend - Dunkirk Harbor 	8 FT 2014	N 42 29' 22.200"	W 079 20' 09.000"	42.4895	-79.33583	LNM 31/15, 9th Dist	1137	14823_3	8/6/2015
14823	Change	Depth Legend - Dunkirk Harbor 	4 FT JUL 2013-2014	N 42 29' 23.700"	W 079 20' 02.800"	42.48992	-79.33411	LNM 31/15, 9th Dist	1137	14823_3	8/6/2015
14823	Add	Sounding in Feet	1/2	N 42 20' 36.950"	W 079 35' 46.680"	42.3436	-79.5963	LNM 01/15, 9th Dist	1138	14823_2	10/23/2014
14823	Delete	Dunkirk Harbor Light 5	Fl G 4s 20ft 5 St M "5"	N 42 29' 35.779"	W 079 20' 39.640"	42.49327	-79.34435	LNM 23/14, 9th Dist	1137	14823_3	8/28/2014
14823	Delete	Dunkirk Harbor Light 5	Fl G 4s 20ft 5 St M "5"	N 42 29' 35.779"	W 079 20' 39.640"	42.49327	-79.34435	LNM 23/14, 9th Dist	1136	14823_1	8/28/2014
14823	Add	Dunkirk Harbor Light 1	Fl G 4s 20ft 6 St M "1"	N 42 29' 35.779"	W 079 20' 39.640"	42.49327	-79.34435	LNM 23/14, 9th Dist	1137	14823_3	8/28/2014
14823	Add	Dunkirk Harbor Light 1	Fl G 4s 20ft 6 St M "1"	N 42 29' 35.779"	W 079 20' 39.640"	42.49327	-79.34435	LNM 23/14, 9th Dist	1136	14823_1	8/28/2014
14823	Delete	Dunkirk Harbor Pierhead Light 6	Fl R 6s 63ft 8 St M "6"	N 42 29' 34.510"	W 079 20' 43.210"	42.49292	-79.34534	LNM 23/14, 9th Dist	1137	14823_3	8/28/2014
14823	Delete	Dunkirk Harbor Pierhead Light 6	Fl R 6s 63ft 8 St M "6"	N 42 29' 34.510"	W 079 20' 43.210"	42.49292	-79.34534	LNM 23/14, 9th Dist	1136	14823_1	8/28/2014
14823	Add	Dunkirk Harbor Pierhead Light 2	Fl R 6s 63ft 8 St M "2"	N 42 29' 34.510"	W 079 20' 43.210"	42.49292	-79.34534	LNM 23/14, 9th Dist	1137	14823_3	8/28/2014
14823	Add	Dunkirk Harbor Pierhead Light 2	Fl R 6s 63ft 8 St M "2"	N 42 29' 34.510"	W 079 20' 43.210"	42.49292	-79.34534	LNM 23/14, 9th Dist	1136	14823_1	8/28/2014
