Chart: 14832, Current Edition: 35, Print Date: Mar. /2013, Niagara Falls to Buffalo
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14832	Change	tabulation - Buffalo Harbor Channel	tabulation - Buffalo Harbor Channel	N 42 59' 26.000"	W 078 53' 20.000"	42.99055	-78.88889	LNM 22/17, 9th Dist	1156	14832_1	5/25/2017
14832	Add	Buffalo Safe Water VAIS	V-AIS	N 42 50' 08.639"	W 078 55' 25.922"	42.83573	-78.92387	LNM 12/17, 9th Dist	1156	14832_1	3/30/2017
14832	Change	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 59' 26.000"	W 078 53' 20.000"	42.99055	-78.88889	LNM 13/17, 9th Dist	1156	14832_1	3/30/2017
14832	Change	tabulation - Buffalo Harbor Channel Depths	tabulation - Buffalo Harbor Channel Depths	N 42 59' 26.000"	W 078 53' 20.000"	42.99055	-78.88889	LNM 09/17, 9th Dist	1156	14832_1	3/23/2017
14832	Change	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 59' 26.000"	W 078 53' 20.000"	42.99055	-78.88889	LNM 35/16, 9th Dist	1156	14832_1	8/18/2016
14832	Change	Depth Legend - NIAGRA RIVER CHANNEL 	13 FT 2015	N 43 04' 25.000"	W 079 00' 14.000"	43.07361	-79.00389	LNM 07/16, 9th Dist	1156	14832_1	2/11/2016
14832	Change	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 59' 26.000"	W 078 53' 20.000"	42.99055	-78.88889	LNM 07/16, 9th Dist	1156	14832_1	2/11/2016
14832	Change	Tabulation - BUFFALO HARBOR CHANNEL DEPTHS	Tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 59' 26.000"	W 078 53' 20.000"	42.99055	-78.88889	LNM 01/16, 9th Dist	1156	14832_1	12/31/2015
14832	Add	Note: MARINER ACTIVATED SOUND SIGNAL: BUFFALO HARBOR LIGHT (MRASS)	MARINER ACTIVATED SOUND SIGNAL: BUFFALO HARBOR LIGHT (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1156	14832_1	12/3/2015
14832	Relocate	Buffalo Harbor Light	Fl G 2.5s 71ft 12 St M HORN	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1156	14832_1	12/3/2015
14832	Change	Buffalo Harbor Light	Fl G 2.5s 71ft 12 St M HORN (MRASS)	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1156	14832_1	12/3/2015
