Chart: 14833, Current Edition: 27, Print Date: Dec. /2012, Buffalo Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14833	Add	Buffalo Safe Water VAIS	V-AIS	N 42 50' 08.639"	W 078 55' 25.922"	42.83573	-78.92387	LNM 12/17, 9th Dist	1157	14833_1	3/30/2017
14833	Change	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 53' 45.000"	W 078 51' 35.000"	42.89583	-78.85973	LNM 13/17, 9th Dist	1157	14833_1	3/30/2017
14833	Change	tabulation - Buffalo Harbor Channel Depths	tabulation - Buffalo Harbor Channel Depths	N 42 53' 45.000"	W 078 51' 35.000"	42.89583	-78.85973	LNM 09/17, 9th Dist	1157	14833_1	3/23/2017
14833	Change	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 53' 45.000"	W 078 51' 35.000"	42.89583	-78.85973	LNM 35/16, 9th Dist	1157	14833_1	8/18/2016
14833	Change	Tabulation - BUFFALO HARBOR CHANNEL DEPTHS	Tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 53' 45.000"	W 078 51' 35.000"	42.89583	-78.85973	LNM 01/16, 9th Dist	1157	14833_1	12/31/2015
14833	Relocate	Buffalo Harbor Light	Fl G 2.5s 71ft 12 St M HORN	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1157	14833_1	12/3/2015
14833	Change	Buffalo Harbor Light	Fl G 2.5s 71ft 12 St M HORN (MRASS)	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1157	14833_1	12/3/2015
14833	Add	Note: MARINER ACTIVATED SOUND SIGNAL: BUFFALO HARBOR LIGHT (MRASS)	MARINER ACTIVATED SOUND SIGNAL: BUFFALO HARBOR LIGHT (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A	N 42 52' 14.200"	W 078 54' 09.198"	42.87061	-78.90256	LNM 38/15, 9th Dist	1157	14833_1	12/3/2015
14833	Change	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 53' 45.000"	W 078 51' 35.000"	42.89583	-78.85973	LNM 05/16, 9th Dist	1157	14833_1	11/19/2015
14833	Change	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 53' 45.000"	W 078 51' 35.000"	42.89583	-78.85973	LNM 23/16, 9th Dist	1157	14833_1	10/22/2015
14833	Change	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	tabulation - BUFFALO HARBOR CHANNEL DEPTHS	N 42 53' 45.000"	W 078 51' 35.000"	42.89583	-78.85973	LNM 35/15, 9th Dist	1157	14833_1	8/27/2015
14833	Add	magenta channel reach separator PT 1 OF 2	**magenta channel reach separator**	N 42 52' 29.130"	W 078 52' 45.330"	42.87476	-78.87926	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	magenta channel reach separator PT 2 OF 2	**magenta channel reach separator**	N 42 52' 29.950"	W 078 52' 42.730"	42.87498	-78.87853	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	magenta channel reach separator PT 1 OF 2	**magenta channel reach separator**	N 42 52' 29.280"	W 078 52' 45.870"	42.8748	-78.87941	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	magenta channel reach separator PT 2 OF 2	**magenta channel reach separator**	N 42 52' 30.170"	W 078 52' 43.310"	42.87505	-78.8787	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	magenta channel reach separator PT 1 OF 2	**magenta channel reach separator**	N 42 52' 27.460"	W 078 52' 50.600"	42.87429	-78.88072	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	magenta channel reach separator PT 2 OF 2	**magenta channel reach separator**	N 42 52' 28.150"	W 078 52' 48.430"	42.87449	-78.88012	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	magenta channel reach separator PT 1 OF 2	**magenta channel reach separator**	N 42 52' 49.580"	W 078 53' 44.230"	42.88044	-78.89562	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	magenta channel reach separator PT 2 OF 2	**magenta channel reach separator**	N 42 52' 46.940"	W 078 53' 31.570"	42.87971	-78.89211	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	magenta channel reach separator PT 1 OF 2	**magenta channel reach separator**	N 42 52' 27.550"	W 078 52' 50.850"	42.87432	-78.88079	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	magenta channel reach separator PT 2 OF 2	**magenta channel reach separator**	N 42 52' 28.320"	W 078 52' 48.590"	42.87453	-78.88017	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	Channel Limits PT 1 OF 4	Chart No. 1: I20	N 42 51' 33.560"	W 078 54' 34.610"	42.85932	-78.90961	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	Channel Limits PT 2 OF 4	Chart No. 1: I20	N 42 52' 10.300"	W 078 54' 09.730"	42.86953	-78.9027	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	Channel Limits PT 3 OF 4	Chart No. 1: I20	N 42 51' 30.150"	W 078 54' 24.930"	42.85838	-78.90692	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	Channel Limits PT 4 OF 4	Chart No. 1: I20	N 42 52' 06.820"	W 078 53' 59.890"	42.86856	-78.89997	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	Sounding in Feet	31	N 42 50' 13.360"	W 078 52' 47.040"	42.83704	-78.87973	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Sounding in Feet	31	N 42 51' 35.060"	W 078 54' 25.410"	42.85974	-78.90706	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Sounding in Feet	29	N 42 51' 40.930"	W 078 54' 23.330"	42.86137	-78.90648	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Sounding in Feet	26	N 42 51' 45.410"	W 078 54' 20.940"	42.86261	-78.90582	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Sounding in Feet	30	N 42 51' 52.130"	W 078 54' 13.450"	42.86448	-78.90373	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Channel Limits PT 1 OF 4	Chart No. 1: I20	N 42 50' 19.610"	W 078 52' 37.670"	42.83878	-78.87713	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Channel Limits PT 2 OF 4	Chart No. 1: I20	N 42 50' 19.420"	W 078 52' 49.230"	42.83873	-78.88034	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Channel Limits PT 3 OF 4	Chart No. 1: I20	N 42 50' 09.760"	W 078 52' 37.090"	42.83604	-78.87697	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Channel Limits PT 4 OF 4	Chart No. 1: I20	N 42 50' 09.560"	W 078 52' 48.900"	42.83599	-78.88025	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Sounding in Feet	29	N 42 51' 59.080"	W 078 54' 11.460"	42.86641	-78.90318	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Sounding in Feet	26	N 42 52' 05.780"	W 078 54' 07.040"	42.86827	-78.90195	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Add	Sounding in Feet	22	N 42 51' 46.070"	W 078 54' 27.210"	42.8628	-78.90755	LNM 23/15, 9th Dist	1157	14833_1	6/11/2015
14833	Delete	Black Rock Canal Buoy 7	G C "7"	N 42 53' 26.197"	W 078 53' 53.069"	42.89061	-78.89807	LNM 50/14, 9th Dist	1157	14833_1	1/1/2015
14833	Delete	Buffalo River Buoy 3	G C "3"	N 42 52' 44.718"	W 078 53' 23.049"	42.87909	-78.88973	LNM 50/14, 9th Dist	1157	14833_1	1/1/2015
14833	Delete	Buffalo River Buoy 4	R N "4"	N 42 52' 41.029"	W 078 53' 18.389"	42.87806	-78.88844	LNM 44/14, 9th Dist	1157	14833_1	11/20/2014
14833	Delete	Buffalo River Buoy 6	R N "6"	N 42 52' 39.669"	W 078 53' 02.848"	42.87769	-78.88412	LNM 44/14, 9th Dist	1157	14833_1	11/20/2014
14833	Change	tabulation - Buffalo Harbor Channel Depths	tabulation - Buffalo Harbor Channel Depths	N 42 53' 45.000"	W 078 51' 35.000"	42.89583	-78.85973	LNM 32/13, 9th Dist	1157	14833_1	7/24/2014
