Chart: 14853, Current Edition: 18, Print Date: Aug. /2016, SMALL-CRAFT BOOK CHART - Detroit River, Lake St. Clair and St. Clair River (book of 47 charts)
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14853	Relocate	Trenton Channel Lighted Buoy 11	G "11" Fl G 2.5s	N 42 09' 23.518"	W 083 09' 57.944"	42.15653	-83.16609	LNM 04/17, 9th Dist	1265	14853_3	2/2/2017
14853	Change	River Rouge Canal Entrance Lighted Buoy 2 AIS	R "2" Fl R 4s AIS	N 42 16' 31.188"	W 083 06' 33.297"	42.27533	-83.10925	LNM 50/16, 9th Dist	1271	14853_9	1/19/2017
14853	Change	River Rouge Canal Entrance Lighted Buoy 2 AIS	R "2" Fl R 4s AIS	N 42 16' 31.188"	W 083 06' 33.297"	42.27533	-83.10925	LNM 50/16, 9th Dist	1272	14853_10	1/19/2017
14853	Change	Belle Isle Lower Junction Lighted Buoy AIS	GR Fl (2+1) G 6s AIS	N 42 19' 54.837"	W 083 00' 56.810"	42.3319	-83.01578	LNM 50/16, 9th Dist	1273	14853_11	1/19/2017
14853	Change	Belle Isle Lower Junction Lighted Buoy AIS	GR Fl (2+1) G 6s AIS	N 42 19' 54.837"	W 083 00' 56.810"	42.3319	-83.01578	LNM 50/16, 9th Dist	1274	14853_12	1/19/2017
14853	Change	Belle Isle North Lighted Buoy 113 AIS	G "113" Fl G 4s AIS	N 42 21' 08.263"	W 082 56' 34.162"	42.35229	-82.94283	LNM 50/16, 9th Dist	1274	14853_12	1/19/2017
14853	Change	Belle Isle North Lighted Buoy 113 AIS	G "113" Fl G 4s AIS	N 42 21' 08.263"	W 082 56' 34.162"	42.35229	-82.94283	LNM 50/16, 9th Dist	1275	14853_13	1/19/2017
14853	Change	Peche Island Lighted Buoy 114 AIS	R "114" Fl R 4s AIS	N 42 21' 10.246"	W 082 55' 57.404"	42.35284	-82.93261	LNM 50/16, 9th Dist	1275	14853_13	1/19/2017
14853	Change	Peche Island Lighted Buoy 114 AIS	R "114" Fl R 4s AIS	N 42 21' 10.246"	W 082 55' 57.404"	42.35284	-82.93261	LNM 50/16, 9th Dist	1276	14853_14	1/19/2017
14853	Change	Peche Island Lighted Buoy 114 AIS	R "114" Fl R 4s AIS	N 42 21' 10.246"	W 082 55' 57.404"	42.35284	-82.93261	LNM 50/16, 9th Dist	1296	14853_34	1/19/2017
14853	Change	Lake St. Clair Lighted Buoy 2 AIS	R "2" Fl R 4s AIS	N 42 21' 54.270"	W 082 53' 52.330"	42.36507	-82.89787	LNM 50/16, 9th Dist	1276	14853_14	1/19/2017
14853	Change	Lake St. Clair Lighted Buoy 2 AIS	R "2" Fl R 4s AIS	N 42 21' 54.270"	W 082 53' 52.330"	42.36507	-82.89787	LNM 50/16, 9th Dist	1296	14853_34	1/19/2017
14853	Change	Lake St. Clair Lighted Buoy 8 AIS	R "8" Fl R 4s AIS	N 42 23' 14.453"	W 082 51' 53.007"	42.38735	-82.86472	LNM 50/16, 9th Dist	1277	14853_15	1/19/2017
14853	Change	Lake St. Clair Lighted Buoy 8 AIS	R "8" Fl R 4s AIS	N 42 23' 14.453"	W 082 51' 53.007"	42.38735	-82.86472	LNM 50/16, 9th Dist	1296	14853_34	1/19/2017
14853	Change	Lake St. Clair Lighted Buoy 30 AIS	R "30" Q R AIS	N 42 30' 30.728"	W 082 41' 54.471"	42.50854	-82.69846	LNM 50/16, 9th Dist	1296	14853_34	1/19/2017
14853	Change	Russell Island Shoal Lighted Buoy RI AIS	GR "RI" Fl (2+1) G 6s AIS	N 42 37' 20.353"	W 082 31' 03.364"	42.62232	-82.5176	LNM 50/16, 9th Dist	1301	14853_39	1/19/2017
14853	Change	St. Clair Middle Ground Lighted Buoy 52 AIS	R "52" Q R AIS	N 42 49' 40.015"	W 082 28' 49.486"	42.82778	-82.48042	LNM 50/16, 9th Dist	1305	14853_43	1/19/2017
14853	Change	Stag Island Lighted Buoy 58 AIS	R "58" Fl R 2.5s AIS	N 42 53' 19.912"	W 082 28' 13.991"	42.88886	-82.47055	LNM 50/16, 9th Dist	1306	14853_44	1/19/2017
14853	Change	Lake St. Clair Lighted Buoy 29 AIS	G "29" Fl G 2.5s AIS	N 42 30' 35.980"	W 082 42' 02.660"	42.50999	-82.70074	LNM 50/16, 9th Dist	1297	14853_35	1/19/2017
14853	Change	Lake St. Clair Lighted Buoy 29 AIS	G "29" Fl G 2.5s AIS	N 42 30' 35.980"	W 082 42' 02.660"	42.50999	-82.70074	LNM 50/16, 9th Dist	1296	14853_34	1/19/2017
14853	Change	Fawn Island Lighted Buoy 38 AIS	R "38" Fl R 4s AIS	N 42 40' 55.921"	W 082 30' 11.671"	42.6822	-82.50324	LNM 50/16, 9th Dist	1302	14853_40	1/19/2017
14853	Change	Marine City Shoal Lighted Buoy 40 AIS	R "40" Fl R 4s AIS	N 42 42' 03.721"	W 082 29' 44.873"	42.70103	-82.4958	LNM 50/16, 9th Dist	1302	14853_40	1/19/2017
14853	Change	Lake Huron Cut Lighted Buoy 1 AIS	G "1" Q G AIS	N 43 00' 33.297"	W 082 25' 04.173"	43.00925	-82.41782	LNM 50/16, 9th Dist	1308	14853_46	1/19/2017
14853	Change	Lake Huron Cut Lighted Buoy 1 AIS	G "1" Q G AIS	N 43 00' 33.297"	W 082 25' 04.173"	43.00925	-82.41782	LNM 50/16, 9th Dist	1309	14853_47	1/19/2017
14853	Change	Lake St. Clair Light 1	Q G 37ft 5 St M "1"	N 42 22' 01.065"	W 082 53' 59.103"	42.36696	-82.89975	LNM 43/16, 9th Dist	1276	14853_14	11/10/2016
14853	Change	Lake St. Clair Light 1	Q G 37ft 5 St M "1"	N 42 22' 01.065"	W 082 53' 59.103"	42.36696	-82.89975	LNM 43/16, 9th Dist	1296	14853_34	11/10/2016
14853	Relocate	Harts Landing Light	Fl G 6s 26ft 8 St M	N 42 47' 02.750"	W 082 28' 27.240"	42.7841	-82.47424	LNM 43/16, 9th Dist	1304	14853_42	11/10/2016
