Chart: 14863, Current Edition: 32, Print Date: Mar. /2014, Saginaw Bay;Port Austin Harbor;Caseville Harbor;Entrance to Au Sable River;Sebewaing Harbor;Tawas Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14863	Change	Saginaw Bay Channel Buoy 3	G C "3"	N 43 47' 27.034"	W 083 43' 53.880"	43.79084	-83.73164	Not Yet Published	1316	14863_1	2/2/2017
14863	Change	Saginaw Bay Channel Buoy 4	R N "4"	N 43 47' 29.000"	W 083 43' 58.000"	43.79139	-83.73278	Not Yet Published	1316	14863_1	2/2/2017
14863	Change	Saginaw Bay Channel Buoy 7	G C "7"	N 43 45' 41.000"	W 083 45' 23.200"	43.76139	-83.75645	Not Yet Published	1316	14863_1	2/2/2017
14863	Change	Saginaw Bay Channel Buoy 8	R N "8"	N 43 45' 43.480"	W 083 45' 26.905"	43.76208	-83.75748	Not Yet Published	1316	14863_1	2/2/2017
14863	Change	Saginaw Bay Channel Buoy 13	G C "13"	N 43 42' 59.809"	W 083 47' 38.274"	43.71661	-83.79397	Not Yet Published	1316	14863_1	2/2/2017
14863	Change	Saginaw Bay Channel Buoy 14	R N "14"	N 43 43' 02.000"	W 083 47' 42.200"	43.71722	-83.79506	Not Yet Published	1316	14863_1	2/2/2017
14863	Change	Saginaw Bay Channel Buoy 17	G C "17"	N 43 41' 13.000"	W 083 49' 07.500"	43.68694	-83.81875	Not Yet Published	1316	14863_1	2/2/2017
14863	Change	Saginaw Bay Channel Buoy 18	R N "18"	N 43 41' 15.000"	W 083 49' 11.500"	43.6875	-83.81986	Not Yet Published	1316	14863_1	2/2/2017
14863	Change	Charity Island Shoal Lighted Bell Buoy 1 AIS	G "1" Q G BELL AIS	N 44 06' 30.156"	W 083 29' 46.172"	44.10838	-83.49616	LNM 50/16, 9th Dist	1316	14863_1	1/19/2017
14863	Change	Charity Island Shoal Lighted Buoy 3 AIS	G "3" Fl G 4s AIS	N 44 03' 25.005"	W 083 30' 43.833"	44.05695	-83.51218	LNM 50/16, 9th Dist	1316	14863_1	1/19/2017
