Chart: 14904, Current Edition: 27, Print Date: Dec. /2012, Port Washington to Waukegan;Kenosha;North Point Marina;Port Washington;Waukegan
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14904	Change	Kenosha Light	KENOSHA LT Iso R 6s 50ft 11 ST M HORN (MRASS)	N 42 35' 19.700"	W 087 48' 30.830"	42.58881	-87.80856	LNM 08/17, 9th Dist	1368	14904_3	3/2/2017
14904	Change	Kenosha Light	KENOSHA LT Iso R 6s 50ft 11 ST M HORN (MRASS)	N 42 35' 19.700"	W 087 48' 30.830"	42.58881	-87.80856	LNM 08/17, 9th Dist	1366	14904_1	3/2/2017
14904	Change	Milwaukee Breakwater Light	BREAKWATER LT Fl R (2) 10s 61ft 14 ST M HORN (MRASS)	N 43 01' 36.992"	W 087 52' 54.927"	43.02694	-87.88193	LNM 08/17, 9th Dist	1366	14904_1	3/2/2017
14904	Change	Port Washington Breakwater Light	BKW LT Fl R 6s 78ft 7 ST M HORN (MRASS)	N 43 23' 06.942"	W 087 51' 34.802"	43.38526	-87.85966	LNM 08/17, 9th Dist	1367	14904_2	3/2/2017
14904	Change	Port Washington Breakwater Light	BKW LT Fl R 6s 78ft 7 ST M HORN (MRASS)	N 43 23' 06.942"	W 087 51' 34.802"	43.38526	-87.85966	LNM 08/17, 9th Dist	1366	14904_1	3/2/2017
14904	Add	Note: MARINER ACTIVATED SOUND SIGNALS	MARINER ACTIVATED SOUND SIGNAL: PORT WASHINGTON BREAKWATER LIGHT (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A.	N 43 23' 06.942"	W 087 51' 34.802"	43.38526	-87.85966	LNM 08/17, 9th Dist	1367	14904_2	3/2/2017
14904	Add	Note: MARINER ACTIVATED SOUND SIGNALS	MARINER ACTIVATED SOUND SIGNAL: KENOSHA LIGHT LIGHT (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A.	N 42 35' 19.700"	W 087 48' 30.830"	42.58881	-87.80856	LNM 08/17, 9th Dist	1368	14904_3	3/2/2017
14904	Change	Security Zone Label	SECURITY ZONE 165.910 (see note A)	N 42 26' 30.000"	W 087 47' 00.000"	42.44167	-87.78333	LNM 51/16, 9th Dist	1366	14904_1	12/22/2016
14904	Add	Great Lakes Buoy C	Y C "C"	N 42 19' 42.474"	W 087 48' 41.628"	42.32846	-87.81156	LNM 23/16, 9th Dist	1366	14904_1	6/23/2016
14904	Change	Port Washington Municipal Marina Light 1	Fl G 2.5s 27ft 5 St M "1"	N 43 23' 17.766"	W 087 51' 48.978"	43.38827	-87.8636	LNM 23/16, 9th Dist	1367	14904_2	6/23/2016
