Chart: 14912, Current Edition: 18, Print Date: Jan. /2016, Platte Bay to Leland;Leland;South Manitou Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14912	Delete	Sounding in Feet	3	N 45 01' 26.560"	W 085 45' 49.590"	45.02404	-85.76378	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	2	N 45 01' 27.100"	W 085 45' 50.070"	45.02419	-85.76391	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	1/2	N 45 01' 27.110"	W 085 45' 49.450"	45.0242	-85.76373	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	3	N 45 01' 26.620"	W 085 45' 50.100"	45.02406	-85.76392	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Change	Depth Legend - Leland Harbor 	4 FT APR 2016	N 45 01' 25.500"	W 085 45' 51.100"	45.02375	-85.76419	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Delete	Sounding in Feet	4	N 45 01' 26.070"	W 085 45' 49.630"	45.02391	-85.76379	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	2	N 45 01' 28.090"	W 085 45' 49.840"	45.02447	-85.76385	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	3	N 45 01' 27.790"	W 085 45' 50.420"	45.02439	-85.76401	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Change	Depth Legend - Leland Harbor 	4 FT APR 2016 	N 45 01' 30.400"	W 085 45' 45.800"	45.02511	-85.76273	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Delete	Sounding in Feet	2	N 45 01' 27.140"	W 085 45' 49.500"	45.0242	-85.76375	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	1	N 45 01' 26.600"	W 085 45' 49.270"	45.02406	-85.76369	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	2	N 45 01' 26.080"	W 085 45' 49.250"	45.02391	-85.76368	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	3	N 45 01' 25.820"	W 085 45' 49.790"	45.02384	-85.76383	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	1/2	N 45 01' 27.600"	W 085 45' 50.030"	45.02433	-85.7639	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
14912	Add	Sounding in Feet	1/2	N 45 01' 27.680"	W 085 45' 49.340"	45.02436	-85.7637	LNM 35/16, 9th Dist	1395	14912_2	7/14/2016
