Chart: 14924, Current Edition: 29, Print Date: Dec. /2012, Milwaukee Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14924	Change	Milwaukee Breakwater Light	BREAKWATER LT Fl R (2) 10s 61ft 14 ST M HORN (MRASS)	N 43 01' 36.992"	W 087 52' 54.927"	43.02694	-87.88193	LNM 08/17, 9th Dist	1448	14924_1	3/2/2017
14924	Add	Note: MARINER ACTIVATED SOUND SIGNALS	MARINER ACTIVATED SOUND SIGNAL: MILWAUKEE BREAKWATER LIGHT  (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A	N 43 01' 36.992"	W 087 52' 54.927"	43.02694	-87.88193	LNM 08/17, 9th Dist	1448	14924_1	3/2/2017
14924	Change	Milwaukee South Entrance Light 2	Fl R 4s 35ft 5 St M "2"	N 43 00' 30.047"	W 087 52' 35.428"	43.00835	-87.87651	LNM 23/16, 9th Dist	1448	14924_1	6/16/2016
14924	Delete	Milwaukee Tanker Pier Buoy 2	R S "2" Priv	N 43 00' 54.200"	W 087 53' 29.300"	43.01506	-87.89147	LNM 07/16, 9th Dist	1448	14924_1	2/25/2016
14924	Delete	Milwaukee Tanker Pier Buoy 1	S "1" Priv	N 43 00' 49.400"	W 087 53' 26.900"	43.01372	-87.89081	LNM 07/16, 9th Dist	1448	14924_1	2/25/2016
14924	Change	Tabulation - MILWAUKEE HARBOR CHANNEL DEPTHS	Tabulation - MILWAUKEE HARBOR CHANNEL DEPTHS	N 42 59' 03.000"	W 087 55' 46.000"	42.98417	-87.92944	LNM 23/16, 9th Dist	1448	14924_1	1/14/2016
14924	Delete	Sounding in Feet	9	N 43 01' 57.900"	W 087 56' 19.300"	43.03275	-87.9387	LNM 23/16, 9th Dist	1448	14924_1	1/14/2016
14924	Add	Sounding in Feet	9	N 43 01' 58.000"	W 087 56' 22.000"	43.03278	-87.93945	LNM 23/16, 9th Dist	1448	14924_1	1/14/2016
14924	Add	Sounding in Feet	11	N 43 01' 57.900"	W 087 56' 09.900"	43.03275	-87.93608	LNM 23/16, 9th Dist	1448	14924_1	1/14/2016
14924	Change	Depth Legend - MILWAUKEE HARBOR	12 FT OCT 2015	N 43 01' 55.700"	W 087 55' 38.200"	43.03214	-87.92728	LNM 23/16, 9th Dist	1448	14924_1	1/14/2016
14924	Change	Depth Legend - MILWAUKEE HARBOR	19 FT OCT 2015	N 43 01' 58.400"	W 087 54' 53.500"	43.03289	-87.91486	LNM 23/16, 9th Dist	1448	14924_1	1/14/2016
14924	Substitute	Sounding in Feet	11 for 12	N 43 01' 45.500"	W 087 55' 06.400"	43.0293	-87.91844	LNM 23/16, 9th Dist	1448	14924_1	1/14/2016
14924	Change	tabulation - MILWAUKEE HARBOR, WI	tabulation - MILWAUKEE HARBOR, WI	N 42 59' 03.000"	W 087 55' 46.000"	42.98417	-87.92944	LNM 34/15, 9th Dist	1448	14924_1	9/24/2015
14924	Add	UWM Buoy BBB1	Y "BBB1" Q Y Priv	N 43 03' 33.120"	W 087 51' 58.320"	43.0592	-87.8662	LNM 33/15, 9th Dist	1448	14924_1	8/27/2015
14924	Change	Depth Legend - MILWAUKEE HARBOR 	19 FT APR 2015	N 43 00' 39.600"	W 087 54' 20.100"	43.011	-87.90559	LNM 35/15, 9th Dist	1448	14924_1	8/27/2015
14924	Change	Milwaukee Breakwater Light	Fl R (2) 10s 61ft 14 St M HORN	N 43 01' 36.992"	W 087 52' 54.927"	43.02694	-87.88193	LNM 16/15, 9th Dist	1448	14924_1	5/7/2015
14924	Change	Milwaukee Breakwater Light	Fl R 10s 61ft 14 St M HORN	N 43 01' 36.992"	W 087 52' 54.927"	43.02694	-87.88193	LNM 13/15, 9th Dist	1448	14924_1	4/16/2015
14924	Change	Depth Legend - MILWAUKEE HARBOR 	18 1/2 FT SEP 2014	N 43 01' 58.400"	W 087 54' 53.500"	43.03289	-87.91486	LNM 31/15, 9th Dist	1448	14924_1	3/26/2015
14924	Change	Depth Legend - MILWAUKEE HARBOR 	18 1/2 FT SEP 2014	N 43 00' 39.600"	W 087 54' 20.100"	43.011	-87.90559	LNM 31/15, 9th Dist	1448	14924_1	3/26/2015
