Chart: 14934, Current Edition: 30, Print Date: Dec. /2015, Muskegon Lake and Muskegon Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14934	Relocate	Conservation Club Channel Dayboard 5	G "5"	N 43 15' 34.300"	W 086 15' 15.000"	43.25953	-86.25417	LNM 14/17, 9th Dist	1491	14934_1	4/13/2017
14934	Add	Sounding in Feet	28	N 43 13' 34.450"	W 086 20' 42.530"	43.22623	-86.34515	LNM 35/16, 9th Dist	1491	14934_1	9/29/2016
14934	Change	Depth Legend - Muskegon Harbor 	26 FT MAR 2016 	N 43 13' 48.000"	W 086 20' 04.000"	43.23	-86.33444	LNM 35/16, 9th Dist	1491	14934_1	9/29/2016
14934	Delete	Sounding in Feet	27	N 43 13' 36.320"	W 086 20' 39.410"	43.22676	-86.34428	LNM 35/16, 9th Dist	1491	14934_1	9/29/2016
14934	Change	Depth Legend - Muskegon Harbor 	27 FT MAR 2016	N 43 13' 35.000"	W 086 20' 35.000"	43.22639	-86.34306	LNM 35/16, 9th Dist	1491	14934_1	9/29/2016
14934	Add	Sounding in Feet	28	N 43 13' 31.080"	W 086 20' 55.390"	43.2253	-86.34872	LNM 35/16, 9th Dist	1491	14934_1	9/29/2016
14934	Delete	Sounding in Feet	28	N 43 13' 31.160"	W 086 20' 41.770"	43.22532	-86.34493	LNM 35/16, 9th Dist	1491	14934_1	9/29/2016
14934	Add	Sounding in Feet	28	N 43 13' 31.160"	W 086 20' 41.770"	43.22532	-86.34493	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Delete	Sounding in Feet	20	N 43 13' 30.340"	W 086 20' 55.870"	43.22509	-86.34885	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Substitute	Sounding in Feet	25	N 43 13' 37.420"	W 086 20' 34.060"	43.22706	-86.3428	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Substitute	Sounding in Feet	27	N 43 13' 36.320"	W 086 20' 39.410"	43.22676	-86.34428	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Delete	Sounding in Feet	20	N 43 13' 22.700"	W 086 20' 52.600"	43.22297	-86.34795	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Delete	Sounding in Feet	19	N 43 13' 23.970"	W 086 20' 51.980"	43.22332	-86.34777	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Delete	Sounding in Feet	20	N 43 13' 25.910"	W 086 20' 51.070"	43.22387	-86.34752	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Delete	Sounding in Feet	21	N 43 13' 31.670"	W 086 20' 57.420"	43.22546	-86.34928	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Change	Depth Legend - MUSKEGON CHANNEL 	28 FT NOV 2015	N 43 13' 35.000"	W 086 20' 35.000"	43.22639	-86.34306	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
14934	Change	Depth Legend - MUSKEGON CHANNEL 	29 FT NOV 2015	N 43 13' 29.000"	W 086 20' 50.000"	43.22472	-86.34722	LNM 11/16, 9th Dist	1491	14934_1	3/3/2016
