Chart: 14970, Current Edition: 27, Print Date: Aug. /2014, Marquette and Presque Isle Harbors
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14970	Substitute	Sounding in Feet	6 for 5	N 46 32' 20.170"	W 087 22' 45.920"	46.53894	-87.37943	LNM 20/16, 9th Dist	1527	14970_1	5/12/2016
14970	Add	Sounding in Feet	18	N 46 32' 01.017"	W 087 22' 31.170"	46.53362	-87.37533	LNM 20/16, 9th Dist	1527	14970_1	5/12/2016
14970	Change	Depth Legend - Marquette Harbor, MI	24 FT FOR A MID-WIDTH OF 1400 FT JUN 2015	N 46 32' 19.000"	W 087 22' 57.000"	46.53861	-87.3825	LNM 20/16, 9th Dist	1527	14970_1	5/12/2016
14970	Substitute	Sounding in Feet	17 for 15	N 46 32' 28.340"	W 087 22' 45.980"	46.54121	-87.37944	LNM 20/16, 9th Dist	1527	14970_1	5/12/2016
14970	Substitute	Sounding in Feet	18 for 16	N 46 32' 26.990"	W 087 22' 45.880"	46.54083	-87.37941	LNM 20/16, 9th Dist	1527	14970_1	5/12/2016
14970	Substitute	Sounding in Feet	9 for 11	N 46 32' 23.920"	W 087 22' 45.810"	46.53998	-87.37939	LNM 20/16, 9th Dist	1527	14970_1	5/12/2016
14970	Substitute	Sounding in Feet	16 for 26	N 46 32' 18.670"	W 087 22' 45.900"	46.53852	-87.37942	LNM 20/16, 9th Dist	1527	14970_1	5/12/2016
14970	Substitute	Sounding in Feet	6 for 5	N 46 32' 22.740"	W 087 22' 45.920"	46.53965	-87.37943	LNM 20/16, 9th Dist	1527	14970_1	5/12/2016
14970	Change	Marquette Breakwater Outer Light	Fl 2.5s 36ft 12 St M HORN (MRASS)	N 46 32' 01.680"	W 087 22' 29.040"	46.5338	-87.37473	LNM 38/15, 9th Dist	1527	14970_1	12/3/2015
14970	Add	Note: MARQUETTE BREAKWATER OUTER LIGHT (MRASS)	MARINER ACTIVATED SOUND SIGNAL: MARQUETTE BREAKWATER OUTER LIGHT (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 83A.	N 46 32' 01.680"	W 087 22' 29.040"	46.5338	-87.37473	LNM 38/15, 9th Dist	1527	14970_1	12/3/2015
