Chart: 14972, Current Edition: 27, Print Date: Dec. /2013, Keweenaw Waterway, including Torch Lake;Hancock and Houghton
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14972	Change	Pilgrim Point Leading Light	Pilgrim Pt Leading Lt Fl 4s 22ft 9 St M	N 47 06' 23.962"	W 088 30' 26.439"	47.10666	-88.50735	LNM 20/17, 9th Dist	1531	14972_1	5/18/2017
14972	Change	Lift Bridge Label	 LIFT BRIDGE HOR CL 250 FT VERT CL 7 FT (DOWN) VERT CL 35 FT (MID) VERT CL 103 FT(UP)	N 47 07' 25.800"	W 088 34' 27.000"	47.12383	-88.57417	LNM 24/16, 9th Dist	1532	14972_2	6/9/2016
14972	Change	Lift Bridge Label	 LIFT BRIDGE HOR CL 250 FT VERT CL 7 FT (DOWN) VERT CL 35 FT (MID) VERT CL 103 FT(UP)	N 47 07' 25.800"	W 088 34' 27.000"	47.12383	-88.57417	LNM 24/16, 9th Dist	1531	14972_1	6/9/2016
14972	Change	Depth Legend -  KEWEENAW WATERWAY 	22 1/2 FT OCT 2015	N 47 14' 04.600"	W 088 37' 53.800"	47.23461	-88.63161	LNM 16/16, 9th Dist	1531	14972_1	4/21/2016
14972	Change	Depth Legend - KEWEENAW WATERWAY 	22 1/2 FT OCT 2015	N 47 12' 45.400"	W 088 37' 08.000"	47.21261	-88.61889	LNM 16/16, 9th Dist	1531	14972_1	4/21/2016
14972	Change	Depth Legend - KEWEENAW WATERWAY 	23 1/2 FT OCT 2015	N 47 11' 47.000"	W 088 37' 09.600"	47.19639	-88.61933	LNM 16/16, 9th Dist	1531	14972_1	4/21/2016
14972	Change	Depth Legend - KEWEENAW WATERWAY 	22 1/2 FT OCT 2015	N 47 13' 51.900"	W 088 37' 45.700"	47.23108	-88.62936	LNM 16/16, 9th Dist	1531	14972_1	4/21/2016
14972	Change	Depth Legend - KEWEENAW WATERWAY 	22 FT OCT 2015	N 47 13' 42.100"	W 088 37' 39.400"	47.22836	-88.62761	LNM 16/16, 9th Dist	1531	14972_1	4/21/2016
14972	Change	Depth Legend - KEWEENAW WATERWAY 	23 FT 2015	N 47 13' 27.500"	W 088 37' 29.800"	47.2243	-88.62495	LNM 16/16, 9th Dist	1531	14972_1	4/21/2016
14972	Change	Keweenaw Waterway Lower Entrance Light	Fl 6s 68ft 9 St M HORN (MRASS)	N 46 58' 07.986"	W 088 25' 51.561"	46.96888	-88.43099	LNM 38/15, 9th Dist	1531	14972_1	12/3/2015
