Chart: 14997, Current Edition: 15, Print Date: 7/4/1998, Rainy Lake-Dryweed Island, to Big Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
14997	Relocate	BUOY E33	G S "E33"	N 48 35' 30.000"	W 092 51' 34.000"	48.59167	-92.85944	CNM 03/08, Canada	1561	14997_1	4/24/2008
14997	Relocate	SOUTH SHORE BUOY 9	G C "9"	N 48 36' 29.424"	W 093 01' 28.920"	48.60817	-93.0247	LNM 43/07, 9th Dist	1561	14997_1	2/13/2008
14997	Relocate	RAINY LAKE LIGHTED BUOY 12	R "12" Fl R 4s	N 48 36' 25.863"	W 092 57' 37.017"	48.60719	-92.96028	LNM 25/07, 9th Dist	1561	14997_1	2/13/2008
14997	Relocate	BRULE NARROWS BY 19	G C "19"	N 48 36' 13.400"	W 092 55' 25.800"	48.60372	-92.92384	CNM   /04, Canada	1561	14997_1	2/13/2008
14997	Relocate	BRULE NARROWS BY 31	G C "31"	N 48 35' 31.500"	W 092 53' 39.000"	48.59208	-92.89417	CNM   /04, Canada	1561	14997_1	2/13/2008
14997	Relocate	SOLDIERS PT DB 30A	R N "30A"	N 48 35' 33.800"	W 092 53' 46.000"	48.59272	-92.89611	CNM   /04, Canada	1561	14997_1	2/13/2008
14997	Relocate	BRULE NARROWS BY 30	R N "30"	N 48 35' 30.800"	W 092 53' 41.000"	48.59189	-92.89472	CNM   /04, Canada	1561	14997_1	2/13/2008
14997	Revise	BRULE NARROWS LB 32	R "32" Fl R 4s	N 48 35' 29.200"	W 092 53' 39.000"	48.59145	-92.89417	LNM   /04, 9th Dist	1561	14997_1	2/13/2008
14997	Revise	RAINY LAKE LB 12	R "12" Fl R 4s	N 48 36' 26.160"	W 092 57' 38.430"	48.60727	-92.96068	LNM   /04, 9th Dist	1561	14997_1	2/13/2008
14997	Add	CANOE CH BY 20	R N "20"	N 48 36' 16.240"	W 093 07' 51.470"	48.60451	-93.13097	LNM   /04, 9th Dist	1561	14997_1	2/13/2008
14997	Add	SOUTH SHORE BY 6	R N "6"	N 48 36' 15.800"	W 093 04' 30.980"	48.60439	-93.07527	LNM   /04, 9th Dist	1561	14997_1	2/13/2008
