Chart: 16220, Current Edition: 6, Print Date: May. /2013, Bering Sea St. Lawrence Island to Bering Strait
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16220	Delete	Submerged Buoy	Subm buoy (cov 15 m)	N 65 44' 43.200"	W 168 34' 49.200"	65.74533	-168.5803	LNM 43/15, 9th Dist	2571	16220_1	10/22/2015
16220	Delete	Submerged Buoy	Subm buoy (cov 15 fms)	N 65 44' 45.600"	W 168 57' 46.200"	65.746	-168.9628	LNM 43/15, 9th Dist	2571	16220_1	10/22/2015
16220	Add	Submerged Buoy	Subm buoy (cov 15 m)	N 65 44' 45.600"	W 168 15' 46.200"	65.746	-168.2628	LNM 43/15, 9th Dist	2571	16220_1	10/22/2015
16220	Delete	Submerged Buoy	Subm buoy (cov 15m)	N 65 46' 51.000"	W 168 34' 05.400"	65.78083	-168.5682	LNM 28/15, 17th Dist	2571	16220_1	7/23/2015
16220	Add	Submerged Buoy	Subm buoy (cov 8 fms 1 ft)	N 65 46' 51.600"	W 168 34' 04.800"	65.781	-168.568	LNM 28/15, 17th Dist	2571	16220_1	7/23/2015
16220	Delete	Submerged Buoy	Subm buoy (cov 15m)	N 66 19' 35.400"	W 168 57' 03.600"	66.3265	-168.951	LNM 28/15, 17th Dist	2571	16220_1	7/23/2015
16220	Add	Submerged Buoy	Subm buoy (cov 15m)	N 66 19' 36.000"	W 168 57' 02.400"	66.32667	-168.9507	LNM 28/15, 17th Dist	2571	16220_1	7/23/2015
16220	Add	Submerged Buoy	Subm buoy (cov 15m)	N 65 44' 45.600"	W 168 57' 46.200"	65.746	-168.9628	LNM 28/15, 17th Dist	2571	16220_1	7/23/2015
16220	Delete	Submerged Buoy	Subm buoy (cov 16 m / 8 1/2 fms)	N 66 19' 37.200"	W 168 56' 03.600"	66.327	-168.9343	LNM 27/14, 17th Dist	2571	16220_1	7/24/2014
16220	Delete	Submerged Buoy	Subm buoy (cov 16 m / 8 1/2 fms)	N 65 44' 45.000"	W 168 15' 45.000"	65.74583	-168.2625	LNM 27/14, 17th Dist	2571	16220_1	7/24/2014
16220	Add	Submerged Buoy	Subm buoy (cov 15 m)	N 66 19' 35.400"	W 168 57' 03.600"	66.3265	-168.951	LNM 27/14, 17th Dist	2571	16220_1	7/24/2014
16220	Add	Submerged Buoy	Subm buoy (cov 15m)	N 65 44' 43.200"	W 168 34' 49.200"	65.74533	-168.5803	LNM 27/14, 17th Dist	2571	16220_1	7/24/2014
16220	Add	Submerged Buoy	Subm buoy (cov 15 m)	N 65 46' 51.000"	W 168 34' 05.400"	65.78083	-168.5682	LNM 27/14, 17th Dist	2571	16220_1	7/24/2014
16220	Delete	Submerged Buoy	Subm buoy (cov 16 m / 8 1/2 fms)	N 65 46' 51.600"	W 168 34' 03.000"	65.781	-168.5675	LNM 27/14, 17th Dist	2571	16220_1	7/24/2014
16220	Add	Sounding in meters	35	N 64 35' 48.000"	W 171 25' 06.000"	64.59666	-171.4183	WNM 15/14, NGA	2571	16220_1	4/10/2014
16220	Add	Submerged Buoy	(cov 64 m)	N 64 50' 54.120"	W 168 23' 26.100"	64.84837	-168.3906	LNM 43/13, 17th Dist	2571	16220_1	11/14/2013
16220	Delete	Submerged Buoy	(cov 35 m)	N 64 50' 50.460"	W 168 23' 50.760"	64.84735	-168.3974	LNM 43/13, 17th Dist	2571	16220_1	11/14/2013
16220	Relocate	Cape Prince Of Wales Light	Fl 4s 20ft 7M  	N 65 38' 00.589"	W 168 07' 09.187"	65.6335	-168.1192	LNM 40/13, 17th Dist	2571	16220_1	10/3/2013
16220	Add	Subm buoy	(cov 16 m)	N 65 46' 51.600"	W 168 34' 03.000"	65.781	-168.5675	LNM 33/13, 17th Dist	2571	16220_1	8/22/2013
16220	Delete	Subm buoy	(cov 16 m)	N 65 46' 05.160"	W 168 34' 04.200"	65.7681	-168.5678	LNM 33/13, 17th Dist	2571	16220_1	8/22/2013
16220	Add	Subm buoy	(cov 16 m)	N 65 44' 45.000"	W 168 15' 45.000"	65.74583	-168.2625	LNM 33/13, 17th Dist	2571	16220_1	8/22/2013
16220	Delete	Subm buoy	(cov 16 m)	N 65 44' 45.000"	W 168 15' 46.200"	65.74583	-168.2628	LNM 33/13, 17th Dist	2571	16220_1	8/22/2013
16220	Add	Subm buoy	(cov 16 m)	N 66 19' 37.200"	W 168 56' 03.600"	66.327	-168.9343	LNM 33/13, 17th Dist	2571	16220_1	8/22/2013
16220	Delete	Subm buoy	(cov 14 m)	N 66 19' 36.600"	W 168 57' 03.000"	66.32684	-168.9508	LNM 33/13, 17th Dist	2571	16220_1	8/22/2013
16220	Add	AOOS Wave Buoy	Fl (5) Y 20s Priv	N 65 00' 34.440"	W 169 27' 12.660"	65.00957	-169.4535	LNM 29/13, 17th Dist	2571	16220_1	7/19/2013
16220	Delete	Sounding in meters	18.3, blue tint, depth curve	N 65 23' 42.000"	W 168 27' 30.000"	65.395	-168.4583	WNM 21/13, NGA	2571	16220_1	5/31/2013
