Chart: 16594, Current Edition: 14, Print Date: Jan. /2015, Marmot Bay and Kupreanof Strait;Whale Passage;Ouzinkie Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16594	Delete	Sounding in Fathoms & Fractions	2 1/2	N 57 48' 10.500"	W 152 17' 54.500"	57.80292	-152.2985	LNM 21/17, 17th Dist	2553	16594_1	5/18/2017
16594	Add	Sounding in Fathoms & Fractions	2 1/2	N 57 45' 01.100"	W 152 18' 45.100"	57.75031	-152.3125	LNM 21/17, 17th Dist	2553	16594_1	5/18/2017
16594	Add	Sounding in Fathoms 	3/4	N 57 48' 06.200"	W 152 17' 55.000"	57.80172	-152.2986	LNM 21/17, 17th Dist	2553	16594_1	5/18/2017
16594	Add	Sounding in Fathoms & Fractions	2 1/2	N 57 47' 40.800"	W 152 18' 04.300"	57.79467	-152.3012	LNM 21/17, 17th Dist	2553	16594_1	5/18/2017
16594	Add	Sounding in Fathoms & Fractions	1 1/2	N 57 45' 14.200"	W 152 18' 55.300"	57.75394	-152.3154	LNM 21/17, 17th Dist	2553	16594_1	5/18/2017
16594	Delete	Sounding in Fathoms 	4	N 57 45' 03.500"	W 152 18' 46.000"	57.75097	-152.3128	LNM 21/17, 17th Dist	2553	16594_1	5/18/2017
16594	Add	Submerged Buoy	Subm buoy (cov 93 fms)	N 57 43' 20.640"	W 152 17' 23.040"	57.7224	-152.2897	Not Yet Published	2553	16594_1	8/11/2016
16594	Relocate	Three Brothers Reef Buoy 6	R N "6"	N 57 55' 07.980"	W 152 32' 44.310"	57.91888	-152.5456	LNM 30/16, 17th Dist	2555	16594_2	8/4/2016
16594	Relocate	Three Brothers Reef Buoy 6	R N "6"	N 57 55' 07.980"	W 152 32' 44.310"	57.91888	-152.5456	LNM 30/16, 17th Dist	2553	16594_1	8/4/2016
16594	Change	Three Brothers Light 8	Fl R 4s 32ft 5M "8"	N 57 55' 26.162"	W 152 33' 13.677"	57.92393	-152.5538	LNM 14/16, 17th Dist	2555	16594_2	5/26/2016
16594	Change	Three Brothers Light 8	Fl R 4s 32ft 5M "8"	N 57 55' 26.162"	W 152 33' 13.677"	57.92393	-152.5538	LNM 14/16, 17th Dist	2553	16594_1	5/26/2016
16594	Change	Ouzinkie Breakwater Light 2	Fl R 6s 23ft 5M "2"	N 57 55' 15.465"	W 152 29' 47.040"	57.92096	-152.4964	LNM 14/16, 17th Dist	2555	16594_2	5/26/2016
16594	Change	Ouzinkie Breakwater Light 2	Fl R 6s 23ft 5M "2"	N 57 55' 15.465"	W 152 29' 47.040"	57.92096	-152.4964	LNM 14/16, 17th Dist	2553	16594_1	5/26/2016
16594	Substitute	Rock in Fathoms	2 Rk      Chart No. 1: K14.2	N 57 58' 05.100"	W 153 26' 10.000"	57.96808	-153.4361	LNM 15/16, 9th Dist	2553	16594_1	4/7/2016
16594	Substitute	Rock in Fathoms	2 1/4 Rk      Chart No. 1: K14.2	N 57 57' 57.500"	W 153 26' 14.400"	57.96597	-153.4373	LNM 15/16, 9th Dist	2553	16594_1	4/7/2016
16594	Substitute	Rock in Fathoms	1 3/4 Rk      Chart No. 1: K14.2	N 57 58' 11.800"	W 153 26' 11.200"	57.96994	-153.4364	LNM 15/16, 9th Dist	2553	16594_1	4/7/2016
16594	Add	Rock in Fathoms	1 1/2 Rk      Chart No. 1: K14.2	N 57 59' 16.800"	W 153 18' 35.100"	57.988	-153.3098	LNM 15/16, 9th Dist	2553	16594_1	4/7/2016
16594	Add	Sounding in Fathoms & Fractions	2 3/4	N 57 55' 44.400"	W 153 12' 17.600"	57.929	-153.2049	LNM 51/15, 9th Dist	2553	16594_1	12/17/2015
16594	Add	Sounding in Fathoms & Fractions	1 1/2	N 57 54' 04.500"	W 153 12' 32.000"	57.90125	-153.2089	LNM 51/15, 9th Dist	2553	16594_1	12/17/2015
16594	Add	Sounding in Fathoms & Fractions	4 1/4	N 57 54' 00.100"	W 153 13' 40.700"	57.90003	-153.228	LNM 51/15, 9th Dist	2553	16594_1	12/17/2015
16594	Add	Sounding in Fathoms 	1	N 57 54' 02.900"	W 153 14' 32.200"	57.90081	-153.2423	LNM 51/15, 9th Dist	2553	16594_1	12/17/2015
16594	Add	Sounding in Fathoms & Fractions	3 1/4	N 57 53' 44.400"	W 153 13' 24.100"	57.89567	-153.2234	LNM 51/15, 9th Dist	2553	16594_1	12/17/2015
16594	Add	Sounding in Fathoms & Fractions	3 3/4	N 57 53' 26.800"	W 153 15' 33.800"	57.89078	-153.2594	LNM 51/15, 9th Dist	2553	16594_1	12/17/2015
16594	Add	Rock in Fathoms	1/2 Rk     Chart No. 1: K14.2	N 57 55' 20.000"	W 153 19' 38.100"	57.92222	-153.3273	LNM 51/15, 9th Dist	2553	16594_1	12/17/2015
