Chart: 16595, Current Edition: 16, Print Date: Oct. /2012, Kodiak and St. Paul harbors;Kodiak Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16595	Add	Sounding in Fathoms & Feet	2_1	N 57 45' 16.900"	W 152 20' 57.200"	57.7547	-152.3492	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Add	Sounding in Fathoms & Feet	2_3	N 57 47' 40.800"	W 152 18' 04.300"	57.79467	-152.3012	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Add	Sounding in Fathoms & Feet	0_5	N 57 48' 06.200"	W 152 17' 55.000"	57.80172	-152.2986	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Add	Sounding in Fathoms 	2	N 57 44' 53.300"	W 152 18' 45.000"	57.74814	-152.3125	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Delete	Sounding in Fathoms & Feet	7_3	N 57 45' 13.900"	W 152 18' 57.600"	57.75386	-152.316	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Add	Sounding in Fathoms & Feet	1_3	N 57 45' 14.200"	W 152 18' 55.300"	57.75394	-152.3154	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Delete	Sounding in Fathoms & Feet	3_5	N 57 45' 00.700"	W 152 18' 42.300"	57.75019	-152.3118	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Delete	Sounding in Fathoms & Feet	6_1	N 57 47' 40.200"	W 152 18' 03.700"	57.7945	-152.301	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Delete	Sounding in Fathoms & Feet	5_5	N 57 47' 29.000"	W 152 18' 14.400"	57.79139	-152.304	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Add	Sounding in Fathoms 	2	N 57 47' 30.100"	W 152 18' 13.000"	57.79169	-152.3036	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Add	Sounding in Fathoms & Feet	2_3	N 57 45' 01.100"	W 152 18' 45.100"	57.75031	-152.3125	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
16595	Add	Sounding in Fathoms & Feet	0_4	N 57 44' 46.100"	W 152 18' 21.900"	57.74614	-152.3061	LNM 21/17, 17th Dist	2556	16595_1	5/18/2017
