Chart: 16597, Current Edition: 10, Print Date: Apr. /2015, Uganik and Uyak Bays
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16597	Add	Sounding in Fathoms & Fractions	3 3/4	N 57 44' 34.100"	W 153 32' 47.100"	57.74281	-153.5464	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms & Fractions	4 1/4	N 57 43' 00.100"	W 153 32' 24.800"	57.71669	-153.5402	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms & Fractions	2 1/4	N 57 43' 35.600"	W 153 32' 34.000"	57.72655	-153.5428	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms & Fractions	2 3/4	N 57 43' 41.000"	W 153 32' 27.300"	57.72805	-153.5409	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms & Fractions	1 3/4	N 57 43' 59.700"	W 153 32' 28.800"	57.73325	-153.5413	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms & Fractions	3 1/2	N 57 48' 04.700"	W 153 32' 30.400"	57.8013	-153.5418	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Delete	Sounding in Fathoms 	9	N 57 46' 13.300"	W 153 31' 49.900"	57.77036	-153.5305	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms & Fractions	1 3/4	N 57 46' 14.900"	W 153 31' 51.700"	57.77081	-153.531	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms & Fractions	7 1/2	N 57 47' 38.500"	W 153 31' 57.700"	57.79403	-153.5327	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms 	3	N 57 45' 18.700"	W 153 32' 33.600"	57.7552	-153.5427	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Delete	Sounding in Fathoms 	13	N 57 43' 00.100"	W 153 32' 24.800"	57.71669	-153.5402	LNM 07/17, 17th Dist	2559	16597_1	2/16/2017
16597	Add	Sounding in Fathoms 	9	N 57 56' 51.300"	W 153 36' 40.200"	57.94758	-153.6112	LNM 05/17, 17th Dist	2559	16597_1	2/2/2017
16597	Add	Sounding in Fathoms 	7	N 57 55' 17.300"	W 153 34' 02.800"	57.92147	-153.5674	LNM 05/17, 17th Dist	2559	16597_1	2/2/2017
16597	Substitute	Sounding in Fathoms & Fractions	4 3/4	N 57 56' 17.900"	W 153 34' 11.900"	57.9383	-153.57	LNM 05/17, 17th Dist	2559	16597_1	2/2/2017
16597	Add	Sounding in Fathoms 	9	N 57 57' 01.200"	W 153 36' 16.200"	57.95033	-153.6045	LNM 05/17, 17th Dist	2559	16597_1	2/2/2017
16597	Add	Sounding in Fathoms 	6	N 57 52' 43.900"	W 153 36' 57.400"	57.87886	-153.616	LNM 05/17, 17th Dist	2559	16597_1	2/2/2017
