Chart: 16640, Current Edition: 25, Print Date: Oct. /2011, Cook Inlet-southern part
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16640	Change	AOOS Data Lighted Buoy 204	Y ODAS "204" Fl (5) Y 20s PA Priv	N 59 35' 50.340"	W 151 49' 44.880"	59.59732	-151.8291	LNM 16/15, 17th Dist	2570	16640_1	10/22/2015
16640	Relocate	AOOS Data Lighted Buoy 175	Y ODAS "175" Fl (5) Y 20s PA Priv	N 59 35' 50.340"	W 151 49' 44.880"	59.59732	-151.8291	LNM 16/15, 17th Dist	2570	16640_1	4/30/2015
16640	Relocate	AOOS Data Lighted Buoy 204	Y ODAS "204" Fl (5) Y 20s PA Priv	N 59 35' 50.340"	W 151 49' 44.880"	59.59732	-151.8291	LNM 16/15, 17th Dist	2570	16640_1	4/30/2015
16640	Delete	NOAA Data Lighted Buoy 46105	Y ODAS "46105" Fl (4) Y 20s PA Priv	N 59 02' 58.006"	W 152 13' 48.010"	59.04945	-152.23	LNM 15/15, 17th Dist	2570	16640_1	4/30/2015
16640	Relocate	Perl Rock Light	Fl 4s 66ft 8M	N 59 05' 23.892"	W 151 41' 40.722"	59.08997	-151.6946	LNM 03/14, 17th Dist	2570	16640_1	2/6/2014
16640	Relocate	Port Chatham Junction Buoy PC	GR “PC” C	N 59 12' 46.784"	W 151 46' 34.323"	59.213	-151.7762	LNM 03/14, 17th Dist	2570	16640_1	2/6/2014
16640	Add	AOOS Data Lighted Buoy 175	Y ODAS "175" Fl (5) Y 20s Priv	N 59 35' 23.880"	W 151 49' 01.140"	59.58997	-151.817	LNM 30/13, 17th Dist	2570	16640_1	7/31/2013
16640	Delete	AOOS Data Lighted Buoy 175	Y ODAS "175" Fl (5) Y 20s Priv	N 59 44' 08.840"	W 152 00' 20.340"	59.73579	-152.0056	LNM 30/13, 17th Dist	2570	16640_1	7/31/2013
16640	Relocate	Homer Spit Light 3	Fl G 6s 34ft 5M "3"	N 59 36' 02.056"	W 151 24' 34.591"	59.60057	-151.4096	LNM 21/13, 17th Dist	2570	16640_1	6/4/2013
16640	Add	Subm buoy	(cov 101 fms)	N 59 01' 17.040"	W 151 54' 02.160"	59.0214	-151.9006	LNM 19/13, 17th Dist	2570	16640_1	5/24/2013
16640	Add	Subm buoy	(cov 82 fms)	N 59 06' 07.980"	W 151 00' 11.700"	59.10221	-151.0033	LNM 19/13, 17th Dist	2570	16640_1	5/24/2013
16640	Add	Subm buoy	(cov 75 fms)	N 58 58' 07.680"	W 150 56' 52.200"	58.9688	-150.9478	LNM 19/13, 17th Dist	2570	16640_1	5/24/2013
16640	Add	AOOS Data Lighted Buoy 175	Y, Fl (5) Y 20s ODAS "175" Priv	N 59 44' 08.840"	W 152 00' 20.340"	59.73579	-152.0056	LNM 40/12, 17th Dist	2570	16640_1	10/10/2012
16640	Delete	AOOS Data Lighted Buoy 175	Y, Fl (5) Y 20s ODAS "175" Priv	N 59 45' 36.000"	W 152 05' 24.000"	59.76	-152.09	LNM 40/12, 17th Dist	2570	16640_1	10/10/2012
16640	Add	Submarine Cable  PT 1 OF 22	Chart No. 1: L30.1	N 59 40' 54.900"	W 153 37' 46.000"	59.68192	-153.6294	LNM 30/12, 17th Dist	2570	16640_1	7/19/2012
16640	Add	Submarine Cable  PT 2 OF 22	Chart No. 1: L30.1	N 59 40' 49.600"	W 153 37' 08.900"	59.68044	-153.6191	LNM 30/12, 17th Dist	2570	16640_1	7/19/2012
16640	Add	Submarine Cable  PT 3 OF 22	Chart No. 1: L30.1	N 59 40' 41.600"	W 153 37' 00.000"	59.67822	-153.6167	LNM 30/12, 17th Dist	2570	16640_1	7/19/2012
16640	Add	Submarine Cable  PT 4 OF 22	Chart No. 1: L30.1	N 59 39' 24.700"	W 153 36' 52.400"	59.65686	-153.6146	LNM 30/12, 17th Dist	2570	16640_1	7/19/2012
16640	Add	Submarine Cable  PT 5 OF 22	Chart No. 1: L30.1	N 59 38' 44.700"	W 153 36' 39.000"	59.64575	-153.6108	LNM 30/12, 17th Dist	2570	16640_1	7/19/2012
16640	Add	Submarine Cable  PT 6 OF 22	Chart No. 1: L30.1	N 59 37' 35.900"	W 153 35' 12.900"	59.62664	-153.5869	LNM 30/12, 17th Dist	2570	16640_1	7/19/2012
16640	Add	Submarine Cable  PT 7 OF 22	Chart No. 1: L30.1	N 59 33' 09.600"	W 153 21' 47.300"	59.55267	-153.3631	LNM 30/12, 17th Dist	2570	16640_1	7/19/2012
16640	Add	Submarine Cable  PT 8 OF 22	Chart No. 1: L30.1	N 59 33' 24.300"	W 153 00' 05.200"	59.55675	-153.0014	LNM 30/12, 17th Dist	2570	16640_1	7/19/2012
