Chart: 16700, Current Edition: 32, Print Date: Apr. /2012, Prince William Sound
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16700	Relocate	NOAA Data Lighted Buoy 46060	Y ODAS "46060" Fl (4) Y 20s PA	N 60 35' 00.504"	W 146 48' 18.851"	60.58347	-146.8052	LNM 49/16, 17th Dist	2597	16700_1	12/15/2016
16700	Relocate	Orca Inlet Channel Junction Light OI	Fl (2+1) R 6s 10ft 4M	N 60 33' 56.083"	W 145 45' 40.755"	60.56558	-145.7613	LNM 43/16, 17th Dist	2597	16700_1	12/8/2016
16700	Change	Knowles Head Shoal Lighted Buoy 4	R "4" Fl R 4s	N 60 40' 41.959"	W 146 43' 39.486"	60.67832	-146.7276	LNM 09/16, 17th Dist	2597	16700_1	3/31/2016
16700	Delete	NOAA Data Lighted Buoy 46107	Y ODAS "46107" Fl (4) Y 20s Priv PA	N 59 55' 51.215"	W 147 59' 52.795"	59.93089	-147.998	LNM 43/15, 17th Dist	2597	16700_1	11/5/2015
16700	Relocate	NOAA Data Lighted Buoy 46076	Y ODAS "46076" Fl (4) Y 20s Priv PA	N 59 30' 09.776"	W 147 59' 24.631"	59.50272	-147.9902	LNM 41/15, 17th Dist	2597	16700_1	10/22/2015
16700	Relocate	Wessels Reef Buoy 1	G C "1"	N 59 47' 43.430"	W 146 05' 34.510"	59.7954	-146.0929	LNM 36/15, 17th Dist	2597	16700_1	9/24/2015
16700	Add	Sounding in Fathoms 	16	N 59 51' 55.500"	W 148 24' 39.400"	59.86542	-148.4109	LNM 01/15, 17th Dist	2597	16700_1	1/15/2015
16700	Add	Submarine Cable  PT 1 OF 3	Chart No. 1: L30.1	N 60 35' 04.570"	W 146 08' 23.990"	60.5846	-146.14	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 2 OF 3	Chart No. 1: L30.1	N 60 34' 58.260"	W 146 07' 21.660"	60.58285	-146.1227	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 3 OF 3	Chart No. 1: L30.1	N 60 35' 13.620"	W 146 03' 45.510"	60.58712	-146.0626	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 1 OF 8	Chart No. 1: L30.1	N 61 04' 58.650"	W 146 19' 57.970"	61.08296	-146.3328	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 2 OF 8	Chart No. 1: L30.1	N 61 05' 18.390"	W 146 19' 42.570"	61.08844	-146.3285	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 3 OF 8	Chart No. 1: L30.1	N 61 06' 37.480"	W 146 21' 52.390"	61.11041	-146.3645	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 4 OF 8	Chart No. 1: L30.1	N 61 06' 15.560"	W 146 34' 49.360"	61.10432	-146.5804	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 5 OF 8	Chart No. 1: L30.1	N 61 06' 14.930"	W 146 35' 45.680"	61.10415	-146.596	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 6 OF 8	Chart No. 1: L30.1	N 61 05' 44.670"	W 146 37' 37.190"	61.09574	-146.627	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 7 OF 8	Chart No. 1: L30.1	N 61 05' 23.980"	W 146 38' 18.300"	61.09	-146.6384	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 8 OF 8	Chart No. 1: L30.1	N 61 05' 11.700"	W 146 38' 26.580"	61.08658	-146.6407	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 1 OF 13	Chart No. 1: L30.1	N 61 04' 37.730"	W 146 39' 21.410"	61.07715	-146.6559	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 2 OF 13	Chart No. 1: L30.1	N 61 04' 03.670"	W 146 40' 39.390"	61.06769	-146.6776	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 3 OF 13	Chart No. 1: L30.1	N 61 02' 55.690"	W 146 41' 32.410"	61.0488	-146.6923	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 4 OF 13	Chart No. 1: L30.1	N 61 01' 51.650"	W 146 44' 16.190"	61.03101	-146.7378	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 5 OF 13	Chart No. 1: L30.1	N 60 59' 30.290"	W 146 47' 32.980"	60.99175	-146.7925	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 6 OF 13	Chart No. 1: L30.1	N 60 58' 59.770"	W 146 48' 56.550"	60.98327	-146.8157	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
16700	Add	Submarine Cable  PT 7 OF 13	Chart No. 1: L30.1	N 60 53' 59.340"	W 146 54' 40.730"	60.89982	-146.9113	LNM 24/14, 17th Dist	2597	16700_1	6/19/2014
