Chart: 16708, Current Edition: 28, Print Date: Mar. /2011, Prince William Sound-Port Fidalgo and Valdez Arm;Tatitlek Narrows
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16708	Change	Knowles Head Shoal Lighted Buoy 4	R "4" Fl R 4s	N 60 40' 41.959"	W 146 43' 39.486"	60.67832	-146.7276	LNM 09/16, 17th Dist	2607	16708_1	3/31/2016
16708	Change	Valdez Marine Terminal Lighted Mooring Buoy	Fl Y 4s Priv	N 61 05' 30.300"	W 146 24' 47.900"	61.09175	-146.4133	LNM 31/15, 17th Dist	2607	16708_1	8/13/2015
16708	Add	Submarine Cable  PT 1 OF 17	Chart No. 1: L30.1	N 61 04' 58.650"	W 146 19' 57.970"	61.08296	-146.3328	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 2 OF 17	Chart No. 1: L30.1	N 61 05' 18.390"	W 146 19' 42.570"	61.08844	-146.3285	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 3 OF 17	Chart No. 1: L30.1	N 61 05' 25.190"	W 146 19' 51.480"	61.09033	-146.331	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 4 OF 17	Chart No. 1: L30.1	N 61 05' 31.160"	W 146 19' 51.460"	61.09199	-146.331	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 5 OF 17	Chart No. 1: L30.1	N 61 06' 37.480"	W 146 21' 52.390"	61.11041	-146.3645	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 6 OF 17	Chart No. 1: L30.1	N 61 06' 39.000"	W 146 22' 03.760"	61.11083	-146.3677	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 7 OF 17	Chart No. 1: L30.1	N 61 06' 42.040"	W 146 25' 31.660"	61.11168	-146.4255	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 8 OF 17	Chart No. 1: L30.1	N 61 06' 42.500"	W 146 27' 05.580"	61.1118	-146.4516	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 9 OF 17	Chart No. 1: L30.1	N 61 06' 32.570"	W 146 31' 29.770"	61.10905	-146.5249	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 10 OF 17	Chart No. 1: L30.1	N 61 06' 15.560"	W 146 34' 49.360"	61.10432	-146.5804	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 11 OF 17	Chart No. 1: L30.1	N 61 06' 14.930"	W 146 35' 45.680"	61.10415	-146.596	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 12 OF 17	Chart No. 1: L30.1	N 61 06' 08.090"	W 146 36' 15.230"	61.10225	-146.6042	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 13 OF 17	Chart No. 1: L30.1	N 61 05' 58.070"	W 146 36' 36.990"	61.09946	-146.6103	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 14 OF 17	Chart No. 1: L30.1	N 61 05' 49.430"	W 146 37' 19.740"	61.09706	-146.6221	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 15 OF 17	Chart No. 1: L30.1	N 61 05' 44.670"	W 146 37' 37.190"	61.09574	-146.627	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 16 OF 17	Chart No. 1: L30.1	N 61 05' 23.980"	W 146 38' 18.300"	61.09	-146.6384	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 17 OF 17	Chart No. 1: L30.1	N 61 05' 11.700"	W 146 38' 26.580"	61.08658	-146.6407	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 1 OF 30	Chart No. 1: L30.1	N 61 04' 37.730"	W 146 39' 21.410"	61.07715	-146.6559	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 2 OF 30	Chart No. 1: L30.1	N 61 04' 30.990"	W 146 39' 49.780"	61.07528	-146.6638	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 3 OF 30	Chart No. 1: L30.1	N 61 04' 24.830"	W 146 40' 02.540"	61.07356	-146.6674	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 4 OF 30	Chart No. 1: L30.1	N 61 04' 03.670"	W 146 40' 39.390"	61.06769	-146.6776	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 5 OF 30	Chart No. 1: L30.1	N 61 03' 41.500"	W 146 41' 00.130"	61.06153	-146.6834	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
16708	Add	Submarine Cable  PT 6 OF 30	Chart No. 1: L30.1	N 61 03' 10.740"	W 146 41' 15.300"	61.05298	-146.6876	LNM 24/14, 17th Dist	2607	16708_1	6/19/2014
