Chart: 16709, Current Edition: 25, Print Date: Mar. /2011, Prince William Sound-eastern entrance
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16709	Relocate	NOAA Data Lighted Buoy 46060	Y ODAS "46060" Fl (4) Y 20s PA	N 60 35' 00.504"	W 146 48' 18.851"	60.58347	-146.8052	LNM 49/16, 17th Dist	2609	16709_1	12/15/2016
16709	Relocate	Orca Inlet Channel Junction Light OI	Fl (2+1) R 6s 10ft 4M	N 60 33' 56.083"	W 145 45' 40.755"	60.56558	-145.7613	LNM 43/16, 17th Dist	2609	16709_1	11/17/2016
16709	Change	Knowles Head Shoal Lighted Buoy 4	R "4" Fl R 4s	N 60 40' 41.959"	W 146 43' 39.486"	60.67832	-146.7276	LNM 09/16, 17th Dist	2609	16709_1	3/31/2016
16709	Add	Submarine Cable  PT 1 OF 4	Chart No. 1: L30.1	N 60 35' 09.580"	W 146 41' 17.450"	60.58599	-146.6882	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 2 OF 4	Chart No. 1: L30.1	N 60 35' 12.280"	W 146 40' 50.820"	60.58675	-146.6808	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 3 OF 4	Chart No. 1: L30.1	N 60 35' 03.590"	W 146 39' 45.410"	60.58433	-146.6626	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 4 OF 4	Chart No. 1: L30.1	N 60 34' 46.770"	W 146 24' 11.770"	60.57966	-146.4033	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 1 OF 4	Chart No. 1: L30.1	N 60 34' 54.350"	W 146 20' 15.760"	60.58176	-146.3377	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 2 OF 4	Chart No. 1: L30.1	N 60 35' 23.230"	W 146 13' 55.640"	60.58979	-146.2321	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 3 OF 4	Chart No. 1: L30.1	N 60 35' 22.300"	W 146 11' 29.150"	60.58953	-146.1914	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 4 OF 4	Chart No. 1: L30.1	N 60 35' 14.570"	W 146 09' 57.320"	60.58738	-146.1659	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 1 OF 5	Chart No. 1: L30.1	N 60 37' 07.850"	W 145 46' 36.430"	60.61885	-145.7768	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 2 OF 5	Chart No. 1: L30.1	N 60 37' 17.550"	W 145 46' 00.840"	60.62154	-145.7669	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 3 OF 5	Chart No. 1: L30.1	N 60 37' 18.900"	W 145 45' 51.630"	60.62192	-145.7643	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 4 OF 5	Chart No. 1: L30.1	N 60 37' 16.540"	W 145 45' 27.550"	60.62126	-145.7577	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 5 OF 5	Chart No. 1: L30.1	N 60 37' 07.030"	W 145 45' 06.030"	60.61862	-145.7517	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 1 OF 3	Chart No. 1: L30.1	N 60 35' 04.570"	W 146 08' 23.990"	60.5846	-146.14	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 2 OF 3	Chart No. 1: L30.1	N 60 34' 58.260"	W 146 07' 21.660"	60.58285	-146.1227	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 3 OF 3	Chart No. 1: L30.1	N 60 35' 13.620"	W 146 03' 45.510"	60.58712	-146.0626	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 1 OF 7	Chart No. 1: L30.1	N 60 42' 06.800"	W 146 57' 23.000"	60.70189	-146.9564	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 2 OF 7	Chart No. 1: L30.1	N 60 40' 35.900"	W 146 55' 24.000"	60.67664	-146.9233	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 3 OF 7	Chart No. 1: L30.1	N 60 39' 41.800"	W 146 54' 03.300"	60.66161	-146.9009	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 4 OF 7	Chart No. 1: L30.1	N 60 37' 27.900"	W 146 49' 46.400"	60.62442	-146.8296	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 5 OF 7	Chart No. 1: L30.1	N 60 35' 52.200"	W 146 46' 33.400"	60.59783	-146.7759	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 6 OF 7	Chart No. 1: L30.1	N 60 34' 55.100"	W 146 42' 08.900"	60.58197	-146.7025	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 7 OF 7	Chart No. 1: L30.1	N 60 34' 57.800"	W 146 41' 36.100"	60.58272	-146.6934	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 1 OF 4	Chart No. 1: L30.1	N 60 35' 02.700"	W 146 41' 05.000"	60.58408	-146.6847	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 2 OF 4	Chart No. 1: L30.1	N 60 35' 03.500"	W 146 40' 51.500"	60.5843	-146.681	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 3 OF 4	Chart No. 1: L30.1	N 60 34' 53.300"	W 146 39' 35.300"	60.58147	-146.6598	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 4 OF 4	Chart No. 1: L30.1	N 60 34' 42.200"	W 146 26' 35.300"	60.57839	-146.4431	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 1 OF 3	Chart No. 1: L30.1	N 60 35' 01.800"	W 146 16' 43.300"	60.58383	-146.2787	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 2 OF 3	Chart No. 1: L30.1	N 60 35' 15.000"	W 146 13' 34.600"	60.5875	-146.2263	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 3 OF 3	Chart No. 1: L30.1	N 60 35' 12.100"	W 146 11' 16.100"	60.58669	-146.1878	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 1 OF 3	Chart No. 1: L30.1	N 60 34' 36.200"	W 146 23' 15.400"	60.57672	-146.3876	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 2 OF 3	Chart No. 1: L30.1	N 60 34' 34.700"	W 146 22' 43.200"	60.57631	-146.3787	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Delete	Submarine Cable  PT 3 OF 3	Chart No. 1: L30.1	N 60 34' 38.100"	W 146 22' 06.100"	60.57725	-146.3684	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 1 OF 9	Chart No. 1: L30.1	N 60 42' 06.510"	W 146 57' 07.030"	60.70181	-146.952	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 2 OF 9	Chart No. 1: L30.1	N 60 41' 52.620"	W 146 56' 41.750"	60.69795	-146.9449	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 3 OF 9	Chart No. 1: L30.1	N 60 40' 29.860"	W 146 54' 58.690"	60.67496	-146.9163	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 4 OF 9	Chart No. 1: L30.1	N 60 39' 50.460"	W 146 54' 02.980"	60.66402	-146.9008	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 5 OF 9	Chart No. 1: L30.1	N 60 38' 00.720"	W 146 50' 48.470"	60.63353	-146.8468	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 6 OF 9	Chart No. 1: L30.1	N 60 37' 36.480"	W 146 49' 45.800"	60.6268	-146.8294	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 7 OF 9	Chart No. 1: L30.1	N 60 36' 00.890"	W 146 46' 32.680"	60.60025	-146.7757	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 8 OF 9	Chart No. 1: L30.1	N 60 35' 03.840"	W 146 42' 08.440"	60.5844	-146.7023	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 9 OF 9	Chart No. 1: L30.1	N 60 35' 04.710"	W 146 41' 49.650"	60.58464	-146.6971	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 1 OF 7	Chart No. 1: L30.1	N 60 35' 34.860"	W 145 59' 20.620"	60.59302	-145.9891	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 2 OF 7	Chart No. 1: L30.1	N 60 35' 54.360"	W 145 56' 39.100"	60.59843	-145.9442	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 3 OF 7	Chart No. 1: L30.1	N 60 36' 02.560"	W 145 53' 44.630"	60.60071	-145.8957	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 4 OF 7	Chart No. 1: L30.1	N 60 35' 57.500"	W 145 50' 37.190"	60.5993	-145.8437	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
16709	Add	Submarine Cable  PT 5 OF 7	Chart No. 1: L30.1	N 60 36' 00.310"	W 145 49' 48.900"	60.60009	-145.8302	LNM 24/14, 17th Dist	2609	16709_1	6/19/2014
