Chart: 16710, Current Edition: 18, Print Date: Nov. /2010, Orca B. and ln.-Channel ls. to Cordova
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
16710	Relocate	Orca Inlet Channel Junction Light OI	Fl (2+1) R 6s 10ft 4M	N 60 33' 56.083"	W 145 45' 40.755"	60.56558	-145.7613	LNM 43/16, 17th Dist	2610	16710_1	11/17/2016
16710	Change	Depth Legend - Cordova Harbor	depth note - CORDOVA HARBOR to: The controlling depth for the entrance and access channel was 12.0 feet at MLLW. The controlling depths for the berthing areas was 6.0 feet at MLLW.  MAY 2014	N 60 33' 26.350"	W 145 43' 44.800"	60.55732	-145.7291	LNM 31/15, 9th Dist	2610	16710_1	4/30/2015
16710	Delete	Submarine Cable  PT 1 OF 11	Chart No. 1: L30.1	N 60 36' 53.100"	W 145 44' 59.900"	60.61475	-145.75	LNM 24/14, 17th Dist	2610	16710_1	6/19/2014
16710	Delete	Submarine Cable  PT 2 OF 11	Chart No. 1: L30.1	N 60 36' 32.700"	W 145 44' 23.800"	60.60909	-145.7399	LNM 24/14, 17th Dist	2610	16710_1	6/19/2014
16710	Delete	Submarine Cable  PT 3 OF 11	Chart No. 1: L30.1	N 60 36' 04.400"	W 145 43' 51.000"	60.60122	-145.7308	LNM 24/14, 17th Dist	2610	16710_1	6/19/2014
16710	Delete	Submarine Cable  PT 4 OF 11	Chart No. 1: L30.1	N 60 35' 56.700"	W 145 43' 35.000"	60.59908	-145.7264	LNM 24/14, 17th Dist	2610	16710_1	6/19/2014
16710	Delete	Submarine Cable  PT 5 OF 11	Chart No. 1: L30.1	N 60 35' 43.600"	W 145 43' 25.200"	60.59544	-145.7237	LNM 24/14, 17th Dist	2610	16710_1	6/19/2014
16710	Delete	Submarine Cable  PT 6 OF 11	Chart No. 1: L30.1	N 60 35' 36.000"	W 145 43' 27.700"	60.59333	-145.7244	LNM 24/14, 17th Dist	2610	16710_1	6/19/2014
16710	Delete	Submarine Cable  PT 7 OF 11	Chart No. 1: L30.1	N 60 35' 22.400"	W 145 43' 23.800"	60.58955	-145.7233	LNM 24/14, 17th Dist	2610	16710_1	6/19/2014
16710	Delete	Submarine Cable  PT 8 OF 11	Chart No. 1: L30.1	N 60 35' 00.100"	W 145 43' 36.900"	60.58336	-145.7269	LNM 24/14, 17th Dist	2610	16710_1	6/19/2014
