Chart: 17300, Current Edition: 32, Print Date: Oct. /2012, Stephens Passage to Cross Sound, including Lynn Canal
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
17300	Delete	Tenakee Inlet Entrance Light 1	Fl G 4s 33ft 4M "1"	N 57 46' 20.418"	W 134 56' 04.158"	57.77234	-134.9345	LNM 11/17, 17th Dist	2590	17300_4	3/23/2017
17300	Delete	Tenakee Inlet Entrance Light 1	Fl G 4s 33ft 4M "1"	N 57 46' 20.418"	W 134 56' 04.158"	57.77234	-134.9345	LNM 11/17, 17th Dist	2617	17300_1	3/23/2017
17300	Add	Tenakee Inlet Entrance Lighted Buoy 1	G "1" Fl G 4s	N 57 46' 19.259"	W 134 55' 37.048"	57.77201	-134.927	LNM 11/17, 17th Dist	2590	17300_4	3/23/2017
17300	Add	Tenakee Inlet Entrance Lighted Buoy 1	G "1" Fl G 4s	N 57 46' 19.259"	W 134 55' 37.048"	57.77201	-134.927	LNM 11/17, 17th Dist	2617	17300_1	3/23/2017
17300	Delete	Indian Rock Lighted Buoy	GR Fl G 2.5s	N 59 16' 22.060"	W 135 23' 51.465"	59.27279	-135.3976	LNM 08/17, 17th Dist	2619	17300_3	3/2/2017
17300	Relocate	Gibby Rock Light	Fl R 6s 30ft 4M "2"	N 58 19' 36.372"	W 134 41' 19.020"	58.32677	-134.6886	LNM 50/16, 17th Dist	2617	17300_1	12/22/2016
17300	Delete	Cable area limit PT 1 OF 3	**Chart No. 1: L30.2**	N 58 06' 20.160"	W 134 46' 08.220"	58.1056	-134.769	LNM 44/16, 17th Dist	2617	17300_1	12/8/2016
17300	Delete	Cable area limit PT 2 OF 3	**Chart No. 1: L30.2**	N 58 07' 03.820"	W 134 45' 31.750"	58.11773	-134.7588	LNM 47/16, 17th Dist	2617	17300_1	12/8/2016
17300	Delete	Cable area limit PT 3 OF 3	**Chart No. 1: L30.2**	N 58 07' 11.100"	W 134 45' 14.290"	58.11975	-134.754	LNM 47/16, 17th Dist	2617	17300_1	12/8/2016
17300	Add	Cable area limit PT 1 OF 2	**Chart No. 1: L30.2**	N 58 06' 20.160"	W 134 46' 08.220"	58.1056	-134.769	LNM 47/16, 17th Dist	2617	17300_1	12/8/2016
17300	Add	Cable area limit PT 2 OF 2	**Chart No. 1: L30.2**	N 58 06' 17.870"	W 134 45' 40.540"	58.10497	-134.7613	LNM 47/16, 17th Dist	2617	17300_1	12/8/2016
17300	Change	Star Rock Bell Buoy SR	GR "SR" BELL	N 57 49' 46.541"	W 136 28' 08.137"	57.82959	-136.4689	LNM 30/16, 17th Dist	2617	17300_1	8/4/2016
17300	Change	Faust Rock Lighted Bell Buoy FR	RG "FR" Fl (2+1) R 6s BELL	N 58 25' 05.802"	W 134 55' 39.677"	58.41828	-134.9277	LNM 30/16, 17th Dist	2617	17300_1	8/4/2016
17300	Add	Indian Rock Lighted Buoy	GR Fl G 2.5s	N 59 16' 22.060"	W 135 23' 51.465"	59.27279	-135.3976	WNM 08/16, NGA	2619	17300_3	2/25/2016
17300	Change	Sheep Creek Light 2	Fl R 4s 12ft 6M "2"	N 58 15' 28.410"	W 134 19' 52.206"	58.25789	-134.3312	LNM 14/15, 17th Dist	2617	17300_1	4/30/2015
17300	Add	Dangerous Wreck	PA	N 57 46' 45.000"	W 135 03' 30.000"	57.77917	-135.0583	LNM 33/14, 17th Dist	2590	17300_4	8/28/2014
17300	Relocate	Sentinel Island Light	Fl 10s 86ft 14M 	N 58 32' 46.584"	W 134 55' 23.550"	58.54627	-134.9232	LNM 50/13, 17th Dist	2617	17300_1	12/16/2013
17300	Change	Tenakee Inlet Entrance Light 1	Fl G 4s 33ft 4M "1"	N 57 46' 20.418"	W 134 56' 04.158"	57.77234	-134.9345	LNM 26/13, 17th Dist	2590	17300_4	7/10/2013
17300	Change	Tenakee Inlet Entrance Light 1	Fl G 4s 33ft 4M "1"	N 57 46' 20.418"	W 134 56' 04.158"	57.77234	-134.9345	LNM 26/13, 17th Dist	2617	17300_1	7/10/2013
17300	Relocate	Three Hill Island Light	Fl 4s 80ft 7M 	N 58 09' 13.008"	W 136 23' 02.932"	58.15361	-136.3842	LNM 25/13, 17th Dist	2617	17300_1	7/4/2013
17300	Relocate	Holkham Bay Range Front Light	Q 73ft 	N 57 46' 03.286"	W 133 38' 40.131"	57.76758	-133.6445	LNM 13/13, 17th Dist	2617	17300_1	4/23/2013
17300	Change	Holkham Bay Range Front Light	Q 73ft	N 57 46' 03.286"	W 133 38' 40.131"	57.76758	-133.6445	LNM 13/13, 17th Dist	2617	17300_1	4/23/2013
17300	Relocate	Holkham Bay Range Rear Light	F 101ft	N 57 46' 02.241"	W 133 38' 41.338"	57.76729	-133.6448	LNM 13/13, 17th Dist	2617	17300_1	4/23/2013
17300	Change	Holkham Bay Range Rear Light	F 101ft	N 57 46' 02.241"	W 133 38' 41.338"	57.76729	-133.6448	LNM 13/13, 17th Dist	2617	17300_1	4/23/2013
17300	Delete	Sounding in Fathoms 	9	N 58 53' 04.000"	W 135 16' 35.000"	58.88445	-135.2764	LNM 03/13, 17th Dist	2617	17300_1	1/11/2013
