Chart: 17327, Current Edition: 24, Print Date: Jan. /2011, Sitka Harbor and approaches;Sitka Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
17327	Add	Japonski Island Buoy 2	R "2"	N 57 03' 25.396"	W 135 22' 28.221"	57.05705	-135.3745	LNM 49/16, 17th Dist	2657	17327_1	12/15/2016
17327	Delete	Japonski Island Daybeacon 2	R "2"	N 57 03' 25.386"	W 135 22' 27.282"	57.05705	-135.3743	LNM 49/16, 17th Dist	2657	17327_1	12/15/2016
17327	Relocate	Crescent Harbor East Breakwater Light 4	Fl R 2.5s 19ft 4M "4"	N 57 02' 57.414"	W 135 19' 48.774"	57.04928	-135.3302	LNM 11/16, 17th Dist	2657	17327_1	3/31/2016
17327	Relocate	Battery Island Light 6	Fl R 6s 16ft 4M "6"	N 57 03' 34.614"	W 135 22' 54.534"	57.05962	-135.3818	LNM 11/16, 17th Dist	2657	17327_1	3/31/2016
17327	Relocate	Turning Island Light 11	Fl G 2.5s 16ft 4M "11"	N 57 02' 35.922"	W 135 20' 11.586"	57.04331	-135.3365	LNM 51/15, 17th Dist	2657	17327_1	1/7/2016
17327	Add	Breakwater PT 1 OF 3	**Chart No. 1: F4.1**	N 57 03' 31.090"	W 135 22' 05.010"	57.05864	-135.3681	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Breakwater PT 2 OF 3	**Chart No. 1: F4.1**	N 57 03' 29.550"	W 135 22' 00.510"	57.05821	-135.3668	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Breakwater PT 3 OF 3	**Chart No. 1: F4.1**	N 57 03' 29.130"	W 135 22' 00.350"	57.05809	-135.3668	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Delete	Pier PT 1 OF 2	**use Chart No. 1 F14**	N 57 03' 18.170"	W 135 20' 56.610"	57.05505	-135.3491	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Delete	Pier PT 1 OF 2	**use Chart No. 1 F14**	N 57 03' 18.170"	W 135 20' 56.610"	57.05505	-135.3491	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Delete	Pier PT 2 OF 2	**use Chart No. 1 F14**	N 57 03' 18.890"	W 135 21' 02.130"	57.05525	-135.3506	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Delete	Pier PT 2 OF 2	**use Chart No. 1 F14**	N 57 03' 18.890"	W 135 21' 02.130"	57.05525	-135.3506	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Delete	Pier PT 1 OF 3	**use Chart No. 1 F14**	N 57 03' 18.050"	W 135 20' 56.390"	57.05502	-135.349	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Delete	Pier PT 1 OF 3	**use Chart No. 1 F14**	N 57 03' 18.050"	W 135 20' 56.390"	57.05502	-135.349	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Delete	Pier PT 2 OF 3	**use Chart No. 1 F14**	N 57 03' 17.410"	W 135 20' 57.590"	57.05484	-135.3493	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Delete	Pier PT 2 OF 3	**use Chart No. 1 F14**	N 57 03' 17.410"	W 135 20' 57.590"	57.05484	-135.3493	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Delete	Pier PT 3 OF 3	**use Chart No. 1 F14**	N 57 03' 17.850"	W 135 20' 58.390"	57.05496	-135.3495	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Delete	Pier PT 3 OF 3	**use Chart No. 1 F14**	N 57 03' 17.850"	W 135 20' 58.390"	57.05496	-135.3495	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Pier PT 1 OF 2	**single line pier**	N 57 03' 18.060"	W 135 20' 56.430"	57.05502	-135.349	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Add	Pier PT 1 OF 2	**single line pier**	N 57 03' 18.060"	W 135 20' 56.430"	57.05502	-135.349	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Pier PT 2 OF 2	**single line pier**	N 57 03' 17.380"	W 135 20' 57.110"	57.05483	-135.3492	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Add	Pier PT 2 OF 2	**single line pier**	N 57 03' 17.380"	W 135 20' 57.110"	57.05483	-135.3492	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Double Line Pier PT 1 OF 4	Chart No. 1: F14	N 57 03' 17.270"	W 135 20' 56.730"	57.0548	-135.3491	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Add	Double Line Pier PT 1 OF 4	Chart No. 1: F14	N 57 03' 17.270"	W 135 20' 56.730"	57.0548	-135.3491	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Double Line Pier PT 2 OF 4	Chart No. 1: F14	N 57 03' 17.040"	W 135 20' 56.940"	57.05473	-135.3492	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Add	Double Line Pier PT 2 OF 4	Chart No. 1: F14	N 57 03' 17.040"	W 135 20' 56.940"	57.05473	-135.3492	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Double Line Pier PT 3 OF 4	Chart No. 1: F14	N 57 03' 18.670"	W 135 21' 02.720"	57.05519	-135.3508	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Add	Double Line Pier PT 3 OF 4	Chart No. 1: F14	N 57 03' 18.670"	W 135 21' 02.720"	57.05519	-135.3508	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Double Line Pier PT 4 OF 4	Chart No. 1: F14	N 57 03' 18.900"	W 135 21' 02.500"	57.05525	-135.3507	LNM 01/15, 17th Dist	2658	17327_2	1/15/2015
17327	Add	Double Line Pier PT 4 OF 4	Chart No. 1: F14	N 57 03' 18.900"	W 135 21' 02.500"	57.05525	-135.3507	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Delete	Shoreline PT 2 OF 3	**shoreline**	N 57 02' 24.280"	W 135 21' 00.000"	57.04008	-135.35	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Delete	Shoreline PT 3 OF 3	**shoreline**	N 57 02' 23.420"	W 135 20' 51.220"	57.03984	-135.3476	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Delete	Shoreline PT 1 OF 3	**shoreline**	N 57 02' 25.180"	W 135 21' 01.700"	57.04033	-135.3505	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Man Made Shoreline PT 1 OF 9	**man-made shoerline**	N 57 02' 25.180"	W 135 21' 01.700"	57.04033	-135.3505	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Man Made Shoreline PT 2 OF 9	**man-made shoerline**	N 57 02' 24.290"	W 135 21' 00.480"	57.04008	-135.3501	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Man Made Shoreline PT 3 OF 9	**man-made shoerline**	N 57 02' 23.660"	W 135 21' 00.050"	57.03991	-135.35	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Man Made Shoreline PT 4 OF 9	**man-made shoerline**	N 57 02' 22.310"	W 135 20' 58.280"	57.03953	-135.3495	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
17327	Add	Man Made Shoreline PT 5 OF 9	**man-made shoerline**	N 57 02' 21.270"	W 135 20' 55.840"	57.03924	-135.3488	LNM 01/15, 17th Dist	2657	17327_1	1/15/2015
