Chart: 17407, Current Edition: 16, Print Date: Dec. /2014, Northern part of Tlevak Strait and Uloa Channel
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
17407	Relocate	Cape Flores Lighted Buoy 2	R "2" Fl R 4s	N 55 21' 24.782"	W 133 17' 43.058"	55.35688	-133.2953	LNM US/VI, 17th Dist	2726	17407_1	2/9/2017
17407	Add	Sounding in Fathoms 	2 1/2	N 55 10' 34.740"	W 133 00' 04.720"	55.17632	-133.0013	LNM 44/16, 17th Dist	2726	17407_1	12/8/2016
17407	Add	Sounding in Fathoms 	5 1/2	N 55 10' 24.260"	W 132 59' 36.350"	55.1734	-132.9934	LNM 44/16, 17th Dist	2726	17407_1	12/8/2016
17407	Add	Sounding in Fathoms 	1 1/4	N 55 12' 31.020"	W 132 59' 35.740"	55.20862	-132.9933	LNM 44/16, 17th Dist	2726	17407_1	12/8/2016
17407	Substitute	Sounding in Fathoms 	1 1/2	N 55 10' 44.280"	W 133 00' 13.300"	55.17897	-133.0037	LNM 44/16, 17th Dist	2726	17407_1	12/8/2016
17407	Substitute	Sounding in Fathoms	1 3/4 	N 55 10' 52.520"	W 133 00' 17.690"	55.18126	-133.0049	LNM 44/16, 17th Dist	2726	17407_1	12/8/2016
17407	Add	Sounding in Fathoms 	2 1/2	N 55 10' 51.460"	W 132 59' 53.950"	55.18096	-132.9983	LNM 44/16, 17th Dist	2726	17407_1	12/8/2016
17407	Add	Sounding in Fathoms	2 1/2	N 55 10' 35.550"	W 133 01' 16.460"	55.17654	-133.0212	LNM 44/16, 17th Dist	2726	17407_1	12/8/2016
17407	Add	Sounding in Fathoms 	6 3/4	N 55 10' 26.130"	W 133 00' 27.430"	55.17392	-133.0076	LNM 44/16, 17th Dist	2726	17407_1	12/8/2016
17407	Add	Sounding in Fathoms 	4 1/4	N 55 10' 42.900"	W 132 58' 17.800"	55.17859	-132.9716	LNM 35/16, 17th Dist	2726	17407_1	7/7/2016
17407	Add	Dangerous Rock Awash	Chart No. 1: Ka	N 55 10' 26.700"	W 132 57' 47.000"	55.17408	-132.9631	LNM 35/16, 17th Dist	2726	17407_1	7/7/2016
17407	Delete	Sounding in Fathoms 	13	N 55 10' 28.700"	W 132 57' 47.100"	55.17464	-132.9631	LNM 35/16, 17th Dist	2726	17407_1	7/7/2016
17407	Delete	Sounding in Fathoms 	14	N 55 10' 43.000"	W 132 58' 22.300"	55.17861	-132.9729	LNM 35/16, 17th Dist	2726	17407_1	7/7/2016
17407	Add	Rock in Fathoms	3 3/4 Rk      Chart No. 1: K14.2	N 55 15' 51.100"	W 133 12' 35.600"	55.26419	-133.2099	LNM 47/15, 9th Dist	2726	17407_1	11/19/2015
17407	Delete	Sounding in Fathoms 	9	N 55 15' 51.770"	W 133 12' 36.010"	55.26438	-133.21	LNM 47/15, 9th Dist	2726	17407_1	11/19/2015
17407	Add	Rock in Fathoms	2 1/4 Rk      Chart No. 1: K14.2	N 55 15' 47.500"	W 133 13' 42.000"	55.2632	-133.2283	LNM 47/15, 9th Dist	2726	17407_1	11/19/2015
17407	Add	Rock in Fathoms	1 Rk      Chart No. 1: K14.2	N 55 16' 18.100"	W 133 12' 44.200"	55.27169	-133.2123	LNM 47/15, 9th Dist	2726	17407_1	11/19/2015
17407	Delete	Sounding in Fathoms 	9	N 55 16' 19.580"	W 133 12' 43.930"	55.27211	-133.2122	LNM 47/15, 9th Dist	2726	17407_1	11/19/2015
17407	Add	Rock in Fathoms	4 1/2 Rk      Chart No. 1: K14.2	N 55 15' 48.600"	W 133 12' 37.600"	55.2635	-133.2104	LNM 47/15, 9th Dist	2726	17407_1	11/19/2015
