Chart: 18007, Current Edition: 33, Print Date: Feb. /2009, San Francisco to Cape Flattery
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18007	Relocate	NOAA Environmental Lighted Buoy 46041	Y "46041" Fl (4) Y 20s	N 47 20' 56.352"	W 124 42' 13.454"	47.34899	-124.7037	LNM 25/17, 13th Dist	1652	18007_1	6/22/2017
18007	Delete	OSU Yaquina Research Lighted Buoy	Y Fl Y 4s Priv	N 44 38' 24.000"	W 124 18' 13.800"	44.64	-124.3038	LNM 25/17, 13th Dist	1652	18007_1	6/22/2017
18007	Relocate	NOAA Environmental Lighted Buoy 46005	Y ODAS "46005" Fl (4) Y 20s PA	N 46 08' 24.000"	W 131 04' 12.000"	46.14	-131.07	LNM 24/17, 13th Dist	1652	18007_1	6/22/2017
18007	Relocate	DART Tsunami Warning Lighted Buoy 46404	Y DART "46404" Fl Y 4s	N 45 51' 12.000"	W 128 44' 00.000"	45.85333	-128.7333	LNM 23/17, 13th Dist	1652	18007_1	6/8/2017
18007	Relocate	NOAA Environmental Lighted Buoy 46005	Y ODAS "46005" Fl (4) Y 20s PA	N 46 08' 00.000"	W 131 40' 42.000"	46.13334	-131.6783	LNM 22/17, 13th Dist	1652	18007_1	6/8/2017
18007	Relocate	NOAA Environmental Lighted Buoy 46089	Y "46089" Fl (4) Y 20s	N 45 55' 29.000"	W 125 46' 17.000"	45.92472	-125.7714	LNM 20/17, 13th Dist	1652	18007_1	5/18/2017
18007	Relocate	NOAA Environmental Lighted Buoy 46029	Y "46029" Fl (4) Y 20s	N 46 09' 35.562"	W 124 29' 05.805"	46.15988	-124.4849	LNM 19/17, 13th Dist	1652	18007_1	5/11/2017
18007	Add	NOAA Environmental Lighted Buoy 46T29	Y "46T29" Fl (4) Y 20s	N 46 08' 28.045"	W 124 34' 28.021"	46.14112	-124.5744	LNM 19/17, 13th Dist	1652	18007_1	5/11/2017
18007	Relocate	Scripps Waverider CDIP Lighted Research Buoy 094	Y "094" Fl (5) Y 20s Priv	N 40 17' 41.400"	W 124 43' 54.600"	40.29483	-124.7318	LNM 04/17, 11th Dist	1652	18007_1	2/2/2017
18007	Relocate	Scripps Waverider CDIP Lighted Research Buoy 168	Y "168" Fl (5) Y 20s Priv	N 40 53' 45.660"	W 124 21' 25.200"	40.89602	-124.357	LNM 04/17, 11th Dist	1652	18007_1	2/2/2017
