Chart: 18421, Current Edition: 52, Print Date: Jan. /2017, Strait of Juan de Fuca to Strait of Georgia;Drayton Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18421	Delete	Jones Island Rock Buoy	W Or	N 48 37' 15.000"	W 123 02' 38.000"	48.62083	-123.0439	LNM 24/17, 13th Dist	1657	18421_1	6/22/2017
18421	Change	Eliza Rocks Junction Light	Fl (2+1) G 6s 21ft 5M	N 48 38' 37.100"	W 122 34' 41.613"	48.64364	-122.5782	LNM 21/17, 13th Dist	1657	18421_1	6/1/2017
18421	Change	Friday Harbor Marina Entrance Light 1	Fl G 2.5s 8ft 4M "1"	N 48 32' 23.207"	W 123 00' 54.118"	48.53978	-123.015	LNM 21/17, 13th Dist	1657	18421_1	6/1/2017
18421	Add	Jones Island Rock Danger Daybeacon	W Bn	N 48 37' 12.942"	W 123 02' 34.092"	48.62026	-123.0428	LNM 20/17, 13th Dist	1657	18421_1	5/18/2017
18421	Delete	Minor Island Light	Fl 4s 27ft 5M	N 48 19' 27.666"	W 122 49' 09.474"	48.32435	-122.8193	LNM 14/17, 13th Dist	1657	18421_1	4/13/2017
18421	Relocate	Cypress Reef Junction Daybeacon C	RG "C"	N 48 36' 48.962"	W 122 43' 21.084"	48.6136	-122.7225	LNM 05/17, 13th Dist	1657	18421_1	2/2/2017
18421	Relocate	Fauntleroy Point Light	Fl 4s 37ft 6M	N 48 31' 28.163"	W 122 47' 18.525"	48.52449	-122.7885	LNM 05/17, 13th Dist	1657	18421_1	2/2/2017
18421	Change	Fauntleroy Point Light	Fl 4s 37ft 6M	N 48 31' 28.163"	W 122 47' 18.525"	48.52449	-122.7885	LNM 05/17, 13th Dist	1657	18421_1	2/2/2017
18421	Relocate	Davidson Rock Light 1	Fl G 4s 28ft 5M "1" 	N 48 24' 47.814"	W 122 48' 43.165"	48.41328	-122.812	LNM 05/17, 13th Dist	1657	18421_1	2/2/2017
18421	Relocate	Lawson Rock Light 2	Fl R 4s 15ft 4M "2" 	N 48 31' 51.528"	W 122 47' 19.431"	48.53098	-122.7887	LNM 05/17, 13th Dist	1657	18421_1	2/2/2017
18421	Relocate	Blakely Island Light 4	Fl R 6s 15ft 6M "4"	N 48 31' 52.261"	W 122 48' 34.256"	48.53119	-122.8095	LNM 05/17, 13th Dist	1657	18421_1	2/2/2017
18421	Change	Blakely Island Light 4	Fl R 6s 15ft 6M "4"	N 48 31' 52.261"	W 122 48' 34.256"	48.53119	-122.8095	LNM 05/17, 13th Dist	1657	18421_1	2/2/2017
